"","Region name","Region classification","Measures","Active case rate (per 100,000 population)","Active cases","Population"
"53","County Of Stettler No. 6","Open","Gathering Restrictions          Public Health Orders","0","0","12449"
"54","County Of Two Hills No. 21","Open","Gathering Restrictions          Public Health Orders","53.6","3","5596"
"55","County Of Vermilion River","Open","Gathering Restrictions          Public Health Orders","46.5","6","12907"
"56","County Of Warner No. 5","Open","Gathering Restrictions          Public Health Orders","72.8","8","10994"
"57","County Of Wetaskiwin No. 10","Open","Gathering Restrictions          Public Health Orders","78.6","8","10181"
"58","Cypress County","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","249.6","28","11218"
"59","Edmonton - Abbottsfield","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","261.4","38","14540"
"60","Edmonton - Bonnie Doon","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","205","198","96574"
"61","Edmonton - Castle Downs","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","372.9","263","70526"
"62","Edmonton - Duggan","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","205.3","83","40428"
"63","Edmonton - Eastwood","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","188.7","137","72600"
"64","Edmonton - Jasper Place","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","197.6","93","47069"
"65","Edmonton - Mill Woods South & East","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","313.3","260","82983"
"66","Edmonton - Mill Woods West","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","246.5","126","51122"
"67","Edmonton - Ne","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","261","232","88901"
"68","Edmonton - Northgate","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","350.7","289","82404"
"69","Edmonton - Rutherford","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","290","302","104153"
"70","Edmonton - Twin Brooks","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","170.4","129","75685"
"71","Edmonton - West Jasper Place","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","179.1","181","101046"
"72","Edmonton - Woodcroft East","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","293.1","177","60381"
"73","Edmonton - Woodcroft West","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","178.6","58","32479"
"74","Flagstaff County","Open","Gathering Restrictions          Public Health Orders","35","3","8560"
"75","Foothills County","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","116.6","26","22291"
"76","I.d. No. 12 (Jasper National Park)","Open","Gathering Restrictions          Public Health Orders","0","0","0"
"77","I.d. No. 13 (Elk Island)","Open","Gathering Restrictions          Public Health Orders","0","0","0"
"78","I.d. No. 24 (Wood Buffalo)","Open","Gathering Restrictions          Public Health Orders","0","0","565"
"79","I.d. No. 25 (Willmore Wilderness)","Open","Gathering Restrictions          Public Health Orders","0","0","0"
"80","I.d. No. 349","Open","Gathering Restrictions          Public Health Orders","0","0","0"
"81","I.d. No. 4 (Waterton)","Open","Gathering Restrictions          Public Health Orders","0","0","166"
"82","I.d. No. 9 (Banff)","Open","Gathering Restrictions          Public Health Orders","50.5","7","13849"
"83","Kananaskis Improvement District","Open","Gathering Restrictions          Public Health Orders","0","0","1"
"84","Kneehill County","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","91.7","10","10909"
"85","Lac La Biche County","Open","Gathering Restrictions          Public Health Orders","39.4","4","10150"
"86","Lac Ste. Anne County","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","211.7","35","16534"
"87","Lacombe County","Open","Gathering Restrictions          Public Health Orders","13.8","3","21779"
"88","Lamont County","Open","Gathering Restrictions          Public Health Orders","114.2","9","7881"
"89","Leduc County","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","129.4","31","23958"
"90","Lethbridge County","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","281.4","71","25228"
"91","Mackenzie County","Open","Gathering Restrictions          Public Health Orders","37.2","9","24171"
"92","Mountain View County","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","65.5","15","22893"
"93","Municipal District Of Acadia No. 34","Open","Gathering Restrictions          Public Health Orders","0","0","368"
"94","Municipal District Of Bighorn No. 8","Open","Gathering Restrictions          Public Health Orders","119.9","6","5004"
"95","Municipal District Of Bonnyville No. 87","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","117.8","21","17826"
"96","Municipal District Of Fairview No. 136","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","494","25","5061"
"97","Municipal District Of Greenview No. 16","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","99.6","15","15058"
"98","Municipal District Of Lesser Slave River No. 124","Open","Gathering Restrictions          Public Health Orders","37.1","4","10790"
"99","Municipal District Of Opportunity No. 17","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","270.9","18","6646"
"100","Municipal District Of Peace No. 135","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","182.1","29","15922"
"101","Municipal District Of Pincher Creek No. 9","Open","Gathering Restrictions          Public Health Orders","24.1","2","8302"
"102","Municipal District Of Provost No. 52","Open","Gathering Restrictions          Public Health Orders","0","0","4828"
"103","Municipal District Of Ranchland No. 66","Open","Gathering Restrictions          Public Health Orders","0","0","0"
"104","Municipal District Of Smoky River No. 130","Open","Gathering Restrictions          Public Health Orders","0","0","4410"
"105","Municipal District Of Spirit River No. 133","Open","Gathering Restrictions          Public Health Orders","32.3","1","3092"
"106","Municipal District Of Taber","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","169.6","32","18863"
"107","Municipal District Of Wainwright No. 61","Open","Gathering Restrictions          Public Health Orders","8.5","1","11810"
"108","Municipal District Of Willow Creek No. 26","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","85.2","14","16427"
"109","Municipality Of Crowsnest Pass","Open","Gathering Restrictions          Public Health Orders","0","0","6321"
"110","Municipality Of Jasper","Open","Gathering Restrictions          Public Health Orders","17.8","1","5616"
"111","Northern Sunrise County","Open","Gathering Restrictions          Public Health Orders","156.8","5","3188"
"112","Parkland County","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","135.4","45","33223"
"113","Ponoka County","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","229.4","63","27468"
"114","Red Deer County","Open","Gathering Restrictions          Public Health Orders","21.2","7","33017"
"115","Regional Municipality Of Wood Buffalo","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","125.3","104","82974"
"116","Rocky View County","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","131.4","57","43377"
"117","Saddle Hills County","Open","Gathering Restrictions          Public Health Orders","0","0","1523"
"118","Smoky Lake County","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","712.5","60","8421"
"119","Special Areas No. 2","Open","Gathering Restrictions          Public Health Orders","0","0","4556"
"120","Special Areas No. 3","Open","Gathering Restrictions          Public Health Orders","0","0","2451"
"121","Special Areas No. 4","Open","Gathering Restrictions          Public Health Orders","46.5","1","2149"
"122","Starland County","Open","Gathering Restrictions          Public Health Orders","51.9","1","1928"
"123","Strathcona County","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","147.9","146","98714"
"124","Sturgeon County","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","175.2","49","27964"
"125","Thorhild County","Open","Gathering Restrictions          Public Health Orders","0","0","2726"
"126","Town Of Canmore","Open","Gathering Restrictions          Public Health Orders","30.7","5","16273"
"127","Town Of Cochrane","Open","Gathering Restrictions          Public Health Orders","42","14","33328"
"128","Town Of Drumheller","Open","Gathering Restrictions          Public Health Orders","44.4","4","9006"
"129","Town Of High River","Open","Gathering Restrictions          Public Health Orders","48","8","16650"
"130","Town Of Hinton","Open","Gathering Restrictions          Public Health Orders","0","0","11742"
"131","Town Of Morinville","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","308.9","35","11332"
"132","Town Of Okotoks","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","77.1","27","34999"
"133","Town Of Olds","Open","Gathering Restrictions          Public Health Orders","16.1","2","12452"
"134","Town Of Stony Plain","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","133.2","27","20264"
"135","Town Of Strathmore","Open","Gathering Restrictions          Public Health Orders","48.5","9","18550"
"136","Town Of Sylvan Lake","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","65.4","11","16829"
"137","Town Of Whitecourt","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","146.6","21","14322"
"138","Vulcan County","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","421.8","39","9245"
"139","Westlock County","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","95.1","13","13673"
"140","Wheatland County","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","311.7","21","6737"
"141","Woodlands County","Open","Gathering Restrictions          Public Health Orders","73.7","1","1358"
"142","Yellowhead County","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","81.4","16","19658"
