"","Region name","Region classification","Measures","Active case rate (per 100,000 population)","Active cases","Population"
"53","County Of Stettler No. 6","Open","Gathering Restrictions          Public Health Orders","0","0","12449"
"54","County Of Two Hills No. 21","Open","Gathering Restrictions          Public Health Orders","0","0","5596"
"55","County Of Vermilion River","Open","Gathering Restrictions          Public Health Orders","7.7","1","12907"
"56","County Of Warner No. 5","Open","Gathering Restrictions          Public Health Orders","54.6","6","10994"
"57","County Of Wetaskiwin No. 10","Open","Gathering Restrictions          Public Health Orders","19.6","2","10181"
"58","Cypress County","Open","Gathering Restrictions          Public Health Orders","44.6","5","11218"
"59","Edmonton - Abbottsfield","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","130.7","19","14540"
"60","Edmonton - Bonnie Doon","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","106.7","103","96574"
"61","Edmonton - Castle Downs","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","296.3","209","70526"
"62","Edmonton - Duggan","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","148.4","60","40428"
"63","Edmonton - Eastwood","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","166.7","121","72600"
"64","Edmonton - Jasper Place","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","129.6","61","47069"
"65","Edmonton - Mill Woods South & East","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","210.9","175","82983"
"66","Edmonton - Mill Woods West","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","221","113","51122"
"67","Edmonton - Ne","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","175.5","156","88901"
"68","Edmonton - Northgate","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","202.7","167","82404"
"69","Edmonton - Rutherford","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","207.4","216","104153"
"70","Edmonton - Twin Brooks","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","120.2","91","75685"
"71","Edmonton - West Jasper Place","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","165.3","167","101046"
"72","Edmonton - Woodcroft East","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","271.6","164","60381"
"73","Edmonton - Woodcroft West","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","150.9","49","32479"
"74","Flagstaff County","Open","Gathering Restrictions          Public Health Orders","35","3","8560"
"75","Foothills County","Watch","Gathering Restrictions          Public Health Orders","62.8","14","22291"
"76","I.d. No. 12 (Jasper National Park)","Open","Gathering Restrictions          Public Health Orders","0","0","0"
"77","I.d. No. 13 (Elk Island)","Open","Gathering Restrictions          Public Health Orders","0","0","0"
"78","I.d. No. 24 (Wood Buffalo)","Open","Gathering Restrictions          Public Health Orders","0","0","565"
"79","I.d. No. 25 (Willmore Wilderness)","Open","Gathering Restrictions          Public Health Orders","0","0","0"
"80","I.d. No. 349","Open","Gathering Restrictions          Public Health Orders","0","0","0"
"81","I.d. No. 4 (Waterton)","Open","Gathering Restrictions          Public Health Orders","0","0","166"
"82","I.d. No. 9 (Banff)","Open","Gathering Restrictions          Public Health Orders","14.4","2","13849"
"83","Kananaskis Improvement District","Open","Gathering Restrictions          Public Health Orders","0","0","1"
"84","Kneehill County","Open","Gathering Restrictions          Public Health Orders","55","6","10909"
"85","Lac La Biche County","Open","Gathering Restrictions          Public Health Orders","9.9","1","10150"
"86","Lac Ste. Anne County","Watch","Gathering Restrictions          Public Health Orders","199.6","33","16534"
"87","Lacombe County","Open","Gathering Restrictions          Public Health Orders","23","5","21779"
"88","Lamont County","Open","Gathering Restrictions          Public Health Orders","50.8","4","7881"
"89","Leduc County","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","79.3","19","23958"
"90","Lethbridge County","Watch","Gathering Restrictions          Public Health Orders","103.1","26","25228"
"91","Mackenzie County","Open","Gathering Restrictions          Public Health Orders","24.8","6","24171"
"92","Mountain View County","Open","Gathering Restrictions          Public Health Orders","4.4","1","22893"
"93","Municipal District Of Acadia No. 34","Open","Gathering Restrictions          Public Health Orders","0","0","368"
"94","Municipal District Of Bighorn No. 8","Open","Gathering Restrictions          Public Health Orders","99.9","5","5004"
"95","Municipal District Of Bonnyville No. 87","Watch","Gathering Restrictions          Public Health Orders","61.7","11","17826"
"96","Municipal District Of Fairview No. 136","Open","Gathering Restrictions          Public Health Orders","19.8","1","5061"
"97","Municipal District Of Greenview No. 16","Open","Gathering Restrictions          Public Health Orders","39.8","6","15058"
"98","Municipal District Of Lesser Slave River No. 124","Open","Gathering Restrictions          Public Health Orders","37.1","4","10790"
"99","Municipal District Of Opportunity No. 17","Open","Gathering Restrictions          Public Health Orders","135.4","9","6646"
"100","Municipal District Of Peace No. 135","Open","Gathering Restrictions          Public Health Orders","50.2","8","15922"
"101","Municipal District Of Pincher Creek No. 9","Open","Gathering Restrictions          Public Health Orders","0","0","8302"
"102","Municipal District Of Provost No. 52","Open","Gathering Restrictions          Public Health Orders","41.4","2","4828"
"103","Municipal District Of Ranchland No. 66","Open","Gathering Restrictions          Public Health Orders","0","0","0"
"104","Municipal District Of Smoky River No. 130","Open","Gathering Restrictions          Public Health Orders","22.7","1","4410"
"105","Municipal District Of Spirit River No. 133","Open","Gathering Restrictions          Public Health Orders","194.1","6","3092"
"106","Municipal District Of Taber","Watch","Gathering Restrictions          Public Health Orders","53","10","18863"
"107","Municipal District Of Wainwright No. 61","Open","Gathering Restrictions          Public Health Orders","16.9","2","11810"
"108","Municipal District Of Willow Creek No. 26","Watch","Gathering Restrictions          Public Health Orders","115.7","19","16427"
"109","Municipality Of Crowsnest Pass","Open","Gathering Restrictions          Public Health Orders","15.8","1","6321"
"110","Municipality Of Jasper","Open","Gathering Restrictions          Public Health Orders","160.3","9","5616"
"111","Northern Sunrise County","Open","Gathering Restrictions          Public Health Orders","0","0","3188"
"112","Parkland County","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","72.2","24","33223"
"113","Ponoka County","Watch","Gathering Restrictions          Public Health Orders","167.5","46","27468"
"114","Red Deer County","Open","Gathering Restrictions          Public Health Orders","27.3","9","33017"
"115","Regional Municipality Of Wood Buffalo","Watch","Gathering Restrictions          Public Health Orders","51.8","43","82974"
"116","Rocky View County","Watch","Gathering Restrictions          Public Health Orders","53","23","43377"
"117","Saddle Hills County","Open","Gathering Restrictions          Public Health Orders","65.7","1","1523"
"118","Smoky Lake County","Open","Gathering Restrictions          Public Health Orders","106.9","9","8421"
"119","Special Areas No. 2","Open","Gathering Restrictions          Public Health Orders","21.9","1","4556"
"120","Special Areas No. 3","Open","Gathering Restrictions          Public Health Orders","0","0","2451"
"121","Special Areas No. 4","Open","Gathering Restrictions          Public Health Orders","0","0","2149"
"122","Starland County","Open","Gathering Restrictions          Public Health Orders","0","0","1928"
"123","Strathcona County","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","71.9","71","98714"
"124","Sturgeon County","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","114.4","32","27964"
"125","Thorhild County","Open","Gathering Restrictions          Public Health Orders","0","0","2726"
"126","Town Of Canmore","Open","Gathering Restrictions          Public Health Orders","12.3","2","16273"
"127","Town Of Cochrane","Open","Gathering Restrictions          Public Health Orders","15","5","33328"
"128","Town Of Drumheller","Open","Gathering Restrictions          Public Health Orders","11.1","1","9006"
"129","Town Of High River","Open","Gathering Restrictions          Public Health Orders","30","5","16650"
"130","Town Of Hinton","Open","Gathering Restrictions          Public Health Orders","34.1","4","11742"
"131","Town Of Morinville","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","158.8","18","11332"
"132","Town Of Okotoks","Open","Gathering Restrictions          Public Health Orders","40","14","34999"
"133","Town Of Olds","Open","Gathering Restrictions          Public Health Orders","0","0","12452"
"134","Town Of Stony Plain","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","74","15","20264"
"135","Town Of Strathmore","Open","Gathering Restrictions          Public Health Orders","43.1","8","18550"
"136","Town Of Sylvan Lake","Open","Gathering Restrictions          Public Health Orders","5.9","1","16829"
"137","Town Of Whitecourt","Open","Gathering Restrictions          Public Health Orders","20.9","3","14322"
"138","Vulcan County","Open","Gathering Restrictions          Public Health Orders","54.1","5","9245"
"139","Westlock County","Watch","Gathering Restrictions          Public Health Orders","182.8","25","13673"
"140","Wheatland County","Open","Gathering Restrictions          Public Health Orders","44.5","3","6737"
"141","Woodlands County","Open","Gathering Restrictions          Public Health Orders","0","0","1358"
"142","Yellowhead County","Open","Gathering Restrictions          Public Health Orders","35.6","7","19658"
