"","Region name","Region classification","Measures","Active case rate (per 100,000 population)","Active cases","Population"
"26","City Of Brooks","Watch","Gathering Restrictions          Public Health Orders","238.4","46","19297"
"27","City Of Calgary","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","162.9","2196","1347732"
"28","City Of Camrose","Watch","Gathering Restrictions          Public Health Orders","92.8","20","21543"
"29","City Of Chestermere","Watch","Gathering Restrictions          Public Health Orders","363.5","76","20905"
"30","City Of Cold Lake","Watch","Gathering Restrictions          Public Health Orders","70.8","14","19763"
"31","City Of Edmonton","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","201.1","2055","1021628"
"32","City Of Fort Saskatchewan","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","89.8","24","26738"
"33","City Of Grande Prairie","Watch","Gathering Restrictions          Public Health Orders","130.3","96","73697"
"34","City Of Lacombe","Open","Gathering Restrictions          Public Health Orders","32.2","6","18640"
"35","City Of Leduc","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","63.6","21","33017"
"36","City Of Lethbridge","Watch","Gathering Restrictions          Public Health Orders","165.7","164","98987"
"37","City Of Lloydminster","Open","Gathering Restrictions          Public Health Orders","0","0","22277"
"38","City Of Medicine Hat","Open","Gathering Restrictions          Public Health Orders","22","15","68057"
"39","City Of Red Deer","Watch","Gathering Restrictions          Public Health Orders","59.5","63","105939"
"40","City Of Spruce Grove","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","72.8","27","37076"
"41","City Of St. Albert","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","133.5","92","68923"
"42","City Of Wetaskiwin","Watch","Gathering Restrictions          Public Health Orders","148.8","25","16799"
"43","Clear Hills County","Open","Gathering Restrictions          Public Health Orders","66.7","2","2998"
"44","Clearwater County","Open","Gathering Restrictions          Public Health Orders","19.7","4","20304"
"45","County Of Barrhead No. 11","Open","Gathering Restrictions          Public Health Orders","69.2","7","10116"
"46","County Of Forty Mile No. 8","Watch","Gathering Restrictions          Public Health Orders","201.8","13","6443"
"47","County Of Grande Prairie No. 1","Watch","Gathering Restrictions          Public Health Orders","89.4","28","31319"
"48","County Of Minburn No. 27","Open","Gathering Restrictions          Public Health Orders","9.6","1","10380"
"49","County Of Newell","Watch","Gathering Restrictions          Public Health Orders","173","14","8093"
"50","County Of Northern Lights","Open","Gathering Restrictions          Public Health Orders","81","3","3702"
"51","County Of Paintearth No. 18","Open","Gathering Restrictions          Public Health Orders","0","0","3947"
"52","County Of St. Paul No. 19","Watch","Gathering Restrictions          Public Health Orders","66.7","11","16493"
"53","County Of Stettler No. 6","Open","Gathering Restrictions          Public Health Orders","0","0","12449"
"54","County Of Two Hills No. 21","Open","Gathering Restrictions          Public Health Orders","17.9","1","5596"
"55","County Of Vermilion River","Open","Gathering Restrictions          Public Health Orders","7.7","1","12907"
"56","County Of Warner No. 5","Open","Gathering Restrictions          Public Health Orders","54.6","6","10994"
"57","County Of Wetaskiwin No. 10","Open","Gathering Restrictions          Public Health Orders","9.8","1","10181"
"58","Cypress County","Open","Gathering Restrictions          Public Health Orders","80.2","9","11218"
"59","Edmonton - Abbottsfield","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","171.9","25","14540"
"60","Edmonton - Bonnie Doon","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","155.3","150","96574"
"61","Edmonton - Castle Downs","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","283.6","200","70526"
"62","Edmonton - Duggan","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","197.9","80","40428"
"63","Edmonton - Eastwood","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","151.5","110","72600"
"64","Edmonton - Jasper Place","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","157.2","74","47069"
"65","Edmonton - Mill Woods South & East","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","265.1","220","82983"
"66","Edmonton - Mill Woods West","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","240.6","123","51122"
"67","Edmonton - Ne","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","195.7","174","88901"
"68","Edmonton - Northgate","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","231.8","191","82404"
"69","Edmonton - Rutherford","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","254.4","265","104153"
"70","Edmonton - Twin Brooks","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","125.5","95","75685"
"71","Edmonton - West Jasper Place","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","168.2","170","101046"
"72","Edmonton - Woodcroft East","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","236.8","143","60381"
"73","Edmonton - Woodcroft West","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","117","38","32479"
"74","Flagstaff County","Open","Gathering Restrictions          Public Health Orders","23.4","2","8560"
"75","Foothills County","Watch","Gathering Restrictions          Public Health Orders","103.2","23","22291"
"76","I.d. No. 12 (Jasper National Park)","Open","Gathering Restrictions          Public Health Orders","0","0","0"
"77","I.d. No. 13 (Elk Island)","Open","Gathering Restrictions          Public Health Orders","0","0","0"
"78","I.d. No. 24 (Wood Buffalo)","Open","Gathering Restrictions          Public Health Orders","0","0","565"
"79","I.d. No. 25 (Willmore Wilderness)","Open","Gathering Restrictions          Public Health Orders","0","0","0"
"80","I.d. No. 349","Open","Gathering Restrictions          Public Health Orders","0","0","0"
"81","I.d. No. 4 (Waterton)","Open","Gathering Restrictions          Public Health Orders","0","0","166"
"82","I.d. No. 9 (Banff)","Open","Gathering Restrictions          Public Health Orders","28.9","4","13849"
"83","Kananaskis Improvement District","Open","Gathering Restrictions          Public Health Orders","0","0","1"
"84","Kneehill County","Watch","Gathering Restrictions          Public Health Orders","110","12","10909"
"85","Lac La Biche County","Open","Gathering Restrictions          Public Health Orders","9.9","1","10150"
"86","Lac Ste. Anne County","Watch","Gathering Restrictions          Public Health Orders","157.3","26","16534"
"87","Lacombe County","Open","Gathering Restrictions          Public Health Orders","13.8","3","21779"
"88","Lamont County","Watch","Gathering Restrictions          Public Health Orders","126.9","10","7881"
"89","Leduc County","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","104.3","25","23958"
"90","Lethbridge County","Watch","Gathering Restrictions          Public Health Orders","178.4","45","25228"
"91","Mackenzie County","Open","Gathering Restrictions          Public Health Orders","29","7","24171"
"92","Mountain View County","Open","Gathering Restrictions          Public Health Orders","30.6","7","22893"
"93","Municipal District Of Acadia No. 34","Open","Gathering Restrictions          Public Health Orders","0","0","368"
"94","Municipal District Of Bighorn No. 8","Open","Gathering Restrictions          Public Health Orders","40","2","5004"
"95","Municipal District Of Bonnyville No. 87","Watch","Gathering Restrictions          Public Health Orders","61.7","11","17826"
"96","Municipal District Of Fairview No. 136","Watch","Gathering Restrictions          Public Health Orders","335.9","17","5061"
"97","Municipal District Of Greenview No. 16","Open","Gathering Restrictions          Public Health Orders","59.8","9","15058"
"98","Municipal District Of Lesser Slave River No. 124","Open","Gathering Restrictions          Public Health Orders","55.6","6","10790"
"99","Municipal District Of Opportunity No. 17","Watch","Gathering Restrictions          Public Health Orders","240.8","16","6646"
"100","Municipal District Of Peace No. 135","Watch","Gathering Restrictions          Public Health Orders","87.9","14","15922"
"101","Municipal District Of Pincher Creek No. 9","Open","Gathering Restrictions          Public Health Orders","0","0","8302"
"102","Municipal District Of Provost No. 52","Open","Gathering Restrictions          Public Health Orders","0","0","4828"
"103","Municipal District Of Ranchland No. 66","Open","Gathering Restrictions          Public Health Orders","0","0","0"
"104","Municipal District Of Smoky River No. 130","Open","Gathering Restrictions          Public Health Orders","22.7","1","4410"
"105","Municipal District Of Spirit River No. 133","Open","Gathering Restrictions          Public Health Orders","32.3","1","3092"
"106","Municipal District Of Taber","Watch","Gathering Restrictions          Public Health Orders","63.6","12","18863"
"107","Municipal District Of Wainwright No. 61","Open","Gathering Restrictions          Public Health Orders","8.5","1","11810"
"108","Municipal District Of Willow Creek No. 26","Watch","Gathering Restrictions          Public Health Orders","146.1","24","16427"
"109","Municipality Of Crowsnest Pass","Open","Gathering Restrictions          Public Health Orders","15.8","1","6321"
"110","Municipality Of Jasper","Open","Gathering Restrictions          Public Health Orders","124.6","7","5616"
"111","Northern Sunrise County","Open","Gathering Restrictions          Public Health Orders","0","0","3188"
"112","Parkland County","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","69.2","23","33223"
"113","Ponoka County","Watch","Gathering Restrictions          Public Health Orders","145.6","40","27468"
"114","Red Deer County","Open","Gathering Restrictions          Public Health Orders","15.1","5","33017"
"115","Regional Municipality Of Wood Buffalo","Watch","Gathering Restrictions          Public Health Orders","73.5","61","82974"
"116","Rocky View County","Watch","Gathering Restrictions          Public Health Orders","64.6","28","43377"
"117","Saddle Hills County","Open","Gathering Restrictions          Public Health Orders","0","0","1523"
"118","Smoky Lake County","Watch","Gathering Restrictions          Public Health Orders","285","24","8421"
"119","Special Areas No. 2","Open","Gathering Restrictions          Public Health Orders","0","0","4556"
"120","Special Areas No. 3","Open","Gathering Restrictions          Public Health Orders","0","0","2451"
"121","Special Areas No. 4","Open","Gathering Restrictions          Public Health Orders","0","0","2149"
"122","Starland County","Open","Gathering Restrictions          Public Health Orders","51.9","1","1928"
"123","Strathcona County","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","114.5","113","98714"
"124","Sturgeon County","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","164.5","46","27964"
"125","Thorhild County","Open","Gathering Restrictions          Public Health Orders","0","0","2726"
"126","Town Of Canmore","Open","Gathering Restrictions          Public Health Orders","18.4","3","16273"
"127","Town Of Cochrane","Open","Gathering Restrictions          Public Health Orders","24","8","33328"
"128","Town Of Drumheller","Open","Gathering Restrictions          Public Health Orders","22.2","2","9006"
"129","Town Of High River","Open","Gathering Restrictions          Public Health Orders","30","5","16650"
"130","Town Of Hinton","Open","Gathering Restrictions          Public Health Orders","25.5","3","11742"
"131","Town Of Morinville","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","317.7","36","11332"
"132","Town Of Okotoks","Watch","Gathering Restrictions          Public Health Orders","57.1","20","34999"
"133","Town Of Olds","Open","Gathering Restrictions          Public Health Orders","24.1","3","12452"
"134","Town Of Stony Plain","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","108.6","22","20264"
"135","Town Of Strathmore","Open","Gathering Restrictions          Public Health Orders","21.6","4","18550"
"136","Town Of Sylvan Lake","Open","Gathering Restrictions          Public Health Orders","41.6","7","16829"
"137","Town Of Whitecourt","Open","Gathering Restrictions          Public Health Orders","55.9","8","14322"
"138","Vulcan County","Watch","Gathering Restrictions          Public Health Orders","162.2","15","9245"
"139","Westlock County","Watch","Gathering Restrictions          Public Health Orders","95.1","13","13673"
"140","Wheatland County","Open","Gathering Restrictions          Public Health Orders","103.9","7","6737"
"141","Woodlands County","Open","Gathering Restrictions          Public Health Orders","0","0","1358"
"142","Yellowhead County","Watch","Gathering Restrictions          Public Health Orders","106.8","21","19658"
