"","Region name","Region classification","Measures","Active case rate (per 100,000 population)","Active cases","Population"
"79","I.d. No. 25 (Willmore Wilderness)","Open","Gathering Restrictions          Public Health Orders","0","0","0"
"80","I.d. No. 349","Open","Gathering Restrictions          Public Health Orders","0","0","0"
"81","I.d. No. 4 (Waterton)","Open","Gathering Restrictions          Public Health Orders","0","0","166"
"82","I.d. No. 9 (Banff)","Open","Gathering Restrictions          Public Health Orders","7.2","1","13849"
"83","Kananaskis Improvement District","Open","Gathering Restrictions          Public Health Orders","0","0","1"
"84","Kneehill County","Open","Gathering Restrictions          Public Health Orders","45.8","5","10909"
"85","Lac La Biche County","Open","Gathering Restrictions          Public Health Orders","0","0","10150"
"86","Lac Ste. Anne County","Watch","Gathering Restrictions          Public Health Orders","108.9","18","16534"
"87","Lacombe County","Open","Gathering Restrictions          Public Health Orders","32.1","7","21779"
"88","Lamont County","Open","Gathering Restrictions          Public Health Orders","63.4","5","7881"
"89","Leduc County","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","66.8","16","23958"
"90","Lethbridge County","Watch","Gathering Restrictions          Public Health Orders","95.1","24","25228"
"91","Mackenzie County","Open","Gathering Restrictions          Public Health Orders","24.8","6","24171"
"92","Mountain View County","Open","Gathering Restrictions          Public Health Orders","0","0","22893"
"93","Municipal District Of Acadia No. 34","Open","Gathering Restrictions          Public Health Orders","0","0","368"
"94","Municipal District Of Bighorn No. 8","Open","Gathering Restrictions          Public Health Orders","99.9","5","5004"
"95","Municipal District Of Bonnyville No. 87","Open","Gathering Restrictions          Public Health Orders","39.3","7","17826"
"96","Municipal District Of Fairview No. 136","Open","Gathering Restrictions          Public Health Orders","19.8","1","5061"
"97","Municipal District Of Greenview No. 16","Open","Gathering Restrictions          Public Health Orders","26.6","4","15058"
"98","Municipal District Of Lesser Slave River No. 124","Open","Gathering Restrictions          Public Health Orders","46.3","5","10790"
"99","Municipal District Of Opportunity No. 17","Watch","Gathering Restrictions          Public Health Orders","165.5","11","6646"
"100","Municipal District Of Peace No. 135","Open","Gathering Restrictions          Public Health Orders","37.7","6","15922"
"101","Municipal District Of Pincher Creek No. 9","Open","Gathering Restrictions          Public Health Orders","0","0","8302"
"102","Municipal District Of Provost No. 52","Open","Gathering Restrictions          Public Health Orders","41.4","2","4828"
"103","Municipal District Of Ranchland No. 66","Open","Gathering Restrictions          Public Health Orders","0","0","0"
"104","Municipal District Of Smoky River No. 130","Open","Gathering Restrictions          Public Health Orders","22.7","1","4410"
"105","Municipal District Of Spirit River No. 133","Watch","Gathering Restrictions          Public Health Orders","388.1","12","3092"
"106","Municipal District Of Taber","Open","Gathering Restrictions          Public Health Orders","37.1","7","18863"
"107","Municipal District Of Wainwright No. 61","Open","Gathering Restrictions          Public Health Orders","16.9","2","11810"
"108","Municipal District Of Willow Creek No. 26","Watch","Gathering Restrictions          Public Health Orders","91.3","15","16427"
"109","Municipality Of Crowsnest Pass","Open","Gathering Restrictions          Public Health Orders","15.8","1","6321"
"110","Municipality Of Jasper","Watch","Gathering Restrictions          Public Health Orders","249.3","14","5616"
"111","Northern Sunrise County","Open","Gathering Restrictions          Public Health Orders","0","0","3188"
"112","Parkland County","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","81.3","27","33223"
"113","Ponoka County","Watch","Gathering Restrictions          Public Health Orders","171.1","47","27468"
"114","Red Deer County","Open","Gathering Restrictions          Public Health Orders","24.2","8","33017"
"115","Regional Municipality Of Wood Buffalo","Watch","Gathering Restrictions          Public Health Orders","62.7","52","82974"
"116","Rocky View County","Watch","Gathering Restrictions          Public Health Orders","64.6","28","43377"
"117","Saddle Hills County","Open","Gathering Restrictions          Public Health Orders","65.7","1","1523"
"118","Smoky Lake County","Open","Gathering Restrictions          Public Health Orders","95","8","8421"
"119","Special Areas No. 2","Open","Gathering Restrictions          Public Health Orders","21.9","1","4556"
"120","Special Areas No. 3","Open","Gathering Restrictions          Public Health Orders","0","0","2451"
"121","Special Areas No. 4","Open","Gathering Restrictions          Public Health Orders","0","0","2149"
"122","Starland County","Open","Gathering Restrictions          Public Health Orders","0","0","1928"
"123","Strathcona County","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","76","75","98714"
"124","Sturgeon County","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","96.6","27","27964"
"125","Thorhild County","Open","Gathering Restrictions          Public Health Orders","0","0","2726"
"126","Town Of Canmore","Open","Gathering Restrictions          Public Health Orders","6.1","1","16273"
"127","Town Of Cochrane","Open","Gathering Restrictions          Public Health Orders","12","4","33328"
"128","Town Of Drumheller","Open","Gathering Restrictions          Public Health Orders","11.1","1","9006"
"129","Town Of High River","Open","Gathering Restrictions          Public Health Orders","12","2","16650"
"130","Town Of Hinton","Open","Gathering Restrictions          Public Health Orders","25.5","3","11742"
"131","Town Of Morinville","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","158.8","18","11332"
"132","Town Of Okotoks","Open","Gathering Restrictions          Public Health Orders","42.9","15","34999"
"133","Town Of Olds","Open","Gathering Restrictions          Public Health Orders","16.1","2","12452"
"134","Town Of Stony Plain","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","54.3","11","20264"
"135","Town Of Strathmore","Open","Gathering Restrictions          Public Health Orders","43.1","8","18550"
"136","Town Of Sylvan Lake","Open","Gathering Restrictions          Public Health Orders","5.9","1","16829"
"137","Town Of Whitecourt","Open","Gathering Restrictions          Public Health Orders","7","1","14322"
"138","Vulcan County","Open","Gathering Restrictions          Public Health Orders","32.4","3","9245"
"139","Westlock County","Watch","Gathering Restrictions          Public Health Orders","168.2","23","13673"
"140","Wheatland County","Open","Gathering Restrictions          Public Health Orders","59.4","4","6737"
"141","Woodlands County","Open","Gathering Restrictions          Public Health Orders","0","0","1358"
"142","Yellowhead County","Open","Gathering Restrictions          Public Health Orders","20.3","4","19658"
