"","Region name","Region classification","Measures","Active case rate (per 100,000 population)","Active cases","Population"
"104","Municipal District Of Smoky River No. 130","Open","Gathering Restrictions          Public Health Orders","22.7","1","4410"
"105","Municipal District Of Spirit River No. 133","Open","Gathering Restrictions          Public Health Orders","129.4","4","3092"
"106","Municipal District Of Taber","Open","Gathering Restrictions          Public Health Orders","47.7","9","18863"
"107","Municipal District Of Wainwright No. 61","Open","Gathering Restrictions          Public Health Orders","16.9","2","11810"
"108","Municipal District Of Willow Creek No. 26","Watch","Gathering Restrictions          Public Health Orders","133.9","22","16427"
"109","Municipality Of Crowsnest Pass","Open","Gathering Restrictions          Public Health Orders","15.8","1","6321"
"110","Municipality Of Jasper","Open","Gathering Restrictions          Public Health Orders","160.3","9","5616"
"111","Northern Sunrise County","Open","Gathering Restrictions          Public Health Orders","0","0","3188"
"112","Parkland County","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","69.2","23","33223"
"113","Ponoka County","Watch","Gathering Restrictions          Public Health Orders","163.8","45","27468"
"114","Red Deer County","Open","Gathering Restrictions          Public Health Orders","24.2","8","33017"
"115","Regional Municipality Of Wood Buffalo","Watch","Gathering Restrictions          Public Health Orders","61.5","51","82974"
"116","Rocky View County","Watch","Gathering Restrictions          Public Health Orders","50.7","22","43377"
"117","Saddle Hills County","Open","Gathering Restrictions          Public Health Orders","65.7","1","1523"
"118","Smoky Lake County","Watch","Gathering Restrictions          Public Health Orders","166.3","14","8421"
"119","Special Areas No. 2","Open","Gathering Restrictions          Public Health Orders","0","0","4556"
"120","Special Areas No. 3","Open","Gathering Restrictions          Public Health Orders","0","0","2451"
"121","Special Areas No. 4","Open","Gathering Restrictions          Public Health Orders","0","0","2149"
"122","Starland County","Open","Gathering Restrictions          Public Health Orders","0","0","1928"
"123","Strathcona County","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","77","76","98714"
"124","Sturgeon County","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","125.2","35","27964"
"125","Thorhild County","Open","Gathering Restrictions          Public Health Orders","0","0","2726"
"126","Town Of Canmore","Open","Gathering Restrictions          Public Health Orders","12.3","2","16273"
"127","Town Of Cochrane","Open","Gathering Restrictions          Public Health Orders","15","5","33328"
"128","Town Of Drumheller","Open","Gathering Restrictions          Public Health Orders","11.1","1","9006"
"129","Town Of High River","Open","Gathering Restrictions          Public Health Orders","24","4","16650"
"130","Town Of Hinton","Open","Gathering Restrictions          Public Health Orders","34.1","4","11742"
"131","Town Of Morinville","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","185.3","21","11332"
"132","Town Of Okotoks","Watch","Gathering Restrictions          Public Health Orders","51.4","18","34999"
"133","Town Of Olds","Open","Gathering Restrictions          Public Health Orders","8","1","12452"
"134","Town Of Stony Plain","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","108.6","22","20264"
"135","Town Of Strathmore","Open","Gathering Restrictions          Public Health Orders","43.1","8","18550"
"136","Town Of Sylvan Lake","Open","Gathering Restrictions          Public Health Orders","5.9","1","16829"
"137","Town Of Whitecourt","Open","Gathering Restrictions          Public Health Orders","20.9","3","14322"
"138","Vulcan County","Open","Gathering Restrictions          Public Health Orders","54.1","5","9245"
"139","Westlock County","Watch","Gathering Restrictions          Public Health Orders","175.5","24","13673"
"140","Wheatland County","Open","Gathering Restrictions          Public Health Orders","44.5","3","6737"
"141","Woodlands County","Open","Gathering Restrictions          Public Health Orders","0","0","1358"
"142","Yellowhead County","Open","Gathering Restrictions          Public Health Orders","40.7","8","19658"
