ï»¿Report_Data_Extracted,LTC_Home,LTC_City,Beds,Total_LTC_Resident_Cases,Total_LTC_Resident_Deaths,Total_LTC_HCW_Cases
2020-04-25,Chartwell Pine Grove Long Term Care Residence,,96.0,0.0,0,<5
2020-04-25,Chartwell Waterford Long Term Care Residence,,168.0,0.0,0,<5
2020-04-25,Chartwell Westbury Long Term Care Residence,,187.0,48.0,12,19.0
2020-04-25,Chartwell White Eagle Long Term Care Residence,,56.0,18.0,11,8.0
2020-04-25,Chartwell Woodhaven Long Term Care Residence,,192.0,0.0,0,0.0
2020-04-25,Cooksville Care Centre,,192.0,16.0,0,5.0
2020-04-25,Copernicus Lodge,,228.0,0.0,0,<5
2020-04-25,Country Village Homes - Woodslee,,104.0,28.0,16,11.0
2020-04-25,Craiglee Nursing Home,,169.0,<5,0,<5
2020-04-25,Dom Lipa,,66.0,<5,0,0.0
2020-04-25,Downsview Long Term Care Centre,,252.0,42.0,<5,9.0
2020-04-25,Dufferin Oaks,,160.0,<5,<5,5.0
2020-04-25,Dundurn Place Care Centre,,201.0,<5,0,0.0
2020-04-25,Eagle Terrace,,70.0,<5,<5,0.0
2020-04-25,Earls Court Village,,128.0,<5,<5,7.0
2020-04-25,Eatonville Care Centre,,247.0,143.0,37,66.0
2020-04-25,Ã‰lisabeth-BruyÃ¨re Residence,,71.0,0.0,0,<5
2020-04-25,Elm Grove Living Centre,,126.0,29.0,12,44.0
2020-04-25,Erin Mills Lodge Nursing Home,,86.0,<5,<5,6.0
2020-04-25,Extendicare Bayview,,205.0,62.0,7,10.0
2020-04-25,Extendicare Brampton,,150.0,6.0,0,<5
2020-04-25,Extendicare Guildwood,,169.0,<5,0,0.0
2020-04-25,Extendicare Laurier Manor,,242.0,37.0,0,16.0
2020-04-25,Extendicare Rouge Valley,,192.0,0.0,0,<5
2020-04-25,Extendicare Scarborough,,154.0,0.0,0,<5
2020-04-25,Extendicare Starwood,,192.0,0.0,0,<5
2020-04-25,Fairview Lodge,,198.0,0.0,0,0.0
2020-04-25,Forest Heights,,240.0,115.0,24,47.0
2020-04-25,Franklin Gardens Long Term Care Home,,120.0,<5,0,<5
2020-04-25,Garry J. Armstrong Home,,180.0,0.0,0,<5
2020-04-25,Gateway Haven Long Term Care Home,,100.0,0.0,0,<5
2020-04-25,Grace Manor,,120.0,49.0,<5,21.0
2020-04-25,Greenwood Court,,45.0,<5,<5,7.0
2020-04-25,Hampton Terrace Care Centre,,101.0,0.0,0,<5
2020-04-25,Harold and Grace Baker Centre,,120.0,40.0,10,19.0
2020-04-25,Hastings Manor Home for the Aged,,253.0,10.0,0,<5
2020-04-25,Hawthorne Place Care Centre,,269.0,5.0,0,7.0
2020-04-25,Hellenic Home - Scarborough,,128.0,36.0,7,17.0
2020-04-25,Henley Place,,192.0,<5,0,0.0
2020-04-25,Heritage Green Nursing Home,,167.0,9.0,<5,<5
2020-04-25,Heron Terrace Long Term Care Community,,140.0,39.0,<5,15.0
2020-04-25,Hillsdale Terraces,,200.0,29.0,13,13.0
2020-04-25,Humber Valley Terrace,,158.0,6.0,0,0.0
2020-04-25,Ina Grafton Gage Home,,128.0,26.0,6,19.0
2020-04-25,IOOF Seniors Home,,182.0,0.0,0,<5
2020-04-25,Isabel and Arthur Meighen Manor,,168.0,84.0,20,15.0
2020-04-25,Kensington Village,,78.0,<5,<5,<5
2020-04-25,King Nursing Home,,86.0,0.0,0,<5
2020-04-25,Kipling Acres,,337.0,36.0,11,6.0
2020-04-25,Kristus Darzs Latvian Home,,100.0,11.0,<5,<5
2020-04-25,Labdara Lithuanian Nursing Home,,90.0,0.0,0,<5
2020-04-25,Lakeshore Lodge,,150.0,40.0,9,17.0
2020-04-25,Lambton Meadowview Villa,,125.0,0.0,0,<5
2020-04-25,Lanark Heights Long Term Care Centre,,160.0,8.0,<5,5.0
2020-04-25,Mackenzie Health Long Term Care Facility,,168.0,0.0,0,0.0
2020-04-25,MacKenzie Place,,93.0,46.0,6,18.0
2020-04-25,Madonna Care Community,,160.0,38.0,14,18.0
2020-04-25,Main Street Terrace,,150.0,<5,0,0.0
2020-04-25,Malton Village Long Term Care Centre,,160.0,<5,0,<5
2020-04-25,Manoir Marochel,,64.0,10.0,<5,6.0
2020-04-25,Maple View,,29.0,22.0,0,6.0
2020-04-25,Markhaven,,96.0,10.0,15,21.0
2020-04-25,Maynard Nursing Home,,77.0,<5,0,<5
2020-04-25,McCall Centre Long Term Care Interim Unit,,21.0,0.0,0,<5
2020-04-25,Meadow Park (London),,126.0,6.0,0,
2020-04-25,Midland Gardens Care Community,,299.0,<5,<5,<5
2020-04-25,Moira Place Long-Term Care Home,,128.0,0.0,0,<5
2020-04-25,Mon Sheong Home for the Aged,,105.0,50.0,24,16.0
2020-04-25,Montfort,,128.0,46.0,12,16.0
2020-04-25,Northridge,,133.0,<5,0,0.0
2020-04-25,Norwood Nursing Home,,60.0,<5,0,<5
2020-04-25,Orchard Villa,,233.0,144.0,43,45.0
2020-04-25,Owen Hill Care Community,,57.0,0.0,0,<5
2020-04-25,Peel Manor,,177.0,7.0,<5,0.0
2020-04-25,peopleCare A.R. Goudie Kitchener,,80.0,12.0,<5,11.0
2020-04-25,Pinecrest (Plantagenet),,60.0,8.0,0,<5
2020-04-25,Pinecrest Nursing Home (Bobcaygeon),,65.0,33.0,29,32.0
2020-04-25,Post Inn Village,,228.0,<5,0,<5
2020-04-25,Providence Healthcare,,288.0,13.0,<5,6.0
2020-04-25,Providence Manor,,243.0,<5,0,0.0
2020-04-25,ReachView Village,,100.0,<5,0,0.0
2020-04-25,Residence Prescott et Russell,,146.0,0.0,0,<5
2020-04-25,Residence Saint-Louis,,198.0,<5,0,<5
2020-04-25,Rosebridge Manor,,78.0,0.0,0,<5
2020-04-25,Royal Rose Place,,96.0,41.0,10,29.0
2020-04-25,Royal Terrace,,67.0,<5,0,0.0
2020-04-25,Seven Oaks,,249.0,94.0,34,15.0
2020-04-25,Shelburne Long Term Care Home,,60.0,17.0,5,5.0
2020-04-25,Shepherd Lodge,,252.0,0.0,0,0.0
2020-04-25,Sherbourne Place,,126.0,43.0,14,25.0
2020-04-25,Sheridan Villa,,142.0,<5,<5,<5
2020-04-25,Silverthorn Care Community,,160.0,0.0,0,<5
2020-04-25,Southlake Residential Care Village,,224.0,0.0,0,<5
2020-04-25,St. Clair O'Connor Community Nursing Home,,25.0,<5,8,7.0
2020-04-25,St. Joseph's at Fleming,,200.0,<5,0,<5
2020-04-25,St. Joseph's Lifecare Centre,,205.0,0.0,0,<5
2020-04-25,"St. Joseph's Villa, Dundas",,425.0,<5,0,0.0
2020-04-25,"St. Joseph's Villa, Sudbury",,128.0,<5,0,<5
2020-04-25,Stoneridge Manor,,60.0,50.0,5,13.0
2020-04-25,Sun Parlor Home for Senior Citizens,,206.0,0.0,<5,0.0
2020-04-25,Tall Pines Long Term Care Centre,,160.0,0.0,0,<5
2020-04-25,The Henley House,,160.0,<5,0,0.0
2020-04-25,The Jewish Home for the Aged,,472.0,<5,<5,6.0
2020-04-25,The Kensington Gardens,,350.0,22.0,<5,7.0
2020-04-25,The O'Neill Centre,,162.0,<5,0,0.0
2020-04-25,The Perley and Rideau Veterans' Health Centre,,450.0,5.0,<5,18.0
2020-04-25,The Village at University Gates,,192.0,0.0,<5,<5
2020-04-25,The Village of Erin Meadows,,180.0,43.0,9,21.0
2020-04-25,The Village of Humber Heights,,192.0,9.0,<5,5.0
2020-04-25,The Village of Riverside Glen,,192.0,0.0,0,<5
2020-04-25,The Woodlands of Sunset,,121.0,<5,0,0.0
2020-04-25,Trinity Village Care Centre,,150.0,26.0,<5,25.0
2020-04-25,Ukrainian Canadian Care Centre,,152.0,25.0,<5,<5
2020-04-25,Valleyview Residence,,174.0,6.0,<5,7.0
2020-04-25,Villa Colombo Homes for the Aged,,391.0,<5,0,<5
2020-04-25,Villa Colombo Seniors Centre (Vaughan),,160.0,28.0,7,14.0
2020-04-25,Villa Forum,,160.0,34.0,7,13.0
2020-04-25,Villa Leonardo Gambin,,168.0,33.0,5,7.0
2020-04-25,Villa Marconi,,128.0,0.0,0,<5
2020-04-25,Vision Nursing Home,,146.0,0.0,0,<5
2020-04-25,Wellesley Central Place,,150.0,30.0,11,20.0
2020-04-25,Wesburn Manor,,192.0,<5,0,0.0
2020-04-25,West Park Long Term Care Centre,,200.0,35.0,12,29.0
2020-04-25,Weston Terrace Care Community,,224.0,8.0,<5,7.0
2020-04-25,Winbourne Park,,110.0,0.0,0,<5
2020-04-25,Woods Park Care Centre,,123.0,0.0,0,<5
2020-04-25,Yee Hong Centre - Scarborough McNicoll,,155.0,<5,0,<5
2020-04-26,"Albright Gardens Homes, Incorporated",,231.0,<5,0,<5
2020-04-26,Almonte Country Haven,,82.0,44.0,25,17.0
2020-04-26,Altamont Care Community,,159.0,125.0,32,45.0
2020-04-26,Anson Place Care Centre,,61.0,28.0,23,33.0
2020-04-26,Bay Ridges,,124.0,0.0,0,<5
2020-04-26,Belmont House,,140.0,25.0,0,<5
2020-04-26,Bendale Acres,,302.0,0.0,0,<5
2020-04-26,Bethany Lodge,,128.0,<5,<5,<5
2020-04-26,Bradford Valley Care Community,,246.0,20.0,7,10.0
2020-04-26,Burton Manor,,128.0,24.0,<5,9.0
2020-04-26,Camilla Care Community,,236.0,114.0,7,29.0
2020-04-26,Caressant Care Courtland,,55.0,0.0,0,<5
2020-04-26,Caressant Care Fergus Nursing Home,,87.0,<5,0,0.0
2020-04-26,Caressant Care on Bonnie Place,,116.0,0.0,0,<5
2020-04-26,Carlingview Manor,,303.0,32.0,<5,5.0
2020-04-26,Castleview Wychwood Towers,,456.0,0.0,0,<5
2020-04-26,Cedarvale Terrace,,218.0,0.0,0,<5
2020-04-26,Centre d'Accueil Roger Seguin,,113.0,0.0,0,<5
2020-04-26,Chartwell Aurora Long Term Care Residence,,235.0,25.0,<5,<5
2020-04-26,Chartwell Ballycliffe Long Term Care Residence,,100.0,50.0,19,27.0
2020-04-26,Chartwell Gibson Long Term Care Residence,,202.0,30.0,8,6.0
2020-04-26,Chartwell Pine Grove Long Term Care Residence,,96.0,0.0,0,<5
2020-04-26,Chartwell Waterford Long Term Care Residence,,168.0,0.0,0,<5
2020-04-26,Chartwell Westbury Long Term Care Residence,,187.0,48.0,12,19.0
2020-04-26,Chartwell White Eagle Long Term Care Residence,,56.0,18.0,11,8.0
2020-04-26,Chartwell Woodhaven Long Term Care Residence,,192.0,0.0,0,0.0
2020-04-26,Cooksville Care Centre,,192.0,16.0,0,5.0
2020-04-26,Copernicus Lodge,,228.0,0.0,0,<5
2020-04-26,Country Village Homes - Woodslee,,104.0,28.0,16,11.0
2020-04-26,Craiglee Nursing Home,,169.0,<5,0,<5
2020-04-26,Dom Lipa,,66.0,<5,0,0.0
2020-04-26,Downsview Long Term Care Centre,,252.0,42.0,<5,9.0
2020-04-26,Dufferin Oaks,,160.0,<5,<5,5.0
2020-04-26,Dundurn Place Care Centre,,201.0,<5,0,0.0
2020-04-26,Eagle Terrace,,70.0,<5,<5,0.0
2020-04-26,Earls Court Village,,128.0,<5,<5,7.0
2020-04-26,Eatonville Care Centre,,247.0,143.0,37,66.0
2020-04-26,Ã‰lisabeth-BruyÃ¨re Residence,,71.0,0.0,0,<5
2020-04-26,Elm Grove Living Centre,,126.0,29.0,12,44.0
2020-04-26,Elmwood Place,,90.0,<5,0,0.0
2020-04-26,Erin Mills Lodge Nursing Home,,86.0,<5,<5,6.0
2020-04-26,Extendicare Bayview,,205.0,62.0,7,10.0
2020-04-26,Extendicare Brampton,,150.0,6.0,0,<5
2020-04-26,Extendicare Guildwood,,169.0,<5,0,0.0
2020-04-26,Extendicare Laurier Manor,,242.0,36.0,<5,16.0
2020-04-26,Extendicare Rouge Valley,,192.0,0.0,0,<5
2020-04-26,Extendicare Scarborough,,154.0,0.0,0,<5
2020-04-26,Extendicare Starwood,,192.0,0.0,0,<5
2020-04-26,Fairview Lodge,,198.0,0.0,0,0.0
2020-04-26,Forest Heights,,240.0,115.0,24,47.0
2020-04-26,Franklin Gardens Long Term Care Home,,120.0,<5,0,<5
2020-04-26,Garry J. Armstrong Home,,180.0,0.0,0,<5
2020-04-26,Gateway Haven Long Term Care Home,,100.0,0.0,0,<5
2020-04-26,Grace Manor,,120.0,49.0,<5,21.0
2020-04-26,Greenwood Court,,45.0,<5,<5,7.0
2020-04-26,Hampton Terrace Care Centre,,101.0,0.0,0,<5
2020-04-26,Harold and Grace Baker Centre,,120.0,40.0,10,19.0
2020-04-26,Hastings Manor Home for the Aged,,253.0,10.0,0,<5
2020-04-26,Hawthorne Place Care Centre,,269.0,5.0,0,7.0
2020-04-26,Hellenic Home - Scarborough,,128.0,36.0,7,17.0
2020-04-26,Henley Place,,192.0,<5,0,0.0
2020-04-26,Heritage Green Nursing Home,,167.0,9.0,<5,<5
2020-04-26,Heron Terrace Long Term Care Community,,140.0,39.0,<5,15.0
2020-04-26,Hillsdale Terraces,,200.0,29.0,13,13.0
2020-04-26,Humber Valley Terrace,,158.0,6.0,0,0.0
2020-04-26,Ina Grafton Gage Home,,128.0,26.0,6,19.0
2020-04-26,IOOF Seniors Home,,182.0,0.0,0,<5
2020-04-26,Isabel and Arthur Meighen Manor,,168.0,84.0,22,26.0
2020-04-26,Kensington Village,,78.0,<5,<5,<5
2020-04-26,King Nursing Home,,86.0,0.0,0,<5
2020-04-26,Kipling Acres,,337.0,36.0,11,6.0
2020-04-26,Kristus Darzs Latvian Home,,100.0,11.0,<5,<5
2020-04-26,Labdara Lithuanian Nursing Home,,90.0,0.0,0,<5
2020-04-26,Lakeshore Lodge,,150.0,40.0,9,17.0
2020-04-26,Lambton Meadowview Villa,,125.0,0.0,0,<5
2020-04-26,Lanark Heights Long Term Care Centre,,160.0,8.0,<5,5.0
2020-04-26,Mackenzie Health Long Term Care Facility,,168.0,0.0,0,0.0
2020-04-26,MacKenzie Place,,93.0,47.0,6,18.0
2020-04-26,Madonna Care Community,,160.0,38.0,14,18.0
2020-04-26,Main Street Terrace,,150.0,<5,0,0.0
2020-04-26,Malton Village Long Term Care Centre,,160.0,<5,0,<5
2020-04-26,Manoir Marochel,,64.0,10.0,<5,6.0
2020-04-26,Maple View,,29.0,22.0,0,6.0
2020-04-26,Markhaven,,96.0,10.0,15,21.0
2020-04-26,Maynard Nursing Home,,77.0,<5,0,<5
2020-04-26,McCall Centre Long Term Care Interim Unit,,21.0,0.0,0,<5
2020-04-26,Meadow Park (London),,126.0,6.0,0,0.0
2020-04-26,Midland Gardens Care Community,,299.0,<5,<5,<5
2020-04-26,Moira Place Long-Term Care Home,,128.0,0.0,0,<5
2020-04-26,Mon Sheong Home for the Aged,,105.0,27.0,25,16.0
2020-04-26,Montfort,,128.0,46.0,12,16.0
2020-04-26,Northridge,,133.0,<5,0,0.0
2020-04-26,Norwood Nursing Home,,60.0,<5,0,<5
2020-04-26,Orchard Villa,,233.0,144.0,48,60.0
2020-04-26,Owen Hill Care Community,,57.0,0.0,0,<5
2020-04-26,Peel Manor,,177.0,7.0,<5,0.0
2020-04-26,peopleCare A.R. Goudie Kitchener,,80.0,12.0,<5,11.0
2020-04-26,Pinecrest (Plantagenet),,60.0,8.0,0,<5
2020-04-26,Pinecrest Nursing Home (Bobcaygeon),,65.0,33.0,29,32.0
2020-04-26,Post Inn Village,,228.0,<5,0,<5
2020-04-26,Providence Healthcare,,288.0,13.0,<5,6.0
2020-04-26,Providence Manor,,243.0,<5,0,0.0
2020-04-26,ReachView Village,,100.0,<5,0,0.0
2020-04-26,Residence Prescott et Russell,,146.0,0.0,0,<5
2020-04-26,Residence Saint-Louis,,198.0,<5,0,<5
2020-04-26,Rosebridge Manor,,78.0,0.0,0,<5
2020-04-26,Royal Rose Place,,96.0,41.0,10,29.0
2020-04-26,Royal Terrace,,67.0,<5,0,0.0
2020-04-26,Seven Oaks,,249.0,94.0,34,15.0
2020-04-26,Shelburne Long Term Care Home,,60.0,17.0,5,5.0
2020-04-26,Shepherd Lodge,,252.0,0.0,0,0.0
2020-04-26,Sherbourne Place,,126.0,43.0,14,25.0
2020-04-26,Sheridan Villa,,142.0,<5,<5,<5
2020-04-26,Silverthorn Care Community,,160.0,0.0,0,<5
2020-04-26,Southlake Residential Care Village,,224.0,0.0,0,<5
2020-04-26,St. Clair O'Connor Community Nursing Home,,25.0,<5,8,7.0
2020-04-26,St. George Care Community,,238.0,0.0,0,<5
2020-04-26,St. Joseph's at Fleming,,200.0,<5,0,<5
