ï»¿Report_Data_Extracted,LTC_Home,City,Beds,Total_LTC_Resident_Cases,Total_LTC_Resident_Deaths,Total_LTC_HCW_Cases
2020-04-24,Erin Mills Lodge Nursing Home,Mississauga,86.0,<5,<5,6.0
2020-04-24,Extendicare Bayview,North York,205.0,66.0,6.0,13.0
2020-04-24,Extendicare Brampton,Brampton,150.0,<5,0.0,<5
2020-04-24,Extendicare Guildwood,Scarborough,169.0,<5,0.0,0.0
2020-04-24,Extendicare Laurier Manor,Gloucester,242.0,37.0,0.0,16.0
2020-04-24,Extendicare Rouge Valley,Toronto,192.0,0.0,0.0,<5
2020-04-24,Extendicare Scarborough,Scarborough,154.0,0.0,0.0,<5
2020-04-24,Extendicare Starwood,Nepean,192.0,0.0,0.0,<5
2020-04-24,Fairview Lodge,Whitby,198.0,0.0,0.0,0.0
2020-04-24,Forest Heights,Kitchener,240.0,119.0,20.0,47.0
2020-04-24,Franklin Gardens Long Term Care Home,Leamington,120.0,<5,0.0,<5
2020-04-24,Garry J. Armstrong Home,Ottawa,180.0,0.0,0.0,<5
2020-04-24,Gateway Haven Long Term Care Home,Wiarton,100.0,0.0,0.0,<5
2020-04-24,Grace Manor,Brampton,120.0,49.0,<5,21.0
2020-04-24,Greenwood Court,Stratford,45.0,<5,<5,7.0
2020-04-24,Hampton Terrace Care Centre,Burlington,101.0,0.0,0.0,<5
2020-04-24,Harold and Grace Baker Centre,Toronto,120.0,40.0,10.0,19.0
2020-04-24,Hastings Manor Home for the Aged,Belleville,253.0,10.0,0.0,<5
2020-04-24,Hawthorne Place Care Centre,North York,269.0,5.0,0.0,7.0
2020-04-24,Heartwood,Cornwall,118.0,0.0,0.0,<5
2020-04-24,Hellenic Home - Scarborough,Scarborough,128.0,26.0,6.0,15.0
2020-04-24,Henley Place,London,192.0,<5,0.0,0.0
2020-04-24,Heritage Green Nursing Home,Stoney Creek,167.0,9.0,<5,<5
2020-04-24,Heron Terrace Long Term Care Community,Windsor,140.0,39.0,<5,15.0
2020-04-24,Hillsdale Terraces,Oshawa,200.0,45.0,13.0,12.0
2020-04-24,Humber Valley Terrace,Etobicoke (Rexdale),158.0,6.0,0.0,0.0
2020-04-24,Ina Grafton Gage Home,Scarborough,128.0,26.0,6.0,19.0
2020-04-24,IOOF Seniors Home,Barrie,182.0,0.0,0.0,<5
2020-04-24,Isabel and Arthur Meighen Manor,Toronto,168.0,84.0,20.0,15.0
2020-04-24,Kensington Village,London,78.0,<5,<5,<5
2020-04-24,King Nursing Home,Bolton,86.0,0.0,0.0,<5
2020-04-24,Kipling Acres,Etobicoke,337.0,36.0,11.0,6.0
2020-04-24,Kristus Darzs Latvian Home,Woodbridge,100.0,9.0,<5,<5
2020-04-24,Labdara Lithuanian Nursing Home,Etobicoke,90.0,0.0,0.0,<5
2020-04-24,Lakeshore Lodge,Etobicoke,150.0,39.0,9.0,17.0
2020-04-24,Lambton Meadowview Villa,Petrolia,125.0,0.0,0.0,<5
2020-04-24,Lanark Heights Long Term Care Centre,Kitchener,160.0,8.0,<5,5.0
2020-04-24,Mackenzie Health Long Term Care Facility,Richmond Hill,168.0,0.0,0.0,0.0
2020-04-24,MacKenzie Place,Newmarket,93.0,46.0,6.0,18.0
2020-04-24,Madonna Care Community,Orleans,160.0,36.0,11.0,15.0
2020-04-24,Main Street Terrace,Toronto,150.0,<5,0.0,0.0
2020-04-24,Malton Village Long Term Care Centre,Mississauga,160.0,<5,0.0,<5
2020-04-24,Manoir Marochel,Ottawa,64.0,10.0,<5,6.0
2020-04-24,Maple View,Owen Sound,29.0,22.0,0.0,6.0
2020-04-24,Markhaven,Markham,96.0,10.0,14.0,19.0
2020-04-24,Maynard Nursing Home,Toronto,77.0,<5,0.0,<5
2020-04-24,McCall Centre Long Term Care Interim Unit,Etobicoke,21.0,0.0,0.0,<5
2020-04-24,Meadow Park (London),London,126.0,6.0,0.0,0.0
2020-04-24,Midland Gardens Care Community,Scarborough,299.0,<5,<5,<5
2020-04-24,Moira Place Long-Term Care Home,Tweed,128.0,0.0,0.0,<5
2020-04-24,Mon Sheong Home for the Aged,Toronto,105.0,50.0,24.0,16.0
2020-04-24,Montfort,Ottawa,128.0,27.0,14.0,11.0
2020-04-24,Northridge,Oakville,133.0,<5,0.0,0.0
2020-04-24,Norwood Nursing Home,Toronto,60.0,<5,0.0,<5
2020-04-24,Orchard Villa,Pickering,233.0,144.0,40.0,45.0
2020-04-24,Peel Manor,Brampton,177.0,7.0,<5,0.0
2020-04-24,peopleCare A.R. Goudie Kitchener,Kitchener,80.0,12.0,<5,11.0
2020-04-24,Pinecrest (Plantagenet),Plantagenet,60.0,0.0,0.0,<5
2020-04-24,Pinecrest Nursing Home (Bobcaygeon),Bobcaygeon,65.0,33.0,29.0,32.0
2020-04-24,Post Inn Village,Oakville,228.0,<5,0.0,<5
2020-04-24,Providence Healthcare,Scarborough,288.0,13.0,<5,6.0
2020-04-24,Providence Manor,Kingston,243.0,<5,0.0,0.0
2020-04-24,ReachView Village,Uxbridge,100.0,<5,0.0,0.0
2020-04-24,Residence Prescott et Russell,Hawkesbury,146.0,0.0,0.0,<5
2020-04-24,Residence Saint-Louis,Ottawa,198.0,0.0,0.0,<5
2020-04-24,Rosebridge Manor,Jasper,78.0,0.0,0.0,<5
2020-04-24,Royal Rose Place,Welland,96.0,41.0,10.0,29.0
2020-04-24,Royal Terrace,Palmerston,67.0,<5,0.0,0.0
2020-04-24,Seven Oaks,Scarborough,249.0,94.0,34.0,15.0
2020-04-24,Shelburne Long Term Care Home,Shelburne,60.0,17.0,5.0,5.0
2020-04-24,Sherbourne Place,Toronto,126.0,43.0,14.0,25.0
2020-04-24,Sheridan Villa,Mississauga,142.0,<5,<5,<5
2020-04-24,Silverthorn Care Community,Mississauga,160.0,0.0,0.0,<5
2020-04-24,Southlake Residential Care Village,Newmarket,224.0,0.0,0.0,<5
2020-04-24,St. Clair O'Connor Community Nursing Home,East York,25.0,18.0,8.0,13.0
2020-04-24,St. Joseph's at Fleming,Peterborough,200.0,<5,0.0,<5
2020-04-24,St. Joseph's Lifecare Centre,Brantford,205.0,0.0,0.0,<5
2020-04-24,"St. Joseph's Villa, Dundas",Dundas,425.0,<5,0.0,0.0
2020-04-24,"St. Joseph's Villa, Sudbury",Sudbury,128.0,<5,0.0,<5
2020-04-24,Stoneridge Manor,Carleton Place,60.0,50.0,5.0,13.0
2020-04-24,Sun Parlor Home for Senior Citizens,Leamington,206.0,0.0,<5,0.0
2020-04-24,Tall Pines Long Term Care Centre,Brampton,160.0,0.0,0.0,<5
2020-04-24,The Henley House,St. Catharines,160.0,<5,0.0,0.0
2020-04-24,The Jewish Home for the Aged,North York,472.0,<5,<5,<5
2020-04-24,The Kensington Gardens,Toronto,350.0,22.0,<5,7.0
2020-04-24,The O'Neill Centre,Toronto,162.0,<5,0.0,0.0
2020-04-24,The Perley and Rideau Veterans' Health Centre,Ottawa,450.0,<5,<5,13.0
2020-04-24,The Village at University Gates,Waterloo,192.0,0.0,<5,<5
2020-04-24,The Village of Erin Meadows,Mississauga,180.0,43.0,9.0,21.0
2020-04-24,The Village of Humber Heights,Etobicoke,192.0,9.0,<5,5.0
2020-04-24,The Woodlands of Sunset,Welland,121.0,<5,0.0,0.0
2020-04-24,Trinity Village Care Centre,Kitchener,150.0,26.0,<5,25.0
2020-04-24,Ukrainian Canadian Care Centre,Etobicoke,152.0,25.0,<5,<5
2020-04-24,Valleyview Residence,North York,174.0,6.0,<5,7.0
2020-04-24,Villa Colombo Homes for the Aged,Toronto,391.0,0.0,0.0,<5
2020-04-24,Villa Colombo Seniors Centre (Vaughan),Vaughan,160.0,15.0,<5,7.0
2020-04-24,Villa Forum,Mississauga,160.0,34.0,7.0,13.0
2020-04-24,Villa Leonardo Gambin,Woodbridge,168.0,33.0,5.0,7.0
2020-04-24,Villa Marconi,Ottawa,128.0,0.0,0.0,<5
2020-04-24,Vision Nursing Home,Sarnia,146.0,0.0,0.0,<5
2020-04-24,Wellesley Central Place,Toronto,150.0,28.0,10.0,18.0
2020-04-24,Wesburn Manor,Etobicoke,192.0,<5,0.0,0.0
2020-04-24,West Park Long Term Care Centre,Toronto,200.0,35.0,12.0,29.0
2020-04-24,Weston Terrace Care Community,Toronto,224.0,8.0,<5,7.0
2020-04-24,Winbourne Park,Ajax,110.0,0.0,0.0,<5
2020-04-24,Woods Park Care Centre,Barrie,123.0,0.0,0.0,<5
2020-04-24,Yee Hong Centre - Scarborough McNicoll,Scarborough,155.0,<5,0.0,<5
2020-04-25,"Albright Gardens Homes, Incorporated",Beamsville,231.0,<5,0.0,<5
2020-04-25,Almonte Country Haven,Almonte,82.0,44.0,25.0,17.0
2020-04-25,Altamont Care Community,Scarborough,159.0,125.0,32.0,45.0
2020-04-25,Anson Place Care Centre,Hagersville,61.0,28.0,23.0,33.0
2020-04-25,Bay Ridges,Pickering,124.0,0.0,0.0,<5
2020-04-25,Belmont House,Toronto,140.0,0.0,0.0,<5
2020-04-25,Bendale Acres,Scarborough,302.0,0.0,0.0,<5
2020-04-25,Bethany Lodge,Markham,128.0,<5,<5,<5
2020-04-25,Bradford Valley Care Community,Bradford,246.0,20.0,7.0,10.0
2020-04-25,Burton Manor,Brampton,128.0,22.0,0.0,9.0
2020-04-25,Camilla Care Community,Mississauga,236.0,114.0,7.0,29.0
2020-04-25,Caressant Care Fergus Nursing Home,Fergus,87.0,<5,0.0,0.0
2020-04-25,Caressant Care on Bonnie Place,St Thomas,116.0,0.0,0.0,<5
2020-04-25,Carlingview Manor,Ottawa,303.0,32.0,<5,5.0
2020-04-25,Castleview Wychwood Towers,Toronto,456.0,0.0,0.0,<5
2020-04-25,Cedarvale Terrace,Toronto,218.0,0.0,0.0,<5
2020-04-25,Centre d'Accueil Roger Seguin,Clarence Creek,113.0,0.0,0.0,<5
2020-04-25,Chartwell Aurora Long Term Care Residence,Aurora,235.0,25.0,<5,<5
2020-04-25,Chartwell Ballycliffe Long Term Care Residence,Ajax,100.0,50.0,19.0,27.0
2020-04-25,Chartwell Gibson Long Term Care Residence,North York,202.0,30.0,8.0,6.0
2020-04-25,Chartwell Pine Grove Long Term Care Residence,Woodbridge,96.0,0.0,0.0,<5
2020-04-25,Chartwell Waterford Long Term Care Residence,Oakville,168.0,0.0,0.0,<5
2020-04-25,Chartwell Westbury Long Term Care Residence,Etobicoke,187.0,48.0,12.0,19.0
2020-04-25,Chartwell White Eagle Long Term Care Residence,Toronto,56.0,18.0,11.0,8.0
2020-04-25,Chartwell Woodhaven Long Term Care Residence,Markham,192.0,0.0,0.0,0.0
2020-04-25,Cooksville Care Centre,Mississauga,192.0,16.0,0.0,5.0
2020-04-25,Copernicus Lodge,Toronto,228.0,0.0,0.0,<5
2020-04-25,Country Village Homes - Woodslee,Woodslee,104.0,28.0,16.0,11.0
2020-04-25,Craiglee Nursing Home,Scarborough,169.0,<5,0.0,<5
2020-04-25,Dom Lipa,Etobicoke,66.0,<5,0.0,0.0
2020-04-25,Downsview Long Term Care Centre,North York,252.0,42.0,<5,9.0
2020-04-25,Dufferin Oaks,Shelburne,160.0,<5,<5,5.0
2020-04-25,Dundurn Place Care Centre,Hamilton,201.0,<5,0.0,0.0
2020-04-25,Eagle Terrace,Newmarket,70.0,<5,<5,0.0
2020-04-25,Earls Court Village,London,128.0,<5,<5,7.0
2020-04-25,Eatonville Care Centre,Etobicoke,247.0,143.0,37.0,66.0
2020-04-25,Ã‰lisabeth-BruyÃ¨re Residence,Ottawa,71.0,0.0,0.0,<5
2020-04-25,Elm Grove Living Centre,Toronto,126.0,29.0,12.0,44.0
2020-04-25,Erin Mills Lodge Nursing Home,Mississauga,86.0,<5,<5,6.0
2020-04-25,Extendicare Bayview,North York,205.0,62.0,7.0,10.0
2020-04-25,Extendicare Brampton,Brampton,150.0,6.0,0.0,<5
2020-04-25,Extendicare Guildwood,Scarborough,169.0,<5,0.0,0.0
2020-04-25,Extendicare Laurier Manor,Gloucester,242.0,37.0,0.0,16.0
2020-04-25,Extendicare Rouge Valley,Toronto,192.0,0.0,0.0,<5
2020-04-25,Extendicare Scarborough,Scarborough,154.0,0.0,0.0,<5
2020-04-25,Extendicare Starwood,Nepean,192.0,0.0,0.0,<5
2020-04-25,Fairview Lodge,Whitby,198.0,0.0,0.0,0.0
2020-04-25,Forest Heights,Kitchener,240.0,115.0,24.0,47.0
2020-04-25,Franklin Gardens Long Term Care Home,Leamington,120.0,<5,0.0,<5
2020-04-25,Garry J. Armstrong Home,Ottawa,180.0,0.0,0.0,<5
2020-04-25,Gateway Haven Long Term Care Home,Wiarton,100.0,0.0,0.0,<5
2020-04-25,Grace Manor,Brampton,120.0,49.0,<5,21.0
2020-04-25,Greenwood Court,Stratford,45.0,<5,<5,7.0
2020-04-25,Hampton Terrace Care Centre,Burlington,101.0,0.0,0.0,<5
2020-04-25,Harold and Grace Baker Centre,Toronto,120.0,40.0,10.0,19.0
2020-04-25,Hastings Manor Home for the Aged,Belleville,253.0,10.0,0.0,<5
2020-04-25,Hawthorne Place Care Centre,North York,269.0,5.0,0.0,7.0
2020-04-25,Hellenic Home - Scarborough,Scarborough,128.0,36.0,7.0,17.0
2020-04-25,Henley Place,London,192.0,<5,0.0,0.0
2020-04-25,Heritage Green Nursing Home,Stoney Creek,167.0,9.0,<5,<5
2020-04-25,Heron Terrace Long Term Care Community,Windsor,140.0,39.0,<5,15.0
2020-04-25,Hillsdale Terraces,Oshawa,200.0,29.0,13.0,13.0
2020-04-25,Humber Valley Terrace,Etobicoke (Rexdale),158.0,6.0,0.0,0.0
2020-04-25,Ina Grafton Gage Home,Scarborough,128.0,26.0,6.0,19.0
2020-04-25,IOOF Seniors Home,Barrie,182.0,0.0,0.0,<5
2020-04-25,Isabel and Arthur Meighen Manor,Toronto,168.0,84.0,20.0,15.0
2020-04-25,Kensington Village,London,78.0,<5,<5,<5
2020-04-25,King Nursing Home,Bolton,86.0,0.0,0.0,<5
2020-04-25,Kipling Acres,Etobicoke,337.0,36.0,11.0,6.0
2020-04-25,Kristus Darzs Latvian Home,Woodbridge,100.0,11.0,<5,<5
2020-04-25,Labdara Lithuanian Nursing Home,Etobicoke,90.0,0.0,0.0,<5
2020-04-25,Lakeshore Lodge,Etobicoke,150.0,40.0,9.0,17.0
2020-04-25,Lambton Meadowview Villa,Petrolia,125.0,0.0,0.0,<5
2020-04-25,Lanark Heights Long Term Care Centre,Kitchener,160.0,8.0,<5,5.0
2020-04-25,Mackenzie Health Long Term Care Facility,Richmond Hill,168.0,0.0,0.0,0.0
2020-04-25,MacKenzie Place,Newmarket,93.0,46.0,6.0,18.0
2020-04-25,Madonna Care Community,Orleans,160.0,38.0,14.0,18.0
2020-04-25,Main Street Terrace,Toronto,150.0,<5,0.0,0.0
2020-04-25,Malton Village Long Term Care Centre,Mississauga,160.0,<5,0.0,<5
2020-04-25,Manoir Marochel,Ottawa,64.0,10.0,<5,6.0
2020-04-25,Maple View,Owen Sound,29.0,22.0,0.0,6.0
2020-04-25,Markhaven,Markham,96.0,10.0,15.0,21.0
2020-04-25,Maynard Nursing Home,Toronto,77.0,<5,0.0,<5
2020-04-25,McCall Centre Long Term Care Interim Unit,Etobicoke,21.0,0.0,0.0,<5
2020-04-25,Meadow Park (London),London,126.0,6.0,0.0,
2020-04-25,Midland Gardens Care Community,Scarborough,299.0,<5,<5,<5
2020-04-25,Moira Place Long-Term Care Home,Tweed,128.0,0.0,0.0,<5
2020-04-25,Mon Sheong Home for the Aged,Toronto,105.0,50.0,24.0,16.0
2020-04-25,Montfort,Ottawa,128.0,46.0,12.0,16.0
2020-04-25,Northridge,Oakville,133.0,<5,0.0,0.0
2020-04-25,Norwood Nursing Home,Toronto,60.0,<5,0.0,<5
2020-04-25,Orchard Villa,Pickering,233.0,144.0,43.0,45.0
2020-04-25,Owen Hill Care Community,Barrie,57.0,0.0,0.0,<5
2020-04-25,Peel Manor,Brampton,177.0,7.0,<5,0.0
2020-04-25,peopleCare A.R. Goudie Kitchener,Kitchener,80.0,12.0,<5,11.0
2020-04-25,Pinecrest (Plantagenet),Plantagenet,60.0,8.0,0.0,<5
2020-04-25,Pinecrest Nursing Home (Bobcaygeon),Bobcaygeon,65.0,33.0,29.0,32.0
2020-04-25,Post Inn Village,Oakville,228.0,<5,0.0,<5
2020-04-25,Providence Healthcare,Scarborough,288.0,13.0,<5,6.0
2020-04-25,Providence Manor,Kingston,243.0,<5,0.0,0.0
2020-04-25,ReachView Village,Uxbridge,100.0,<5,0.0,0.0
2020-04-25,Residence Prescott et Russell,Hawkesbury,146.0,0.0,0.0,<5
2020-04-25,Residence Saint-Louis,Ottawa,198.0,<5,0.0,<5
2020-04-25,Rosebridge Manor,Jasper,78.0,0.0,0.0,<5
2020-04-25,Royal Rose Place,Welland,96.0,41.0,10.0,29.0
2020-04-25,Royal Terrace,Palmerston,67.0,<5,0.0,0.0
2020-04-25,Seven Oaks,Scarborough,249.0,94.0,34.0,15.0
2020-04-25,Shelburne Long Term Care Home,Shelburne,60.0,17.0,5.0,5.0
2020-04-25,Shepherd Lodge,Toronto,252.0,0.0,0.0,0.0
2020-04-25,Sherbourne Place,Toronto,126.0,43.0,14.0,25.0
2020-04-25,Sheridan Villa,Mississauga,142.0,<5,<5,<5
2020-04-25,Silverthorn Care Community,Mississauga,160.0,0.0,0.0,<5
2020-04-25,Southlake Residential Care Village,Newmarket,224.0,0.0,0.0,<5
2020-04-25,St. Clair O'Connor Community Nursing Home,East York,25.0,<5,8.0,7.0
2020-04-25,St. Joseph's at Fleming,Peterborough,200.0,<5,0.0,<5
2020-04-25,St. Joseph's Lifecare Centre,Brantford,205.0,0.0,0.0,<5
2020-04-25,"St. Joseph's Villa, Dundas",Dundas,425.0,<5,0.0,0.0
2020-04-25,"St. Joseph's Villa, Sudbury",Sudbury,128.0,<5,0.0,<5
2020-04-25,Stoneridge Manor,Carleton Place,60.0,50.0,5.0,13.0
2020-04-25,Sun Parlor Home for Senior Citizens,Leamington,206.0,0.0,<5,0.0
2020-04-25,Tall Pines Long Term Care Centre,Brampton,160.0,0.0,0.0,<5
2020-04-25,The Henley House,St. Catharines,160.0,<5,0.0,0.0
2020-04-25,The Jewish Home for the Aged,North York,472.0,<5,<5,6.0
2020-04-25,The Kensington Gardens,Toronto,350.0,22.0,<5,7.0
2020-04-25,The O'Neill Centre,Toronto,162.0,<5,0.0,0.0
2020-04-25,The Perley and Rideau Veterans' Health Centre,Ottawa,450.0,5.0,<5,18.0
2020-04-25,The Village at University Gates,Waterloo,192.0,0.0,<5,<5
2020-04-25,The Village of Erin Meadows,Mississauga,180.0,43.0,9.0,21.0
2020-04-25,The Village of Humber Heights,Etobicoke,192.0,9.0,<5,5.0
2020-04-25,The Village of Riverside Glen,Guelph,192.0,0.0,0.0,<5
2020-04-25,The Woodlands of Sunset,Welland,121.0,<5,0.0,0.0
2020-04-25,Trinity Village Care Centre,Kitchener,150.0,26.0,<5,25.0
2020-04-25,Ukrainian Canadian Care Centre,Etobicoke,152.0,25.0,<5,<5
2020-04-25,Valleyview Residence,North York,174.0,6.0,<5,7.0
2020-04-25,Villa Colombo Homes for the Aged,Toronto,391.0,<5,0.0,<5
2020-04-25,Villa Colombo Seniors Centre (Vaughan),Vaughan,160.0,28.0,7.0,14.0
2020-04-25,Villa Forum,Mississauga,160.0,34.0,7.0,13.0
2020-04-25,Villa Leonardo Gambin,Woodbridge,168.0,33.0,5.0,7.0
2020-04-25,Villa Marconi,Ottawa,128.0,0.0,0.0,<5
2020-04-25,Vision Nursing Home,Sarnia,146.0,0.0,0.0,<5
2020-04-25,Wellesley Central Place,Toronto,150.0,30.0,11.0,20.0
2020-04-25,Wesburn Manor,Etobicoke,192.0,<5,0.0,0.0
2020-04-25,West Park Long Term Care Centre,Toronto,200.0,35.0,12.0,29.0
2020-04-25,Weston Terrace Care Community,Toronto,224.0,8.0,<5,7.0
2020-04-25,Winbourne Park,Ajax,110.0,0.0,0.0,<5
2020-04-25,Woods Park Care Centre,Barrie,123.0,0.0,0.0,<5
2020-04-25,Yee Hong Centre - Scarborough McNicoll,Scarborough,155.0,<5,0.0,<5
2020-04-26,"Albright Gardens Homes, Incorporated",Beamsville,231.0,<5,0.0,<5
2020-04-26,Almonte Country Haven,Almonte,82.0,44.0,25.0,17.0
2020-04-26,Altamont Care Community,Scarborough,159.0,125.0,32.0,45.0
2020-04-26,Anson Place Care Centre,Hagersville,61.0,28.0,23.0,33.0
2020-04-26,Bay Ridges,Pickering,124.0,0.0,0.0,<5
2020-04-26,Belmont House,Toronto,140.0,25.0,0.0,<5
2020-04-26,Bendale Acres,Scarborough,302.0,0.0,0.0,<5
2020-04-26,Bethany Lodge,Markham,128.0,<5,<5,<5
2020-04-26,Bradford Valley Care Community,Bradford,246.0,20.0,7.0,10.0
2020-04-26,Burton Manor,Brampton,128.0,24.0,<5,9.0
2020-04-26,Camilla Care Community,Mississauga,236.0,114.0,7.0,29.0
2020-04-26,Caressant Care Courtland,Courtland,55.0,0.0,0.0,<5
2020-04-26,Caressant Care Fergus Nursing Home,Fergus,87.0,<5,0.0,0.0
2020-04-26,Caressant Care on Bonnie Place,St Thomas,116.0,0.0,0.0,<5
2020-04-26,Carlingview Manor,Ottawa,303.0,32.0,<5,5.0
2020-04-26,Castleview Wychwood Towers,Toronto,456.0,0.0,0.0,<5
2020-04-26,Cedarvale Terrace,Toronto,218.0,0.0,0.0,<5
2020-04-26,Centre d'Accueil Roger Seguin,Clarence Creek,113.0,0.0,0.0,<5
2020-04-26,Chartwell Aurora Long Term Care Residence,Aurora,235.0,25.0,<5,<5
2020-04-26,Chartwell Ballycliffe Long Term Care Residence,Ajax,100.0,50.0,19.0,27.0
2020-04-26,Chartwell Gibson Long Term Care Residence,North York,202.0,30.0,8.0,6.0
2020-04-26,Chartwell Pine Grove Long Term Care Residence,Woodbridge,96.0,0.0,0.0,<5
2020-04-26,Chartwell Waterford Long Term Care Residence,Oakville,168.0,0.0,0.0,<5
2020-04-26,Chartwell Westbury Long Term Care Residence,Etobicoke,187.0,48.0,12.0,19.0
2020-04-26,Chartwell White Eagle Long Term Care Residence,Toronto,56.0,18.0,11.0,8.0
2020-04-26,Chartwell Woodhaven Long Term Care Residence,Markham,192.0,0.0,0.0,0.0
2020-04-26,Cooksville Care Centre,Mississauga,192.0,16.0,0.0,5.0
2020-04-26,Copernicus Lodge,Toronto,228.0,0.0,0.0,<5
2020-04-26,Country Village Homes - Woodslee,Woodslee,104.0,28.0,16.0,11.0
2020-04-26,Craiglee Nursing Home,Scarborough,169.0,<5,0.0,<5
2020-04-26,Dom Lipa,Etobicoke,66.0,<5,0.0,0.0
2020-04-26,Downsview Long Term Care Centre,North York,252.0,42.0,<5,9.0
2020-04-26,Dufferin Oaks,Shelburne,160.0,<5,<5,5.0
2020-04-26,Dundurn Place Care Centre,Hamilton,201.0,<5,0.0,0.0
2020-04-26,Eagle Terrace,Newmarket,70.0,<5,<5,0.0
2020-04-26,Earls Court Village,London,128.0,<5,<5,7.0
2020-04-26,Eatonville Care Centre,Etobicoke,247.0,143.0,37.0,66.0
2020-04-26,Ã‰lisabeth-BruyÃ¨re Residence,Ottawa,71.0,0.0,0.0,<5
2020-04-26,Elm Grove Living Centre,Toronto,126.0,29.0,12.0,44.0
2020-04-26,Elmwood Place,London,90.0,<5,0.0,0.0
2020-04-26,Erin Mills Lodge Nursing Home,Mississauga,86.0,<5,<5,6.0
2020-04-26,Extendicare Bayview,North York,205.0,62.0,7.0,10.0
2020-04-26,Extendicare Brampton,Brampton,150.0,6.0,0.0,<5
2020-04-26,Extendicare Guildwood,Scarborough,169.0,<5,0.0,0.0
2020-04-26,Extendicare Laurier Manor,Gloucester,242.0,36.0,<5,16.0
2020-04-26,Extendicare Rouge Valley,Toronto,192.0,0.0,0.0,<5
2020-04-26,Extendicare Scarborough,Scarborough,154.0,0.0,0.0,<5
2020-04-26,Extendicare Starwood,Nepean,192.0,0.0,0.0,<5
2020-04-26,Fairview Lodge,Whitby,198.0,0.0,0.0,0.0
2020-04-26,Forest Heights,Kitchener,240.0,115.0,24.0,47.0
2020-04-26,Franklin Gardens Long Term Care Home,Leamington,120.0,<5,0.0,<5
2020-04-26,Garry J. Armstrong Home,Ottawa,180.0,0.0,0.0,<5
2020-04-26,Gateway Haven Long Term Care Home,Wiarton,100.0,0.0,0.0,<5
2020-04-26,Grace Manor,Brampton,120.0,49.0,<5,21.0
2020-04-26,Greenwood Court,Stratford,45.0,<5,<5,7.0
