No,RSS,NoRLS,RLS,Cas,Population,Taux
11,11 - Gaspésie-Îles-de-la-Madeleine,1112,1112 - RLS de la Haute-Gaspésie,10,10 582,"94,5"
11,11 - Gaspésie-Îles-de-la-Madeleine,1113,1113 - RLS de La Côte-de-Gaspé,17,18 753,"90,7"
11,11 - Gaspésie-Îles-de-la-Madeleine,1114,1114 - RLS du Rocher-Percé,32,15 881,"201,5"
11,11 - Gaspésie-Îles-de-la-Madeleine,1121,1121 - RLS des Îles-de-la-Madeleine,10,12 606,"79,3"
11,11 - Gaspésie-Îles-de-la-Madeleine,,Total,210,89 998,"233,3"
12,12 - Chaudière-Appalaches,1211,1211 - RLS Alphonse-Desjardins,428,258 118,"165,8"
12,12 - Chaudière-Appalaches,1212,1212 - RLS de la région de Thetford,52,42 500,"122,4"
12,12 - Chaudière-Appalaches,1213,1213 - RLS de Beauce,62,73 173,"84,7"
12,12 - Chaudière-Appalaches,1214,1214 - RLS des Etchemins,17,16 426,"103,5"
12,12 - Chaudière-Appalaches,1215,1215 - RLS de Montmagny-L'Islet,20,40 092,"49,9"
12,12 - Chaudière-Appalaches,,Total,579,430 309,"134,6"
13,13 - Laval,1311,1311 - RLS de Laval,6133,442 745,"1 385,2"
13,13 - Laval,,Total,6133,442 745,"1 385,2"
14,14 - Lanaudière,1411,1411 - RLS de Lanaudière-Nord,1638,223 099,"734,2"
14,14 - Lanaudière,1412,1412 - RLS de Lanaudière-Sud,2916,296 993,"981,8"
14,14 - Lanaudière,,Total,4635,520 092,"891,2"
15,15 - Laurentides,1511,1511 - RLS d'Antoine-Labelle,29,35 580,"81,5"
15,15 - Laurentides,1512,1512 - RLS des Laurentides,177,48 016,"368,6"
15,15 - Laurentides,1513,1513 - RLS des Pays-d'en-Haut,254,44 362,"572,6"
15,15 - Laurentides,1514,1514 - RLS d'Argenteuil,110,33 422,"329,1"
15,15 - Laurentides,1515,1515 - RLS de Deux-Montagnes - Mirabel-Sud,836,124 641,"670,7"
15,15 - Laurentides,1516,1516 - RLS de la Rivière-du-Nord - Mirabel-Nord,1221,177 517,"687,8"
15,15 - Laurentides,1517,1517 - RLS de Thérèse-De Blainville,1362,163 430,"833,4"
15,15 - Laurentides,,Total,4056,626 968,"646,9"
16,16 - Montérégie,1611,1611 - RLS de Champlain,2004,225 442,"888,9"
16,16 - Montérégie,1612,1612 - RLS du Haut-Richelieu - Rouville,785,195 297,"402,0"
16,16 - Montérégie,1621,1621 - RLS Pierre-Boucher,2268,262 440,"864,2"
16,16 - Montérégie,1622,1622 - RLS de Richelieu-Yamaska,1017,220 957,"460,3"
16,16 - Montérégie,1623,1623 - RLS Pierre-De Saurel,53,51 371,"103,2"
16,16 - Montérégie,1631,1631 - RLS de Vaudreuil-Soulanges,812,160 002,"507,5"
16,16 - Montérégie,1632,1632 - RLS du Suroît,675,60 523,"1 115,3"
16,16 - Montérégie,1633,1633 - RLS du Haut-Saint-Laurent,106,24 346,"435,4"
16,16 - Montérégie,1634,1634 - RLS de Jardins-Roussillon,1324,232 373,"569,8"
16,16 - Montérégie,,Total,9067,1 432 751,"632,8"
17,17 - Nunavik,1701,1701 - Nunavik,17,14 260,"119,2"
17,17 - Nunavik,,Total,17,14 260,"119,2"
18,18 - Terres-Cries-de-la-Baie-James,1801,1801 - Terres-Cries-de-la-Baie-James,11,18 385,"59,8"
18,18 - Terres-Cries-de-la-Baie-James,,Total,11,18 385,"59,8"
