No,RSS,NoRLS,RLS,Cas,Population,Taux
6,06 - Montréal,0652,0652 - RLS de Rivière-des-Prairies - Anjou - Montréal-Est,3891,208 717,"1 864,2"
6,06 - Montréal,0653,0653 - RLS de Hochelaga - Mercier-Ouest - Rosemont,2769,189 095,"1 464,3"
6,06 - Montréal,,Total,29638,2 065 657,"1 434,8"
7,07 - Outaouais,0711,0711 - RLS du Pontiac,5,20 152,"24,8"
7,07 - Outaouais,0712,0712 - RLS de la Vallée-de-la-Gatineau,7,20 552,"34,1"
7,07 - Outaouais,0713,0713 - RLS des Collines-de-l'Outaouais,32,38 891,"82,3"
7,07 - Outaouais,0714,0714 - RLS de Grande-Rivière - Hull - Gatineau,665,264 517,"251,4"
7,07 - Outaouais,0715,0715 - RLS de la Vallée-de-la-Lièvre et de la Petite Nation,71,56 920,"124,7"
7,07 - Outaouais,,Total,780,401 032,"194,5"
8,08 - Abitibi-Témiscamingue,0811,0811 - RLS de l'Abitibi-Ouest,12,20 528,"58,5"
8,08 - Abitibi-Témiscamingue,0812,0812 - RLS de l'Abitibi,5,24 729,"20,2"
8,08 - Abitibi-Témiscamingue,0813,0813 - RLS de Rouyn-Noranda,130,43 180,"301,1"
8,08 - Abitibi-Témiscamingue,0814,0814 - RLS de la Vallée-de-l'Or,11,43 551,"25,3"
8,08 - Abitibi-Témiscamingue,0815,0815 - RLS du Témiscaming,21,15 628,"134,4"
8,08 - Abitibi-Témiscamingue,,Total,180,147 616,"121,9"
9,09 - Côte-Nord,0911,0911 - RLS de Caniapiscau,0,3 230,"0,0"
9,09 - Côte-Nord,0912,0912 - RLS de la Haute-Côte-Nord - Manicouagan,20,40 494,"49,4"
9,09 - Côte-Nord,0913,0913 - RLS de Port-Cartier,51,7 314,"697,3"
9,09 - Côte-Nord,0914,0914 - RLS de Sept-Îles,48,27 344,"175,5"
9,09 - Côte-Nord,0915,0915 - RLS de la Minganie,8,6 428,"124,5"
9,09 - Côte-Nord,0916,0916 - RLS de la Basse-Côte-Nord,0,4 582,"0,0"
9,09 - Côte-Nord,0917,0917 - RLS de Kawawachikamach,0,641,"0,0"
9,09 - Côte-Nord,,Total,127,90 033,"141,1"
10,10 - Nord-du-Québec,1001,1001 - Nord-du-Québec,8,13 558,"59,0"
10,10 - Nord-du-Québec,,Total,8,13 558,"59,0"
11,11 - Gaspésie-Îles-de-la-Madeleine,1111,1111 - RLS de la Baie-des-Chaleurs,142,32 176,"441,3"
11,11 - Gaspésie-Îles-de-la-Madeleine,1112,1112 - RLS de la Haute-Gaspésie,10,10 582,"94,5"
11,11 - Gaspésie-Îles-de-la-Madeleine,1113,1113 - RLS de La Côte-de-Gaspé,16,18 753,"85,3"
11,11 - Gaspésie-Îles-de-la-Madeleine,1114,1114 - RLS du Rocher-Percé,33,15 881,"207,8"
11,11 - Gaspésie-Îles-de-la-Madeleine,1121,1121 - RLS des Îles-de-la-Madeleine,10,12 606,"79,3"
11,11 - Gaspésie-Îles-de-la-Madeleine,,Total,211,89 998,"234,4"
12,12 - Chaudière-Appalaches,1211,1211 - RLS Alphonse-Desjardins,443,258 118,"171,6"
12,12 - Chaudière-Appalaches,1212,1212 - RLS de la région de Thetford,53,42 500,"124,7"
12,12 - Chaudière-Appalaches,1213,1213 - RLS de Beauce,62,73 173,"84,7"
12,12 - Chaudière-Appalaches,1214,1214 - RLS des Etchemins,17,16 426,"103,5"
12,12 - Chaudière-Appalaches,1215,1215 - RLS de Montmagny-L'Islet,20,40 092,"49,9"
12,12 - Chaudière-Appalaches,,Total,595,430 309,"138,3"
13,13 - Laval,1311,1311 - RLS de Laval,6242,442 745,"1 409,8"
13,13 - Laval,,Total,6242,442 745,"1 409,8"
14,14 - Lanaudière,1411,1411 - RLS de Lanaudière-Nord,1742,223 099,"780,8"
14,14 - Lanaudière,1412,1412 - RLS de Lanaudière-Sud,2966,296 993,"998,7"
14,14 - Lanaudière,,Total,4790,520 092,"921,0"
15,15 - Laurentides,1511,1511 - RLS d'Antoine-Labelle,30,35 580,"84,3"
15,15 - Laurentides,1512,1512 - RLS des Laurentides,180,48 016,"374,9"
15,15 - Laurentides,1513,1513 - RLS des Pays-d'en-Haut,255,44 362,"574,8"
15,15 - Laurentides,1514,1514 - RLS d'Argenteuil,116,33 422,"347,1"
15,15 - Laurentides,1515,1515 - RLS de Deux-Montagnes - Mirabel-Sud,862,124 641,"691,6"
15,15 - Laurentides,1516,1516 - RLS de la Rivière-du-Nord - Mirabel-Nord,1254,177 517,"706,4"
15,15 - Laurentides,1517,1517 - RLS de Thérèse-De Blainville,1399,163 430,"856,0"
15,15 - Laurentides,,Total,4162,626 968,"663,8"
16,16 - Montérégie,1611,1611 - RLS de Champlain,2017,225 442,"894,7"
16,16 - Montérégie,1612,1612 - RLS du Haut-Richelieu - Rouville,809,195 297,"414,2"
16,16 - Montérégie,1621,1621 - RLS Pierre-Boucher,2301,262 440,"876,8"
16,16 - Montérégie,1622,1622 - RLS de Richelieu-Yamaska,1039,220 957,"470,2"
16,16 - Montérégie,1623,1623 - RLS Pierre-De Saurel,54,51 371,"105,1"
16,16 - Montérégie,1631,1631 - RLS de Vaudreuil-Soulanges,836,160 002,"522,5"
16,16 - Montérégie,1632,1632 - RLS du Suroît,684,60 523,"1 130,1"
16,16 - Montérégie,1633,1633 - RLS du Haut-Saint-Laurent,108,24 346,"443,6"
16,16 - Montérégie,1634,1634 - RLS de Jardins-Roussillon,1376,232 373,"592,2"
16,16 - Montérégie,,Total,9234,1 432 751,"644,5"
17,17 - Nunavik,1701,1701 - Nunavik,17,14 260,"119,2"
17,17 - Nunavik,,Total,17,14 260,"119,2"
18,18 - Terres-Cries-de-la-Baie-James,1801,1801 - Terres-Cries-de-la-Baie-James,10,18 385,"54,4"
18,18 - Terres-Cries-de-la-Baie-James,,Total,10,18 385,"54,4"
