Location Name,Facility Type,Location in Facility,Reported Date,End Date,Resident/ Patient/ Child/ Student Cases,Resident/ Patient/ Child/ Student Deaths,Staff Cases,Staff Deaths,Total Cases,Total Deaths
FAIRFIELD,RH,Facility-wide,2020-09-10 00:00:00,,3,0,2,0,5,0
FOREST HILL,LTCH,Facility-wide,2020-08-29 00:00:00,2020-09-21 00:00:00,0,0,1,0,1,0
FOSTER FARM COMMUNITY CENTRE,Childcare,"",2020-08-02 00:00:00,2020-08-14 00:00:00,0,0,1,0,1,0
FRANCO OUEST,School,"",2020-09-21 00:00:00,2020-10-01 00:00:00,2,0,0,0,2,0
GABRIELLE ROY PUBLIC SCHOOL,School,"",2020-09-21 00:00:00,2020-10-01 00:00:00,2,0,0,0,2,0
GARDEN TERRACE,LTCH,Facility-wide,2020-03-27 00:00:00,2020-04-22 00:00:00,1,0,1,0,2,0
GARDEN TERRACE,LTCH,Facility-wide,2020-04-23 00:00:00,2020-05-27 00:00:00,0,0,3,0,3,0
GARDERIE ÉDUCATIVE RENEÉ TASSÉ,Childcare,"",2020-09-18 00:00:00,2020-10-03 00:00:00,1,0,1,0,2,0
GARDERIE TUNNEY'S DAYCARE,Childcare,"",2020-09-11 00:00:00,2020-10-01 00:00:00,0,0,1,0,1,0
GARDERIE TUNNEY'S DAYCARE,Childcare,"",2020-10-08 00:00:00,,0,0,1,0,1,0
GARRY J ARMSTRONG,LTCH,Facility-wide,2020-04-20 00:00:00,2020-05-08 00:00:00,0,0,3,0,3,0
GARRY J ARMSTRONG,LTCH,Facility-wide,2020-06-12 00:00:00,2020-06-26 00:00:00,0,0,1,0,1,0
GARRY J ARMSTRONG,LTCH,Facility-wide,2020-08-26 00:00:00,2020-09-04 00:00:00,0,0,2,0,2,0
GARRY J ARMSTRONG,LTCH,Facility-wide,2020-09-14 00:00:00,,1,0,7,0,8,0
GLOBAL CHILD CARE SERVICES -TRILLIUM,Childcare,"",2020-09-08 00:00:00,2020-09-23 00:00:00,1,0,0,0,1,0
Grandir Ensemble - Edouard Bond,Childcare,"",2020-09-22 00:00:00,2020-10-07 00:00:00,1,0,0,0,1,0
GRANDIR ENSEMBLE - GEORGE ETIENNE CARTIER,Childcare,"",2020-09-18 00:00:00,2020-10-03 00:00:00,1,0,1,0,2,0
GRANDIR ENSEMBLE - LA MAISONNEE,Childcare,"",2020-07-28 00:00:00,2020-08-13 00:00:00,0,0,4,0,4,0
HILLEL LODGE,LTCH,Facility-wide,2020-09-08 00:00:00,2020-10-01 00:00:00,2,0,5,0,7,0
HÔPITAL MONTFORT,Hospital,ANCILLARY STAFF,2020-04-02 00:00:00,2020-04-14 00:00:00,0,0,2,0,2,0
HÔPITAL MONTFORT,Hospital,3C,2020-04-05 00:00:00,2020-04-17 00:00:00,0,0,1,0,1,0
HÔPITAL MONTFORT,Hospital,ICU,2020-04-10 00:00:00,2020-04-20 00:00:00,0,0,1,0,1,0
HÔPITAL MONTFORT,Hospital,3C,2020-09-23 00:00:00,2020-10-05 00:00:00,1,0,2,0,3,0
HÔPITAL MONTFORT,Hospital,3e SANTE MENTAL,2020-10-01 00:00:00,,1,0,2,0,3,0
HÔPITAL MONTFORT,Hospital,4C MED,2020-10-01 00:00:00,,2,0,1,0,3,0
HUNT CLUB MANOR,RH,Facility-wide,2020-09-28 00:00:00,2020-10-05 00:00:00,0,0,1,0,1,0
JARDIN ROYAL GARDEN,RH,Facility-wide,2020-07-16 00:00:00,2020-07-28 00:00:00,0,0,3,0,3,0
LA CLEMENTINE - MICHEL DUPUIS,Childcare,"",2020-07-20 00:00:00,2020-08-04 00:00:00,4,0,2,0,6,0
LA COCCINELLE - ARC EN CIEL,Childcare,"",2020-09-14 00:00:00,2020-09-29 00:00:00,,,,,,
LA COCCINELLE - NOTRE PLACE,Childcare,"",2020-09-28 00:00:00,,0,0,1,0,1,0
LA COCCINELLE - REINE DES BOIS,Childcare,"",2020-09-28 00:00:00,,1,0,0,0,1,0
LANDMARK COURT,RH,Facility-wide,2020-08-28 00:00:00,2020-09-04 00:00:00,1,0,0,0,1,0
LAURIER MANOR,LTCH,Facility-wide,2020-04-13 00:00:00,2020-06-16 00:00:00,65,25,38,0,103,25
LAURIER MANOR,LTCH,Facility-wide,2020-09-01 00:00:00,2020-10-09 00:00:00,13,0,7,0,20,0
LESTER B PEARSON,School,"",2020-09-25 00:00:00,2020-10-07 00:00:00,2,0,1,0,3,0
LITTLE SCHOOL DAYCARE,Childcare,"",2020-09-28 00:00:00,,0,0,1,0,1,0
LONGFIELDS MANOR,LTCH,Facility-wide,2020-10-04 00:00:00,,0,0,3,0,3,0
LORD LANSDOWNE,RH,Facility-wide,2020-05-04 00:00:00,2020-05-18 00:00:00,1,0,1,0,2,0
LYCEE CLAUDEL,School,"",2020-09-23 00:00:00,2020-10-06 00:00:00,2,0,0,0,2,0
MADONNA CARE COMMUNITY,LTCH,Facility-wide,2020-04-06 00:00:00,2020-06-08 00:00:00,97,47,60,2,157,49
MADONNA CARE COMMUNITY,LTCH,Facility-wide,2020-07-16 00:00:00,2020-07-29 00:00:00,1,0,0,0,1,0
MADONNA CARE COMMUNITY,LTCH,Facility-wide,2020-08-30 00:00:00,2020-09-24 00:00:00,,,,,,
MADONNA CARE COMMUNITY,LTCH,Facility-wide,2020-10-05 00:00:00,,,,,,,
MAISON ACCUEIL-SAGESSE,RH,Facility-wide,2020-04-17 00:00:00,2020-05-03 00:00:00,1,0,1,0,2,0
MANOIR MAROCHEL,LTCH,Facility-wide,2020-04-05 00:00:00,2020-05-21 00:00:00,36,10,14,0,50,10
MANOIR MAROCHEL,LTCH,Facility-wide,2020-10-05 00:00:00,,0,0,2,0,2,0
MAPLEWOOD RETIREMENT COMMUNITY,RH,Facility-wide,2020-03-28 00:00:00,2020-05-01 00:00:00,11,2,4,0,15,2
METCALFE HOME DAYCARE,Childcare,"",2020-07-24 00:00:00,2020-08-04 00:00:00,1,0,0,0,1,0
MIFO - NOTRE DAME DES CHAMPS,Childcare,"",2020-09-28 00:00:00,,0,0,1,0,1,0
MONSIGNOR PAUL BAXTER,School,"",2020-09-18 00:00:00,2020-10-03 00:00:00,2,0,2,0,4,0
MONTFORT LONG-TERM CARE CENTRE,LTCH,Facility-wide,2020-04-08 00:00:00,2020-06-08 00:00:00,87,31,31,0,118,31
MONTFORT LONG-TERM CARE CENTRE,LTCH,Facility-wide,2020-06-13 00:00:00,2020-06-24 00:00:00,0,0,1,0,1,0
MOTHERCRAFT OTTAWA HOME CHILD CARE,Childcare,"",2020-08-05 00:00:00,2020-08-19 00:00:00,1,0,0,0,1,0
NEW EDINBURGH SQUARE CHARTWELL,RH,Facility-wide,2020-08-31 00:00:00,,14,1,7,0,21,1
OAKPARK RETIREMENT,RH,Facility-wide,2020-08-28 00:00:00,2020-09-11 00:00:00,0,0,1,0,1,0
OAKPARK RETIREMENT,RH,Facility-wide,2020-09-23 00:00:00,2020-10-08 00:00:00,,,,,,
OAKPARK RETIREMENT COMMUNITY,RH,Facility-wide,2020-07-25 00:00:00,2020-08-04 00:00:00,0,0,1,0,1,0
OTTAWA CARLETON ASSOCIATION FOR PERSONS WITH DEVELOPMENTAL DISABILITIES,Other,Facility-wide,2020-03-31 00:00:00,2020-04-09 00:00:00,0,0,1,0,1,0
PARK PLACE,RH,Facility-wide,2020-03-20 00:00:00,2020-04-10 00:00:00,0,0,1,0,1,0
PARK PLACE,RH,Facility-wide,2020-04-22 00:00:00,2020-05-02 00:00:00,0,0,1,0,1,0
PERLEY RIDEAU VETERANS' HEALTH CENTRE,LTCH,Facility-wide,2020-04-15 00:00:00,2020-05-25 00:00:00,21,11,32,0,53,11
PERLEY RIDEAU VETERANS' HEALTH CENTRE,LTCH,RIDEAU BUILDING,2020-06-03 00:00:00,2020-07-14 00:00:00,3,1,7,0,10,1
PERLEY RIDEAU VETERANS' HEALTH CENTRE,LTCH,GATINEAU BUILDING,2020-09-02 00:00:00,,2,1,8,0,10,1
PETER D CLARK,LTCH,Facility-wide,2020-04-28 00:00:00,2020-07-04 00:00:00,24,8,21,0,45,8
PETER D CLARK,LTCH,Facility-wide,2020-09-11 00:00:00,2020-09-26 00:00:00,0,0,1,0,1,0
PETER D. CLARK,LTCH,Facility-wide,2020-10-02 00:00:00,,0,0,2,0,2,0
PINECREST QUEENSWAY (HEADSTART) CHILD CARE,Childcare,"",2020-07-20 00:00:00,2020-08-04 00:00:00,2,0,1,0,3,0
PLACE BESSERER - BRUYERE VILLAGE,Other,Facility-wide,2020-05-15 00:00:00,2020-05-28 00:00:00,1,0,1,0,2,0
PORTOBELLO MANOR,RH,Facility-wide,2020-08-30 00:00:00,2020-09-26 00:00:00,0,0,2,0,2,0
PRINCE OF PEACE SCHOOL,School,"",2020-10-05 00:00:00,2020-10-10 00:00:00,2,0,0,0,2,0
PRINCE OF WALES MANOR,RH,Facility-wide,2020-10-09 00:00:00,,0,0,1,0,1,0
PROMENADE,RH,Facility-wide,2020-09-28 00:00:00,,0,0,1,0,1,0
PROMENADE RETIREMENT RESIDENCE,RH,Facility-wide,2020-03-26 00:00:00,2020-05-18 00:00:00,12,4,4,0,16,4
QUEENSWAY CARLETON HOSPITAL,Hospital,A THREE,2020-05-10 00:00:00,2020-06-05 00:00:00,2,2,6,0,8,2
RED OAK RETIREMENT,RH,Facility-wide,2020-05-02 00:00:00,2020-05-20 00:00:00,0,0,2,0,2,0
REDWOODS,RH,Facility-wide,2020-07-17 00:00:00,2020-08-03 00:00:00,0,0,1,0,1,0
RENÉE TASSÉ DAYCARE,Childcare,"",2020-07-24 00:00:00,2020-08-08 00:00:00,0,0,3,0,3,0
RESIDENCE ST LOUIS,LTCH,Facility-wide,2020-08-17 00:00:00,2020-09-03 00:00:00,0,0,2,0,2,0
RIDEAU PLACE,RH,Facility-wide,2020-09-30 00:00:00,,0,0,1,0,1,0
RIVERSIDE MONTESSORI PRESCHOOL,Childcare,"",2020-09-26 00:00:00,2020-10-09 00:00:00,1,0,0,0,1,0
RIVERVIEW DEVELOPMENT SERVICES,Other,Facility-wide,2020-09-11 00:00:00,2020-09-30 00:00:00,1,0,4,0,5,0
ROBERTSON HOME,RH,Facility-wide,2020-09-22 00:00:00,2020-10-06 00:00:00,0,0,1,0,1,0
ROBERTSON HOUSE,RH,Facility-wide,2020-05-26 00:00:00,2020-06-18 00:00:00,4,0,1,0,5,0
ROCKCLIFFE RETIREMENT,RH,Facility-wide,2020-05-02 00:00:00,2020-05-26 00:00:00,1,0,1,0,2,0
ROCKCLIFFE RETIREMENT,RH,Facility-wide,2020-08-25 00:00:00,2020-09-08 00:00:00,1,0,1,0,2,0
ROOMING HOUSE (1),Other,Facility-wide,2020-09-18 00:00:00,,3,0,0,0,3,0
ROYAL OTTAWA PLACE,LTCH,Facility-wide,2020-10-09 00:00:00,,0,0,1,0,1,0
SERVICE A L'ENFANCE ALADIN CHILD CARE SERVICES,Childcare,"",2020-09-28 00:00:00,2020-10-12 00:00:00,1,0,0,0,1,0
"SERVICE À L'ENFANCE ALADIN, ST-ANNE",Childcare,"",2020-10-05 00:00:00,,1,0,0,0,1,0
SHEPHERDS OF GOOD HOPE,Other,Facility-wide,2020-05-14 00:00:00,2020-06-05 00:00:00,5,0,0,0,5,0
SISTERS OF CHARITY,RH,Facility-wide,2020-10-03 00:00:00,,12,1,6,0,18,1
ST LUKE (OTTAWA),School,"",2020-10-08 00:00:00,,1,0,1,0,2,0
ST PATRICK'S HOME,LTCH,Facility-wide,2020-10-04 00:00:00,,0,0,3,0,3,0
ST VINCENT HOSPITAL,Hospital,,2020-09-23 00:00:00,,28,4,43,0,71,4
ST. LOUIS RESIDENCE,LTCH,Facility-wide,2020-04-21 00:00:00,2020-06-29 00:00:00,35,9,20,0,55,9
ST. PATRICK'S HOME,LTCH,Facility-wide,2020-04-29 00:00:00,2020-06-15 00:00:00,10,3,6,0,16,3
ST. PATRICK'S HOME,LTCH,Facility-wide,2020-07-27 00:00:00,2020-08-11 00:00:00,0,0,1,0,1,0
ST. PATRICK'S HOME,LTCH,Facility-wide,2020-09-11 00:00:00,2020-09-26 00:00:00,0,0,2,0,2,0
ST.LOUIS RESIDENCE,LTCH,Facility-wide,2020-09-12 00:00:00,2020-10-11 00:00:00,1,0,4,0,5,0
STARWOOD,LTCH,Facility-wide,2020-04-13 00:00:00,2020-05-11 00:00:00,0,0,5,0,5,0
STARWOOD,LTCH,Facility-wide,2020-09-25 00:00:00,,0,0,2,0,2,0
STILLWATER CREEK,RH,Facility-wide,2020-05-16 00:00:00,2020-06-12 00:00:00,0,0,3,0,3,0
STITTSVILLE VILLA BY REVERA,RH,Facility-wide,2020-10-03 00:00:00,,0,0,1,0,1,0
TAMIR FOUNDATION,Other,Facility-wide,2020-10-09 00:00:00,,0,0,1,0,1,0
THE GLEBE CENTRE,LTCH,Facility-wide,2020-06-14 00:00:00,2020-06-29 00:00:00,0,0,1,0,1,0
THE GLEBE PARENT'S DAYCARE - FIRST AVENUE CAMPUS,Childcare,"",2020-09-18 00:00:00,2020-10-01 00:00:00,1,0,0,0,1,0
THE RAVINES,RH,Facility-wide,2020-10-09 00:00:00,,0,0,1,0,1,0
TIMBERWALK RETIREMENT COMMUNITY,RH,Facility-wide,2020-08-28 00:00:00,2020-09-11 00:00:00,0,0,1,0,1,0
TOH - CIVIC CAMPUS,Hospital,A FIVE B FIVE AMA,2020-04-03 00:00:00,2020-04-14 00:00:00,0,0,1,0,1,0
TOH - CIVIC CAMPUS,Hospital,A4,2020-04-26 00:00:00,2020-05-05 00:00:00,1,0,0,0,1,0
TOH - CIVIC CAMPUS,Hospital,Emergency Department,2020-04-28 00:00:00,2020-05-11 00:00:00,0,0,2,0,2,0
TOH - CIVIC CAMPUS,Hospital,ER,2020-10-02 00:00:00,,1,1,2,0,3,1
TOH - GENERAL CAMPUS,Hospital,5W BMT,2020-04-05 00:00:00,2020-04-28 00:00:00,1,1,6,0,7,1
TOH - GENERAL CAMPUS,Hospital,7 EAST,2020-05-16 00:00:00,2020-06-01 00:00:00,,,,,,
TOH - GENERAL CAMPUS,Hospital,6 NWE,2020-05-22 00:00:00,2020-06-09 00:00:00,0,0,3,0,3,0
TOH - RIVERSIDE CAMPUS,Hospital,DIALYSIS,2020-04-21 00:00:00,2020-05-07 00:00:00,5,0,1,0,6,0
UNIVERSITY OF OTTAWA HEART INSTITUTE,Hospital,H5,2020-04-17 00:00:00,2020-04-28 00:00:00,1,1,0,0,1,1
VILLA MARCONI,LTCH,Facility-wide,2020-04-09 00:00:00,2020-04-23 00:00:00,0,0,3,0,3,0
VILLA MARCONI,LTCH,Facility-wide,2020-08-07 00:00:00,2020-08-17 00:00:00,0,0,1,0,1,0
VILLAGIA IN THE GLEBE RETIREMENT RESIDENCE,RH,Facility-wide,2020-09-23 00:00:00,2020-10-01 00:00:00,0,0,1,0,1,0
WATERFORD RETIREMENT,RH,Facility-wide,2020-04-11 00:00:00,2020-04-20 00:00:00,0,0,1,0,1,0
WATERFORD RETIREMENT,RH,Facility-wide,2020-07-27 00:00:00,2020-08-08 00:00:00,0,0,1,0,1,0
WATERFORD RETIREMENT COMMUNITY,RH,Facility-wide,2020-09-27 00:00:00,,0,0,2,0,2,0
Wee Watch Orleans - Home Child Care,Childcare,"",2020-09-21 00:00:00,2020-10-07 00:00:00,0,0,1,0,1,0
WEE WATCH ORLEANS - HOME CHILD CARE (2),Childcare,"",2020-10-04 00:00:00,2020-10-11 00:00:00,1,0,0,0,1,0
WEE WATCH WEST - HOME CHILD CARE,Childcare,"",2020-09-16 00:00:00,2020-09-30 00:00:00,1,0,0,0,1,0
WELCOME HOME RESIDENCE,Other,Facility-wide,2020-09-28 00:00:00,,1,0,3,0,4,0
WELCOME HOUSE,Other,Facility-wide,2020-06-18 00:00:00,2020-06-28 00:00:00,0,0,2,0,2,0
WEST END VILLA,LTCH,Facility-wide,2020-05-02 00:00:00,2020-05-17 00:00:00,0,0,1,0,1,0
WEST END VILLA,LTCH,Facility-wide,2020-08-30 00:00:00,,83,19,42,0,125,19
WESTWOOD #2,RH,Facility-wide,2020-04-28 00:00:00,2020-06-01 00:00:00,6,1,3,0,9,1
WESTWOOD BUILDING 1,RH,Facility-wide,2020-09-28 00:00:00,,0,0,1,0,1,0
WINDSOR PARK,RH,Facility-wide,2020-10-05 00:00:00,,0,0,1,0,1,0
