Location Name,Facility Type,Location in Facility,Start Date,End Date,Resident/ Patient/ Child/ Student Cases,Resident/ Patient/ Child/ Student Deaths,Staff Cases,Staff Deaths,Total Cases,Total Deaths
BARRHAVEN MANOR,RH,Facility-wide,2020-04-17 0:00,2020-05-01 0:00,0,0,1,0,1,0
BARRHAVEN PUBLIC SCHOOL,School,,2020-11-12 0:00,2020-11-14 0:00,2,0,0,0,2,0
BEACON HEIGHTS,RH,Facility-wide,2020-10-26 0:00,2020-11-28 0:00,3,2,3,0,6,2
BEACON LEARNING CENTRE,Childcare,,2020-08-31 0:00,2020-09-12 0:00,0,0,1,0,1,0
BEARBROOK RETIREMENT RESIDENCE,RH,Facility-wide,2020-11-23 0:00,,,,,,,
BERRIGAN ELEMENTARY SCHOOL,School,,2020-10-06 0:00,2020-10-10 0:00,3,0,0,0,3,0
BILLINGSWOOD MANOR,RH,Facility-wide,2020-07-21 0:00,2020-08-12 0:00,2,0,0,0,2,0
BILLINGSWOOD MANOR,RH,Facility-wide,2020-08-16 0:00,2020-09-09 0:00,6,1,4,0,10,1
Bridlewood Retirement,RH,Facility-wide,2020-10-22 0:00,2020-11-07 0:00,3,0,3,0,6,0
BRIDLEWOOD TRAILS,RH,Facility-wide,2020-11-06 0:00,,29,1,9,0,38,1
BRIDLEWOOD TRAILS,RH,Facility-wide,2020-10-06 0:00,2020-10-19 0:00,0,0,1,0,1,0
BRUYERE RESIDENCE,LTCH,Facility-wide,2020-07-29 0:00,2020-08-11 0:00,0,0,1,0,1,0
CARLETON LODGE,LTCH,Facility-wide,2020-11-29 0:00,,0,0,1,0,1,0
CARLETON LODGE,LTCH,Facility-wide,2020-07-23 0:00,2020-08-11 0:00,0,0,2,0,2,0
CARLING FAMILY SHELTER,Other,Facility-wide,2020-08-01 0:00,2020-08-25 0:00,8,0,0,0,8,0
CARLINGVIEW MANOR,LTCH,Facility-wide,2020-04-07 0:00,2020-06-18 0:00,170,60,90,0,260,60
CARLINGVIEW MANOR,LTCH,Facility-wide,2020-07-16 0:00,2020-07-23 0:00,,,,,,
CARLINGVIEW MANOR,LTCH,Facility-wide,2020-10-05 0:00,2020-10-22 0:00,0,0,1,0,1,0
CARLINGVIEW MANOR,LTCH,Facility-wide,2020-11-14 0:00,2020-11-29 0:00,0,0,1,0,1,0
CARLINGWOOD RETIREMENT COMMUNITY,RH,Facility-wide,2020-09-26 0:00,2020-10-06 0:00,,,,,,
CEDARVIEW MIDDLE SCHOOL,School,,2020-11-16 0:00,2020-11-27 0:00,2,0,1,0,3,0
CENTRE D'ACCUEIL CHAMPLAIN,LTCH,Facility-wide,2020-05-02 0:00,2020-05-13 0:00,0,0,1,0,1,0
CENTRE D'ACCUEIL CHAMPLAIN,LTCH,Facility-wide,2020-09-11 0:00,2020-10-28 0:00,1,1,9,0,10,1
CENTRE DE SOINS DE LONGUE DUREE MONTFORT,LTCH,Facility-wide,2020-10-18 0:00,2020-10-31 0:00,0,0,1,0,1,0
CENTRE PARASCOLAIRE ALPHA,Childcare,,2020-10-05 0:00,2020-10-20 0:00,0,0,3,0,3,0
CENTREPOINTE CHILDCARE SERVICES HDC,Childcare,,2020-11-12 0:00,2020-11-24 0:00,4,0,1,0,5,0
CENTREPOINTE HOME-BASED CHILDCARE,Childcare,,2020-08-31 0:00,2020-09-13 0:00,4,0,0,0,4,0
CHAPEL HILL RETIREMENT,RH,Facility-wide,2020-05-05 0:00,2020-05-20 0:00,0,0,1,0,1,0
CHAPEL HILL RETIREMENT,RH,Facility-wide,2020-05-27 0:00,2020-06-10 0:00,0,0,1,0,1,0
CHAPEL HILL RETIREMENT,RH,Facility-wide,2020-10-04 0:00,2020-10-11 0:00,0,0,1,0,1,0
CHILDREN'S PLACE CIVIC,Childcare,,2020-10-18 0:00,2020-10-31 0:00,1,0,0,0,1,0
CHILDREN'S VILLAGE OF OTTAWA CARLETON  AT NAVAN,Childcare,,2020-10-16 0:00,2020-10-31 0:00,1,0,0,0,1,0
CHILDREN'S VILLAGE OF OTTAWA CARLETON - HOME CHILDCARE (4),Childcare,,2020-10-05 0:00,2020-10-20 0:00,2,0,1,0,3,0
CHILDREN'S VILLAGE OF OTTAWA CARLETON - HOME CHILDCARE (5),Childcare,,2020-10-27 0:00,2020-11-07 0:00,2,0,1,0,3,0
CHILDRENS VILLAGE OF OTTAWA CARLETON - HOME DAYCARE,Childcare,,2020-07-30 0:00,2020-08-08 0:00,0,0,2,0,2,0
CHILDREN'S VILLAGE OF OTTAWA CARLETON - HOME DAYCARE (3),Childcare,,2020-09-22 0:00,2020-10-06 0:00,0,0,0,0,0,0
CHRISTIAN HORIZONS - OTTAWA 6,Other,Facility-wide,2020-08-20 0:00,2020-09-03 0:00,0,0,1,0,1,0
CHRISTIAN HORIZONS 9,Other,Facility-wide,2020-10-10 0:00,2020-11-03 0:00,3,0,2,0,5,0
CITE PARKWAY,RH,Facility-wide,2020-04-12 0:00,2020-05-01 0:00,0,0,2,0,2,0
CITE PARKWAY RETIREMENT RESIDENCE,RH,Facility-wide,2020-09-22 0:00,2020-10-31 0:00,9,0,1,0,10,0
CITY VIEW,RH,Facility-wide,2020-11-16 0:00,2020-11-25 0:00,,,,,,
CITY VIEW CENTER,Childcare,,2020-09-16 0:00,2020-09-30 0:00,0,0,1,0,1,0
COLONEL BY,RH,Facility-wide,2020-10-06 0:00,2020-10-26 0:00,0,0,2,0,2,0
CORNERSTONE CHILDREN'S CENTRE - HEATHERINGTON NURSERY SCHOOL,Childcare,,2020-11-05 0:00,2020-11-20 0:00,1,0,0,0,1,0
COURTYARDS ON EAGLESON,RH,Facility-wide,2020-11-25 0:00,,1,0,1,0,2,0
COUVENT MONT ST-JOSEPH,RH,Facility-wide,2020-11-28 0:00,,0,0,1,0,1,0
COUVENT MONT ST-JOSEPH,RH,Facility-wide,2020-11-13 0:00,2020-11-23 0:00,,,,,,
CUMBERLAND HUB DAY CARE,Childcare,,2020-09-10 0:00,2020-09-23 0:00,1,0,0,0,1,0
DALHOUSIE PARENTS DAYCARE,Childcare,,2020-10-02 0:00,2020-10-17 0:00,1,0,0,0,1,0
DOVERCOURT RECREATION CENTRE,Childcare,,2020-08-28 0:00,2020-09-08 0:00,1,0,0,0,1,0
ÉCOLE ÉLÉMENTAIRE CATHOLIQUE DE LA DÉCOUVERTE,School,,2020-11-12 0:00,2020-11-20 0:00,2,0,0,0,2,0
ÉCOLE ÉLÉMENTAIRE CATHOLIQUE DES PIONNIERS,School,,2020-11-07 0:00,2020-11-21 0:00,6,0,3,0,9,0
ÉCOLE ÉLÉMENTAIRE CATHOLIQUE GEORGE-ÉTIENNE-CARTIER,School,,2020-10-27 0:00,2020-11-04 0:00,2,0,0,0,2,0
ÉCOLE ÉLÉMENTAIRE CATHOLIQUE HORIZON-JEUNESSE,School,,2020-10-04 0:00,2020-10-18 0:00,6,0,2,0,8,0
ÉCOLE ÉLÉMENTAIRE CATHOLIQUE MONTFORT,School,,2020-09-20 0:00,2020-10-05 0:00,3,0,1,0,4,0
ÉCOLE ÉLÉMENTAIRE CATHOLIQUE MONTFORT,School,,2020-10-20 0:00,2020-11-05 0:00,3,0,0,0,3,0
ÉCOLE ÉLÉMENTAIRE CATHOLIQUE SAINTE-KATERI,School,,2020-10-02 0:00,2020-10-13 0:00,2,0,0,0,2,0
ÉCOLE ÉLÉMENTAIRE CATHOLIQUE SAINTE-MARIE,School,,2020-10-06 0:00,2020-10-15 0:00,2,0,3,0,5,0
ÉCOLE ÉLÉMENTAIRE CATHOLIQUE SAINT-FRANÇOIS D'ASSISE,School,,2020-10-05 0:00,2020-10-07 0:00,0,0,2,0,2,0
ÉCOLE ÉLÉMENTAIRE CATHOLIQUE SAINT-JOSEPH D'ORLÉANS,School,,2020-10-12 0:00,2020-10-21 0:00,2,0,0,0,2,0
ÉCOLE ÉLÉMENTAIRE CATHOLIQUE TERRE-DES-JEUNES,School,,2020-11-14 0:00,2020-11-27 0:00,1,0,1,0,2,0
ÉCOLE ÉLÉMENTAIRE PUBLIQUE GABRIELLE-ROY,School,,2020-11-26 0:00,,3,0,0,0,3,0
ÉCOLE ÉLÉMENTAIRE PUBLIQUE GABRIELLE-ROY,School,,2020-09-21 0:00,2020-10-01 0:00,2,0,0,0,2,0
ÉCOLE ÉLÉMENTAIRE PUBLIQUE GABRIELLE-ROY,School,,2020-10-19 0:00,2020-10-31 0:00,5,0,0,0,5,0
ÉCOLE ÉLÉMENTAIRE PUBLIQUE SERAPHIN MARION,School,,2020-09-23 0:00,2020-10-24 0:00,3,0,2,0,5,0
ECOLE LE TRANSIT LE CAP,School,,2020-10-06 0:00,2020-10-15 0:00,1,0,1,0,2,0
ÉCOLE SECONDAIRE CATHOLIQUE BÉATRICE-DESLOGES,School,,2020-11-12 0:00,2020-11-19 0:00,2,0,0,0,2,0
ÉCOLE SECONDAIRE CATHOLIQUE FRANCO-CITÉ,School,,2020-10-05 0:00,2020-10-23 0:00,12,0,1,0,13,0
ÉCOLE SECONDAIRE CATHOLIQUE GARNEAU,School,,2020-10-06 0:00,2020-10-12 0:00,0,0,2,0,2,0
ECOLE SECONDAIRE PUBLIQUE LOUIS RIEL,School,,2020-09-23 0:00,2020-10-01 0:00,2,0,0,0,2,0
ECOLE SECONDAIRE PUBLIQUE LOUIS RIEL,School,,2020-10-06 0:00,2020-10-14 0:00,2,0,0,0,2,0
ÉCOLE SECONDAIRE PUBLIQUE LOUIS-RIEL,School,,2020-11-02 0:00,2020-11-14 0:00,5,0,1,0,6,0
ÉCOLE SECONDAIRE PUBLIQUE OMER-DESLAURIERS,School,,2020-11-02 0:00,2020-11-19 0:00,16,0,1,0,17,0
EDINBURGH RETIREMENT HOME,RH,Facility-wide,2020-10-06 0:00,2020-11-09 0:00,11,3,13,0,24,3
ELISABETH BRUYERE RESIDENCE,LTCH,Facility-wide,2020-04-16 0:00,2020-06-05 0:00,26,16,8,0,34,16
EMBASSY WEST,RH,Facility-wide,2020-05-16 0:00,2020-06-09 0:00,0,0,2,0,2,0
EMERGENCY HOUSING WEST,Other,Facility-wide,2020-09-07 0:00,2020-10-22 0:00,4,0,0,0,4,0
EMPRESS KANATA,RH,Facility-wide,2020-04-27 0:00,2020-06-06 0:00,28,4,18,0,46,4
ESTHER BY CHILDCARE CENTRE,Childcare,,2020-11-09 0:00,2020-11-27 0:00,2,0,1,0,3,0
EXTENDICARE LAURIER MANOR,LTCH,Facility-wide,2020-09-01 0:00,2020-11-09 0:00,15,1,12,0,27,1
EXTENDICARE MEDEX,LTCH,Facility-wide,2020-11-26 0:00,,0,0,1,0,1,0
EXTENDICARE MEDEX,LTCH,Facility-wide,2020-07-09 0:00,2020-07-23 0:00,1,0,1,0,2,0
EXTENDICARE MEDEX,LTCH,Facility-wide,2020-09-26 0:00,2020-10-14 0:00,2,0,1,0,3,0
EXTENDICARE MEDEX,LTCH,Facility-wide,2020-11-01 0:00,2020-11-13 0:00,0,0,1,0,1,0
Extendicare New Orchard Lodge,LTCH,Facility-wide,2020-11-26 0:00,,0,0,2,0,2,0
Extendicare New Orchard Lodge,LTCH,Facility-wide,2020-09-22 0:00,2020-11-10 0:00,1,0,3,0,4,0
EXTENDICARE STARWOOD,LTCH,Facility-wide,2020-09-25 0:00,,134,25,49,0,183,25
EXTENDICARE STARWOOD,LTCH,Facility-wide,2020-04-13 0:00,2020-05-11 0:00,0,0,5,0,5,0
EXTENDICARE WEST END VILLA,LTCH,Facility-wide,2020-05-02 0:00,2020-05-17 0:00,0,0,1,0,1,0
EXTENDICARE WEST END VILLA,LTCH,Facility-wide,2020-08-30 0:00,2020-11-25 0:00,88,18,46,0,134,18
FAIRFIELD,RH,Facility-wide,2020-09-10 0:00,2020-10-14 0:00,3,0,2,0,5,0
FAIRVIEW CHILD CARE,Childcare,,2020-10-13 0:00,2020-10-13 0:00,,,,,,
FARLEY MOWAT PUBLIC SCHOOL,School,,2020-10-14 0:00,2020-10-22 0:00,2,0,0,0,2,0
FOREST HILL,LTCH,Facility-wide,2020-11-12 0:00,,12,1,16,0,28,1
FOREST HILL,LTCH,Facility-wide,2020-08-29 0:00,2020-09-21 0:00,0,0,1,0,1,0
FOREST HILL,LTCH,Facility-wide,2020-10-17 0:00,2020-11-02 0:00,0,0,1,0,1,0
FOSTER FARM COMMUNITY CENTRE,Childcare,,2020-08-02 0:00,2020-08-14 0:00,0,0,1,0,1,0
FOSTER FARM DAYCARE,Childcare,,2020-10-21 0:00,2020-11-06 0:00,1,0,0,0,1,0
FRANCO-OUEST,School,,2020-09-21 0:00,2020-10-01 0:00,2,0,0,0,2,0
GARDEN TERRACE,LTCH,Facility-wide,2020-11-26 0:00,,0,0,2,0,2,0
GARDEN TERRACE,LTCH,Facility-wide,2020-03-27 0:00,2020-04-22 0:00,1,0,1,0,2,0
GARDEN TERRACE,LTCH,Facility-wide,2020-04-23 0:00,2020-05-27 0:00,0,0,3,0,3,0
GARDEN TERRACE,LTCH,Facility-wide,2020-10-30 0:00,2020-11-14 0:00,0,0,1,0,1,0
GARDERIE ÉDUCATIVE RENEÉ TASSÉ,Childcare,,2020-09-18 0:00,2020-10-03 0:00,1,0,1,0,2,0
GARDERIE TUNNEY'S DAYCARE,Childcare,,2020-09-16 0:00,2020-10-01 0:00,0,0,1,0,1,0
GARDERIE TUNNEY'S DAYCARE,Childcare,,2020-10-08 0:00,2020-10-23 0:00,0,0,1,0,1,0
GARRY J ARMSTRONG,LTCH,Facility-wide,2020-04-20 0:00,2020-05-08 0:00,0,0,3,0,3,0
GARRY J ARMSTRONG,LTCH,Facility-wide,2020-06-12 0:00,2020-06-26 0:00,0,0,1,0,1,0
GARRY J ARMSTRONG,LTCH,Facility-wide,2020-08-21 0:00,2020-09-04 0:00,0,0,2,0,2,0
GARRY J ARMSTRONG,LTCH,Facility-wide,2020-09-14 0:00,2020-11-05 0:00,1,0,10,0,11,0
GLEN OGILVIE PUBLIC SCHOOL,School,,2020-11-30 0:00,,3,0,0,0,3,0
GLOBAL CHILD CARE SERVICES -TRILLIUM,Childcare,,2020-09-08 0:00,2020-09-23 0:00,1,0,0,0,1,0
GOVERNERS WALK,RH,Facility-wide,2020-10-13 0:00,2020-10-24 0:00,0,0,1,0,1,0
Grandir Ensemble - Edouard Bond,Childcare,,2020-09-22 0:00,2020-10-07 0:00,1,0,0,0,1,0
GRANDIR ENSEMBLE - GEORGE ETIENNE CARTIER,Childcare,,2020-09-18 0:00,2020-10-03 0:00,1,0,1,0,2,0
GRANDIR ENSEMBLE - LA MAISONNEE,Childcare,,2020-07-28 0:00,2020-08-13 0:00,0,0,4,0,4,0
GRANITE RIDGE,LTCH,Facility-wide,2020-10-17 0:00,2020-11-01 0:00,0,0,2,0,2,0
GUARDIAN ANGELS,School,,2020-10-22 0:00,2020-10-31 0:00,2,0,0,0,2,0
HERITAGE RETIREMENT,RH,Facility-wide,2020-10-27 0:00,2020-11-09 0:00,,,,,,
HILLEL LODGE,LTCH,Facility-wide,2020-09-08 0:00,2020-10-01 0:00,2,0,5,0,7,0
HILLEL LODGE,LTCH,Facility-wide,2020-10-14 0:00,2020-11-05 0:00,0,0,4,0,4,0
HÔPITAL MONTFORT,Hospital,3C,2020-11-27 0:00,,2,0,0,0,2,0
HÔPITAL MONTFORT,Hospital,ANCILLARY STAFF,2020-04-02 0:00,2020-04-14 0:00,0,0,2,0,2,0
HÔPITAL MONTFORT,Hospital,3C,2020-04-05 0:00,2020-04-17 0:00,0,0,1,0,1,0
HÔPITAL MONTFORT,Hospital,ICU,2020-04-10 0:00,2020-04-20 0:00,0,0,1,0,1,0
HÔPITAL MONTFORT,Hospital,3C,2020-09-23 0:00,2020-10-05 0:00,1,0,2,0,3,0
HÔPITAL MONTFORT,Hospital,3e SANTE MENTAL,2020-10-01 0:00,2020-10-19 0:00,1,0,2,0,3,0
HÔPITAL MONTFORT,Hospital,4C,2020-10-01 0:00,2020-11-17 0:00,12,2,7,0,19,2
HUNT CLUB MANOR,RH,Facility-wide,2020-09-28 0:00,2020-10-05 0:00,0,0,1,0,1,0
INNOVATIVE COMMUNITY SUPPORT SERVICES - 00505,Other,Facility-wide,2020-10-13 0:00,2020-11-07 0:00,7,1,7,0,14,1
INNOVATIVE COMMUNITY SUPPORT SERVICES - 00561,Other,Facility-wide,2020-10-22 0:00,2020-11-11 0:00,1,0,2,0,3,0
JARDIN ROYAL GARDEN,RH,Facility-wide,2020-07-16 0:00,2020-07-28 0:00,0,0,3,0,3,0
JARDIN ROYAL GARDEN,RH,Facility-wide,2020-10-13 0:00,2020-10-24 0:00,0,0,1,0,1,0
KANATA MONTESSORI SCHOOL,Childcare,,2020-10-13 0:00,2020-10-26 0:00,2,0,0,0,2,0
LA CLEMENTINE - MICHEL DUPUIS,Childcare,,2020-07-20 0:00,2020-08-04 0:00,4,0,2,0,6,0
LA COCCINELLE - ARC EN CIEL,Childcare,,2020-09-14 0:00,2020-09-29 0:00,,,,,,
LA COCCINELLE - DE LA DÉCOUVERTE,Childcare,,2020-11-12 0:00,2020-11-20 0:00,2,0,0,0,2,0
LA COCCINELLE - NOTRE PLACE,Childcare,,2020-09-28 0:00,2020-10-12 0:00,0,0,1,0,1,0
LA COCCINELLE - REINE DES BOIS,Childcare,,2020-09-28 0:00,2020-10-13 0:00,1,0,0,0,1,0
LANDMARK COURT,RH,Facility-wide,2020-08-28 0:00,2020-09-04 0:00,1,0,0,0,1,0
LAURIER MANOR,LTCH,Facility-wide,2020-04-13 0:00,2020-06-16 0:00,65,25,38,0,103,25
LESTER B. PEARSON CATHOLIC HIGH SCHOOL,School,,2020-09-25 0:00,2020-10-07 0:00,2,0,1,0,3,0
LITTLE SCHOOL DAYCARE,Childcare,,2020-09-28 0:00,2020-10-13 0:00,0,0,1,0,1,0
LONGFIELDS MANOR,LTCH,Facility-wide,2020-10-04 0:00,2020-11-20 0:00,16,4,8,0,24,4
LORD LANSDOWNE,RH,Facility-wide,2020-05-04 0:00,2020-05-18 0:00,1,0,1,0,2,0
LORD LANSDOWNE,RH,Facility-wide,2020-10-28 0:00,2020-11-12 0:00,0,0,1,0,1,0
LYCÉE CLAUDEL (ÉCOLE),School,,2020-09-23 0:00,2020-10-06 0:00,2,0,0,0,2,0
MADONNA CARE COMMUNITY,LTCH,Facility-wide,2020-04-06 0:00,2020-06-08 0:00,97,47,60,2,157,49
MADONNA CARE COMMUNITY,LTCH,Facility-wide,2020-07-16 0:00,2020-07-29 0:00,1,0,0,0,1,0
MADONNA CARE COMMUNITY,LTCH,Facility-wide,2020-08-30 0:00,2020-09-24 0:00,,,,,,
MADONNA CARE COMMUNITY,LTCH,Facility-wide,2020-10-05 0:00,2020-10-19 0:00,0,0,1,0,1,0
MAISON ACCUEIL-SAGESSE,RH,Facility-wide,2020-04-17 0:00,2020-05-03 0:00,1,0,1,0,2,0
MAISON ACCUEIL-SAGESSE,RH,Facility-wide,2020-11-08 0:00,2020-11-23 0:00,0,0,1,0,1,0
MANOIR MAROCHEL,LTCH,Facility-wide,2020-04-05 0:00,2020-05-21 0:00,36,10,14,0,50,10
MANOIR MAROCHEL,LTCH,Facility-wide,2020-10-05 0:00,2020-11-06 0:00,0,0,2,0,2,0
MANORDALE PUBLIC SCHOOL,School,,2020-11-23 0:00,,3,0,1,0,4,0
MAPLEWOOD RETIREMENT COMMUNITY,RH,Facility-wide,2020-03-28 0:00,2020-05-01 0:00,11,2,4,0,15,2
MATRESHKA CHILD CARE CENTRE,Childcare,,2020-10-12 0:00,2020-10-24 0:00,1,0,0,0,1,0
METCALFE HOME DAYCARE,Childcare,,2020-07-24 0:00,2020-08-04 0:00,1,0,0,0,1,0
MIFO - NOTRE DAME DES CHAMPS,Childcare,,2020-09-28 0:00,2020-10-13 0:00,0,0,1,0,1,0
MONFORT LONG-TERM CARE CENTRE,LTCH,Facility-wide,2020-11-12 0:00,2020-11-27 0:00,,,,,,
MONSIGNOR PAUL BAXTER SCHOOL,School,,2020-09-18 0:00,2020-10-03 0:00,2,0,1,0,3,0
MONTFORT LONG-TERM CARE CENTRE,LTCH,Facility-wide,2020-04-08 0:00,2020-06-08 0:00,87,31,31,0,118,31
MONTFORT LONG-TERM CARE CENTRE,LTCH,Facility-wide,2020-06-13 0:00,2020-06-24 0:00,0,0,1,0,1,0
MOTHERCRAFT OTTAWA HOME CHILD CARE,Childcare,,2020-08-05 0:00,2020-08-19 0:00,1,0,0,0,1,0
NEW EDINBURGH SQUARE CHARTWELL,RH,Facility-wide,2020-08-31 0:00,2020-10-28 0:00,17,1,7,0,24,1
OAKPARK RETIREMENT,RH,Facility-wide,2020-08-28 0:00,2020-09-11 0:00,0,0,1,0,1,0
OAKPARK RETIREMENT,RH,Facility-wide,2020-09-23 0:00,2020-10-08 0:00,0,0,1,0,1,0
OAKPARK RETIREMENT COMMUNITY,RH,Facility-wide,2020-07-25 0:00,2020-08-04 0:00,0,0,1,0,1,0
OTTAWA CARLETON ASSOCIATION FOR PERSONS WITH DEVELOPMENTAL DISABILITIES,Other,Facility-wide,2020-03-31 0:00,2020-04-09 0:00,0,0,1,0,1,0
OTTAWA CARLETON DETENTION CENTRE,Other,Facility-wide,2020-10-24 0:00,2020-11-07 0:00,1,0,0,0,1,0
OTTAWA ISLAMIC SCHOOL,School,,2020-10-26 0:00,2020-11-10 0:00,8,0,5,0,13,0
OTTAWA TECHNICAL SECONDARY SCHOOL,School,,2020-11-20 0:00,,0,0,2,0,2,0
PARK PLACE,RH,Facility-wide,2020-10-21 0:00,,22,7,13,0,35,7
PARK PLACE,RH,Facility-wide,2020-03-20 0:00,2020-04-10 0:00,0,0,1,0,1,0
PARK PLACE,RH,Facility-wide,2020-04-22 0:00,2020-05-02 0:00,0,0,1,0,1,0
PEAK CENTRE ACADEMY,School,,2020-10-17 0:00,2020-10-31 0:00,3,0,1,0,4,0
PERLEY RIDEAU VETERANS' HEALTH CENTRE,LTCH,Facility-wide,2020-04-14 0:00,2020-05-25 0:00,21,11,32,0,53,11
PERLEY RIDEAU VETERANS' HEALTH CENTRE,LTCH,RIDEAU BUILDING,2020-06-03 0:00,2020-07-14 0:00,3,1,7,0,10,1
PERLEY RIDEAU VETERANS' HEALTH CENTRE,LTCH,GATINEAU BUILDING,2020-09-02 0:00,2020-10-26 0:00,2,1,9,0,11,1
PETER D CLARK,LTCH,Facility-wide,2020-11-25 0:00,,0,0,1,0,1,0
PETER D CLARK,LTCH,Facility-wide,2020-04-28 0:00,2020-07-04 0:00,24,8,21,0,45,8
PETER D CLARK,LTCH,Facility-wide,2020-09-11 0:00,2020-09-26 0:00,0,0,1,0,1,0
PETER D. CLARK,LTCH,Facility-wide,2020-10-02 0:00,2020-10-28 0:00,0,0,3,0,3,0
PINECREST QUEENSWAY (HEADSTART) CHILD CARE,Childcare,,2020-07-20 0:00,2020-08-04 0:00,2,0,1,0,3,0
PLACE BESSERER - BRUYERE VILLAGE,Other,Facility-wide,2020-05-15 0:00,2020-05-28 0:00,1,0,1,0,2,0
PLEASANT PARK PUBLIC SCHOOL,School,,2020-11-03 0:00,2020-11-07 0:00,4,0,0,0,4,0
PORTOBELLO MANOR,RH,Facility-wide,2020-08-30 0:00,2020-09-26 0:00,0,0,2,0,2,0
PRINCE OF PEACE SCHOOL,School,,2020-10-05 0:00,2020-10-10 0:00,2,0,0,0,2,0
PRINCE OF WALES MANOR,RH,Facility-wide,2020-10-09 0:00,2020-10-20 0:00,0,0,1,0,1,0
PROMENADE,RH,Facility-wide,2020-09-28 0:00,2020-10-14 0:00,0,0,1,0,1,0
PROMENADE RETIREMENT RESIDENCE,RH,Facility-wide,2020-03-26 0:00,2020-05-18 0:00,12,4,4,0,16,4
QUEENSWAY CARLETON HOSPITAL,Hospital,A THREE,2020-05-10 0:00,2020-06-05 0:00,2,2,6,0,8,2
RED OAK RETIREMENT,RH,Facility-wide,2020-05-02 0:00,2020-05-20 0:00,0,0,2,0,2,0
REDWOODS,RH,Facility-wide,2020-07-17 0:00,2020-08-03 0:00,0,0,1,0,1,0
