Location Name,Facility Type,Reported Date,End Date,Resident/ Patient/ Child/ Student Cases,Resident/ Patient/ Child/ Student Deaths,Staff Cases,Staff Deaths,Total Cases,Total Deaths
Grandir Ensemble - Edouard Bond,Childcare,2020-09-22 0:00,,1,0,0,0,1,0
GLOBAL CHILD CARE SERVICES -TRILLIUM,Childcare,2020-09-08 0:00,2020-09-23 0:00,1,0,0,0,1,0
GARRY J ARMSTRONG,LTCH,2020-04-20 0:00,2020-05-08 0:00,0,0,3,0,3,0
GARRY J ARMSTRONG,LTCH,2020-06-12 0:00,2020-06-26 0:00,0,0,1,0,1,0
GARRY J ARMSTRONG,LTCH,2020-08-26 0:00,2020-09-04 0:00,0,0,2,0,2,0
GARRY J ARMSTRONG,LTCH,2020-09-14 0:00,,1,0,2,0,3,0
GARDERIE TUNNEY'S DAYCARE,Childcare,2020-09-16 0:00,,0,0,1,0,1,0
GARDERIE ÉDUCATIVE RENEÉ TASSÉ,Childcare,2020-09-18 0:00,,0,0,1,0,1,0
GARDEN TERRACE,LTCH,2020-03-27 0:00,2020-04-22 0:00,1,0,1,0,2,0
GARDEN TERRACE,LTCH,2020-04-23 0:00,2020-05-27 0:00,0,0,3,0,3,0
GABRIELLE ROY PUBLIC SCHOOL,School,2020-09-21 0:00,,2,0,0,0,2,0
FRANCO OUEST,School,2020-09-21 0:00,,2,0,0,0,2,0
FOSTER FARM COMMUNITY CENTRE,Childcare,2020-08-02 0:00,2020-08-14 0:00,0,0,1,0,1,0
FOREST HILL,LTCH,2020-08-29 0:00,2020-09-21 0:00,0,0,1,0,1,0
FAIRFIELD,RH,2020-09-10 0:00,,2,0,2,0,4,0
Extendicare New Orchard Lodge,RH,2020-09-22 0:00,,1,0,0,0,1,0
EXTENDICARE MEDEX,LTCH,2020-07-09 0:00,2020-07-23 0:00,1,0,1,0,2,0
EMPRESS KANATA,RH,2020-04-27 0:00,2020-06-06 0:00,28,4,18,0,46,4
EMBASSY WEST,RH,2020-05-16 0:00,2020-06-09 0:00,0,0,2,0,2,0
ELISABETH BRUYERE RESIDENCE,LTCH,2020-04-16 0:00,2020-06-05 0:00,26,16,8,0,34,16
ECOLE SECONDAIRE PUBLIQUE LOUIS RIEL,School,2020-09-23 0:00,,2,0,0,0,2,0
ECOLE ELEMENTAIRE PUBLIQUE SERAPHIN MARION,School,2020-09-23 0:00,,2,0,0,0,2,0
ECOLE ELEMENTAIRE CATHOLIQUE MONTFORT,School,2020-09-20 0:00,,1,0,1,0,2,0
DOVERCOURT RECREATION CENTRE,Childcare,2020-08-28 0:00,2020-09-08 0:00,1,0,0,0,1,0
CUMBERLAND HUB DAY CARE,Childcare,2020-09-10 0:00,2020-09-23 0:00,1,0,0,0,1,0
CITY VIEW CENTER,Childcare,2020-09-15 0:00,,0,0,1,0,1,0
CITE PARKWAY RETIREMENT RESIDENCE,RH,2020-09-22 0:00,,1,0,0,0,1,0
CITE PARKWAY,RH,2020-04-12 0:00,2020-05-01 0:00,0,0,2,0,2,0
CHRISTIAN HORIZONS - OTTAWA 6,Other,2020-08-20 0:00,2020-09-03 0:00,0,0,1,0,1,0
CHILDREN'S VILLAGE OF OTTAWA CARLETON - HOME DAYCARE (3),Childcare,2020-09-22 0:00,,0,0,0,0,0,0
CHILDRENS VILLAGE,Childcare,2020-07-30 0:00,2020-08-08 0:00,0,0,2,0,2,0
CHAPEL HILL RETIREMENT,RH,2020-05-05 0:00,2020-05-20 0:00,0,0,1,0,1,0
CHAPEL HILL RETIREMENT,RH,2020-05-27 0:00,2020-06-10 0:00,0,0,1,0,1,0
CENTREPOINTE HOME-BASED CHILDCARE - HOME CHILDCARE,Childcare,2020-08-31 0:00,2020-09-13 0:00,4,0,0,0,4,0
CENTRE D'ACCUEIL CHAMPLAIN,LTCH,2020-05-02 0:00,2020-05-13 0:00,0,0,1,0,1,0
CENTRE D'ACCUEIL CHAMPLAIN,LTCH,2020-09-11 0:00,,0,0,6,0,6,0
CARLINGWOOD RETIREMENT COMMUNITY,RH,2020-09-26 0:00,,0,0,1,0,1,0
CARLINGVIEW MANOR,LTCH,2020-04-07 0:00,2020-06-18 0:00,170,60,89,0,259,60
CARLING FAMILY SHELTER,Other,2020-08-01 0:00,2020-08-25 0:00,8,0,0,0,8,0
CARLETON LODGE,LTCH,2020-07-23 0:00,2020-08-11 0:00,0,0,2,0,2,0
BRUYERE RESIDENCE,LTCH,2020-07-29 0:00,2020-08-11 0:00,0,0,1,0,1,0
BILLINGSWOOD MANOR,RH,2020-07-21 0:00,2020-08-12 0:00,2,0,0,0,2,0
BILLINGSWOOD MANOR,RH,2020-08-16 0:00,2020-09-09 0:00,6,1,4,0,10,1
BEACON LEARNING CENTRE,Childcare,2020-08-31 0:00,2020-09-12 0:00,0,0,1,0,1,0
BARRHAVEN MANOR,RH,2020-04-17 0:00,2020-05-01 0:00,0,0,1,0,1,0
BAIRN CROFT -  MATHIEU WAY,Other,2020-07-08 0:00,2020-07-22 0:00,0,0,1,0,1,0
ASSUMPTION SCHOOL,School,2020-09-23 0:00,,2,0,0,0,2,0
ASSOCIATION INTEGRATION SOCIALE D'OTTAWA,Other,2020-04-24 0:00,2020-05-05 0:00,0,0,1,0,1,0
ANDREW FLECK CHILDREN'S SERVICES - HOME CHILDCARE,Childcare,2020-08-20 0:00,2020-09-14 0:00,2,0,1,0,3,0
ANDREW FLECK CHILDREN'S SERVICES - HOME CHILDCARE,Childcare,2020-09-09 0:00,,0,0,1,0,1,0
AMICA WESTBORO PARK,RH,2020-07-05 0:00,2020-07-14 0:00,0,0,1,0,1,0
ALTA VISTA MANOR,LTCH,2020-09-04 0:00,2020-09-18 0:00,1,0,0,0,1,0
,,,,,,,,,
