"date","category_grouped","outbreak_subgroup","TOTAL_CASES"
"2020-04-02","4 Workplace","Workplace - Food Processing",1
"2020-04-02","4 Workplace","Workplace - Other",1
"2020-04-02","6 Other/Unknown","Unknown",1
"2020-04-03","1 Congregate Care","Hospital",11
"2020-04-03","1 Congregate Care","Long-Term Care Home",145
"2020-04-03","1 Congregate Care","Retirement Home",21
"2020-04-03","2 Congregate Living","Correctional Facility",1
"2020-04-03","2 Congregate Living","Group Home/Supportive Housing",2
"2020-04-03","2 Congregate Living","Shelter",2
"2020-04-03","2 Congregate Living","Short-term accommodations",1
"2020-04-03","4 Workplace","Workplace - Other",1
"2020-04-03","5 Recreational","Other recreation",1
"2020-04-03","6 Other/Unknown","Unknown",1
"2020-04-04","1 Congregate Care","Hospital",16
"2020-04-04","1 Congregate Care","Long-Term Care Home",89
"2020-04-04","1 Congregate Care","Retirement Home",26
"2020-04-04","2 Congregate Living","Group Home/Supportive Housing",1
"2020-04-04","4 Workplace","Workplace - Other",1
"2020-04-04","5 Recreational","Other recreation",1
"2020-04-04","6 Other/Unknown","Unknown",1
"2020-04-05","1 Congregate Care","Hospital",7
"2020-04-05","1 Congregate Care","Long-Term Care Home",75
"2020-04-05","1 Congregate Care","Retirement Home",29
"2020-04-05","2 Congregate Living","Congregate other",1
"2020-04-05","2 Congregate Living","Group Home/Supportive Housing",1
"2020-04-05","2 Congregate Living","Shelter",3
"2020-04-05","4 Workplace","Workplace - Other",1
"2020-04-05","5 Recreational","Other recreation",1
"2020-04-05","6 Other/Unknown","Unknown",5
"2020-04-06","1 Congregate Care","Hospital",10
"2020-04-06","1 Congregate Care","Long-Term Care Home",157
"2020-04-06","1 Congregate Care","Retirement Home",37
"2020-04-06","2 Congregate Living","Group Home/Supportive Housing",3
"2020-04-06","2 Congregate Living","Shelter",1
"2020-04-06","4 Workplace","Workplace - Other",1
"2020-04-06","5 Recreational","Other recreation",2
"2020-04-06","6 Other/Unknown","Unknown",6
"2020-04-07","1 Congregate Care","Hospital",7
"2020-04-07","1 Congregate Care","Long-Term Care Home",170
"2020-04-07","1 Congregate Care","Retirement Home",36
"2020-04-07","2 Congregate Living","Group Home/Supportive Housing",5
"2020-04-07","2 Congregate Living","Shelter",3
"2020-04-07","4 Workplace","Workplace - Other",1
"2020-04-07","5 Recreational","Other recreation",1
"2020-04-07","6 Other/Unknown","Unknown",2
"2020-04-08","1 Congregate Care","Hospital",15
"2020-04-08","1 Congregate Care","Long-Term Care Home",169
"2020-04-08","1 Congregate Care","Retirement Home",39
"2020-04-08","2 Congregate Living","Congregate other",2
"2020-04-08","2 Congregate Living","Group Home/Supportive Housing",6
"2020-04-08","2 Congregate Living","Shelter",8
"2020-04-08","4 Workplace","Workplace - Other",1
"2020-04-08","5 Recreational","Other recreation",2
"2020-04-08","6 Other/Unknown","Unknown",5
"2020-04-09","1 Congregate Care","Hospital",11
"2020-04-09","1 Congregate Care","Long-Term Care Home",155
"2020-04-09","1 Congregate Care","Retirement Home",31
"2020-04-09","2 Congregate Living","Congregate other",2
"2020-04-09","2 Congregate Living","Group Home/Supportive Housing",17
"2020-04-09","2 Congregate Living","Shelter",4
"2020-04-09","4 Workplace","Workplace - Other",1
"2020-04-09","5 Recreational","Other recreation",4
"2020-04-09","6 Other/Unknown","Unknown",3
"2020-04-10","1 Congregate Care","Hospital",13
"2020-04-10","1 Congregate Care","Long-Term Care Home",133
"2020-04-10","1 Congregate Care","Retirement Home",27
"2020-04-10","2 Congregate Living","Congregate other",3
"2020-04-10","2 Congregate Living","Correctional Facility",1
"2020-04-10","2 Congregate Living","Group Home/Supportive Housing",6
"2020-04-10","2 Congregate Living","Shelter",9
"2020-04-10","4 Workplace","Workplace - Farm",1
"2020-04-10","4 Workplace","Workplace - Other",1
"2020-04-10","6 Other/Unknown","Unknown",7
"2020-04-11","1 Congregate Care","Hospital",14
"2020-04-11","1 Congregate Care","Long-Term Care Home",165
"2020-04-11","1 Congregate Care","Retirement Home",37
"2020-04-11","2 Congregate Living","Congregate other",2
"2020-04-11","2 Congregate Living","Group Home/Supportive Housing",11
"2020-04-11","2 Congregate Living","Shelter",10
"2020-04-11","4 Workplace","Workplace - Food Processing",1
"2020-04-11","6 Other/Unknown","Unknown",3
"2020-04-12","1 Congregate Care","Hospital",12
"2020-04-12","1 Congregate Care","Long-Term Care Home",222
"2020-04-12","1 Congregate Care","Retirement Home",76
"2020-04-12","2 Congregate Living","Congregate other",3
"2020-04-12","2 Congregate Living","Group Home/Supportive Housing",36
"2020-04-12","2 Congregate Living","Shelter",8
"2020-04-12","2 Congregate Living","Short-term accommodations",3
"2020-04-12","4 Workplace","Workplace - Other",5
"2020-04-12","6 Other/Unknown","Unknown",1
"2020-04-13","1 Congregate Care","Hospital",28
"2020-04-13","1 Congregate Care","Long-Term Care Home",258
"2020-04-13","1 Congregate Care","Retirement Home",43
"2020-04-13","2 Congregate Living","Congregate other",1
"2020-04-13","2 Congregate Living","Group Home/Supportive Housing",37
"2020-04-13","2 Congregate Living","Shelter",14
"2020-04-13","2 Congregate Living","Short-term accommodations",1
"2020-04-13","5 Recreational","Other recreation",4
"2020-04-13","6 Other/Unknown","Unknown",1
"2020-04-14","1 Congregate Care","Hospital",27
"2020-04-14","1 Congregate Care","Long-Term Care Home",300
"2020-04-14","1 Congregate Care","Retirement Home",46
"2020-04-14","2 Congregate Living","Congregate other",2
"2020-04-14","2 Congregate Living","Group Home/Supportive Housing",17
"2020-04-14","2 Congregate Living","Shelter",5
"2020-04-14","4 Workplace","Workplace - Other",1
"2020-04-14","6 Other/Unknown","Unknown",2
"2020-04-15","1 Congregate Care","Hospital",29
"2020-04-15","1 Congregate Care","Long-Term Care Home",300
"2020-04-15","1 Congregate Care","Retirement Home",93
"2020-04-15","2 Congregate Living","Congregate other",4
"2020-04-15","2 Congregate Living","Group Home/Supportive Housing",15
"2020-04-15","2 Congregate Living","Shelter",8
"2020-04-15","4 Workplace","Workplace - Farm",1
"2020-04-15","4 Workplace","Workplace - Other",2
"2020-04-15","5 Recreational","Other recreation",2
"2020-04-15","6 Other/Unknown","Unknown",1
"2020-04-16","1 Congregate Care","Hospital",24
"2020-04-16","1 Congregate Care","Long-Term Care Home",281
"2020-04-16","1 Congregate Care","Retirement Home",56
"2020-04-16","2 Congregate Living","Congregate other",3
"2020-04-16","2 Congregate Living","Group Home/Supportive Housing",13
"2020-04-16","2 Congregate Living","Shelter",8
"2020-04-16","4 Workplace","Medical/Health Service",1
"2020-04-16","4 Workplace","Workplace - Other",4
"2020-04-16","5 Recreational","Other recreation",1
"2020-04-16","6 Other/Unknown","Unknown",1
"2020-04-17","1 Congregate Care","Hospital",23
"2020-04-17","1 Congregate Care","Long-Term Care Home",415
"2020-04-17","1 Congregate Care","Retirement Home",39
"2020-04-17","2 Congregate Living","Congregate other",1
"2020-04-17","2 Congregate Living","Correctional Facility",1
"2020-04-17","2 Congregate Living","Group Home/Supportive Housing",14
"2020-04-17","2 Congregate Living","Shelter",28
"2020-04-17","4 Workplace","Workplace - Farm",1
"2020-04-17","4 Workplace","Workplace - Other",5
"2020-04-17","5 Recreational","Other recreation",3
"2020-04-18","1 Congregate Care","Hospital",23
"2020-04-18","1 Congregate Care","Long-Term Care Home",322
"2020-04-18","1 Congregate Care","Retirement Home",27
"2020-04-18","2 Congregate Living","Congregate other",1
"2020-04-18","2 Congregate Living","Correctional Facility",4
"2020-04-18","2 Congregate Living","Group Home/Supportive Housing",13
"2020-04-18","2 Congregate Living","Shelter",11
"2020-04-18","4 Workplace","Workplace - Other",2
"2020-04-18","6 Other/Unknown","Unknown",1
"2020-04-19","1 Congregate Care","Hospital",16
"2020-04-19","1 Congregate Care","Long-Term Care Home",249
"2020-04-19","1 Congregate Care","Retirement Home",47
"2020-04-19","2 Congregate Living","Congregate other",4
"2020-04-19","2 Congregate Living","Correctional Facility",33
"2020-04-19","2 Congregate Living","Group Home/Supportive Housing",17
"2020-04-19","2 Congregate Living","Shelter",17
"2020-04-19","4 Workplace","Medical/Health Service",2
"2020-04-19","4 Workplace","Workplace - Food Processing",1
"2020-04-19","4 Workplace","Workplace - Other",1
"2020-04-20","1 Congregate Care","Hospital",27
"2020-04-20","1 Congregate Care","Long-Term Care Home",195
"2020-04-20","1 Congregate Care","Retirement Home",37
"2020-04-20","2 Congregate Living","Congregate other",2
"2020-04-20","2 Congregate Living","Correctional Facility",23
"2020-04-20","2 Congregate Living","Group Home/Supportive Housing",15
"2020-04-20","2 Congregate Living","Shelter",72
"2020-04-20","4 Workplace","Medical/Health Service",8
"2020-04-20","4 Workplace","Workplace - Farm",1
"2020-04-20","4 Workplace","Workplace - Food Processing",4
"2020-04-20","4 Workplace","Workplace - Other",1
"2020-04-21","1 Congregate Care","Hospital",15
"2020-04-21","1 Congregate Care","Long-Term Care Home",244
"2020-04-21","1 Congregate Care","Retirement Home",20
"2020-04-21","2 Congregate Living","Congregate other",4
"2020-04-21","2 Congregate Living","Correctional Facility",23
"2020-04-21","2 Congregate Living","Group Home/Supportive Housing",7
"2020-04-21","2 Congregate Living","Shelter",25
"2020-04-21","4 Workplace","Medical/Health Service",4
"2020-04-21","4 Workplace","Workplace - Farm",5
"2020-04-21","4 Workplace","Workplace - Food Processing",4
"2020-04-21","4 Workplace","Workplace - Other",3
"2020-04-21","5 Recreational","Other recreation",1
"2020-04-22","1 Congregate Care","Hospital",15
"2020-04-22","1 Congregate Care","Long-Term Care Home",221
"2020-04-22","1 Congregate Care","Retirement Home",40
"2020-04-22","2 Congregate Living","Correctional Facility",10
"2020-04-22","2 Congregate Living","Group Home/Supportive Housing",13
"2020-04-22","2 Congregate Living","Shelter",28
"2020-04-22","4 Workplace","Medical/Health Service",3
"2020-04-22","4 Workplace","Workplace - Farm",1
"2020-04-22","4 Workplace","Workplace - Food Processing",1
"2020-04-22","4 Workplace","Workplace - Other",3
"2020-04-23","1 Congregate Care","Hospital",23
"2020-04-23","1 Congregate Care","Long-Term Care Home",213
"2020-04-23","1 Congregate Care","Retirement Home",31
"2020-04-23","2 Congregate Living","Correctional Facility",6
"2020-04-23","2 Congregate Living","Group Home/Supportive Housing",12
"2020-04-23","2 Congregate Living","Shelter",16
"2020-04-23","4 Workplace","Workplace - Farm",2
"2020-04-23","4 Workplace","Workplace - Food Processing",1
"2020-04-23","4 Workplace","Workplace - Other",2
"2020-04-24","1 Congregate Care","Hospital",16
"2020-04-24","1 Congregate Care","Long-Term Care Home",147
"2020-04-24","1 Congregate Care","Retirement Home",21
"2020-04-24","2 Congregate Living","Correctional Facility",3
"2020-04-24","2 Congregate Living","Group Home/Supportive Housing",12
"2020-04-24","2 Congregate Living","Shelter",11
"2020-04-24","4 Workplace","Medical/Health Service",2
"2020-04-24","4 Workplace","Workplace - Farm",1
"2020-04-24","4 Workplace","Workplace - Food Processing",7
"2020-04-25","1 Congregate Care","Hospital",7
"2020-04-25","1 Congregate Care","Long-Term Care Home",192
"2020-04-25","1 Congregate Care","Retirement Home",22
"2020-04-25","2 Congregate Living","Group Home/Supportive Housing",3
"2020-04-25","2 Congregate Living","Shelter",5
"2020-04-25","4 Workplace","Retail",1
"2020-04-25","4 Workplace","Workplace - Farm",3
"2020-04-25","4 Workplace","Workplace - Food Processing",7
"2020-04-25","4 Workplace","Workplace - Other",6
"2020-04-25","6 Other/Unknown","Unknown",1
"2020-04-26","1 Congregate Care","Hospital",17
"2020-04-26","1 Congregate Care","Long-Term Care Home",156
"2020-04-26","1 Congregate Care","Retirement Home",11
"2020-04-26","2 Congregate Living","Congregate other",1
"2020-04-26","2 Congregate Living","Group Home/Supportive Housing",3
"2020-04-26","3 Education","Child care",2
"2020-04-26","4 Workplace","Workplace - Farm",12
"2020-04-26","4 Workplace","Workplace - Food Processing",6
"2020-04-26","4 Workplace","Workplace - Other",4
"2020-04-27","1 Congregate Care","Hospital",17
"2020-04-27","1 Congregate Care","Long-Term Care Home",192
"2020-04-27","1 Congregate Care","Retirement Home",20
"2020-04-27","2 Congregate Living","Group Home/Supportive Housing",6
"2020-04-27","2 Congregate Living","Shelter",9
"2020-04-27","3 Education","Child care",1
"2020-04-27","4 Workplace","Medical/Health Service",1
"2020-04-27","4 Workplace","Workplace - Farm",20
"2020-04-27","4 Workplace","Workplace - Food Processing",10
"2020-04-27","4 Workplace","Workplace - Other",1
"2020-04-28","1 Congregate Care","Hospital",32
"2020-04-28","1 Congregate Care","Long-Term Care Home",131
"2020-04-28","1 Congregate Care","Retirement Home",15
"2020-04-28","2 Congregate Living","Group Home/Supportive Housing",6
"2020-04-28","2 Congregate Living","Shelter",6
"2020-04-28","4 Workplace","Workplace - Farm",6
"2020-04-28","4 Workplace","Workplace - Food Processing",9
"2020-04-28","4 Workplace","Workplace - Other",1
"2020-04-29","1 Congregate Care","Hospital",18
"2020-04-29","1 Congregate Care","Long-Term Care Home",146
"2020-04-29","1 Congregate Care","Retirement Home",14
"2020-04-29","2 Congregate Living","Group Home/Supportive Housing",4
"2020-04-29","2 Congregate Living","Shelter",4
"2020-04-29","3 Education","Child care",2
"2020-04-29","4 Workplace","Retail",1
"2020-04-29","4 Workplace","Workplace - Farm",2
"2020-04-29","4 Workplace","Workplace - Food Processing",17
"2020-04-30","1 Congregate Care","Hospital",14
"2020-04-30","1 Congregate Care","Long-Term Care Home",190
"2020-04-30","1 Congregate Care","Retirement Home",16
"2020-04-30","2 Congregate Living","Group Home/Supportive Housing",16
"2020-04-30","2 Congregate Living","Shelter",4
"2020-04-30","3 Education","Child care",3
"2020-04-30","4 Workplace","Retail",1
"2020-04-30","4 Workplace","Workplace - Food Processing",11
"2020-04-30","4 Workplace","Workplace - Other",1
"2020-05-01","1 Congregate Care","Hospital",28
"2020-05-01","1 Congregate Care","Long-Term Care Home",145
"2020-05-01","1 Congregate Care","Retirement Home",22
"2020-05-01","2 Congregate Living","Correctional Facility",1
"2020-05-01","2 Congregate Living","Group Home/Supportive Housing",15
"2020-05-01","2 Congregate Living","Shelter",2
"2020-05-01","3 Education","Child care",4
"2020-05-01","4 Workplace","Workplace - Food Processing",15
"2020-05-02","1 Congregate Care","Hospital",16
"2020-05-02","1 Congregate Care","Long-Term Care Home",86
"2020-05-02","1 Congregate Care","Retirement Home",23
"2020-05-02","2 Congregate Living","Congregate other",3
"2020-05-02","2 Congregate Living","Group Home/Supportive Housing",15
"2020-05-02","2 Congregate Living","Shelter",5
"2020-05-02","3 Education","Child care",5
"2020-05-02","4 Workplace","Workplace - Farm",3
"2020-05-02","4 Workplace","Workplace - Food Processing",14
"2020-05-02","4 Workplace","Workplace - Other",1
"2020-05-02","5 Recreational","Other recreation",1
"2020-05-03","1 Congregate Care","Hospital",12
"2020-05-03","1 Congregate Care","Long-Term Care Home",106
"2020-05-03","1 Congregate Care","Retirement Home",23
"2020-05-03","2 Congregate Living","Group Home/Supportive Housing",11
"2020-05-03","2 Congregate Living","Shelter",1
"2020-05-03","3 Education","Child care",1
"2020-05-03","4 Workplace","Retail",1
"2020-05-03","4 Workplace","Workplace - Farm",1
"2020-05-03","4 Workplace","Workplace - Food Processing",12
"2020-05-03","4 Workplace","Workplace - Other",2
"2020-05-04","1 Congregate Care","Hospital",21
"2020-05-04","1 Congregate Care","Long-Term Care Home",72
"2020-05-04","1 Congregate Care","Retirement Home",18
"2020-05-04","2 Congregate Living","Group Home/Supportive Housing",6
"2020-05-04","2 Congregate Living","Shelter",1
"2020-05-04","3 Education","Child care",2
"2020-05-04","4 Workplace","Workplace - Farm",4
"2020-05-04","4 Workplace","Workplace - Food Processing",14
"2020-05-04","4 Workplace","Workplace - Other",2
"2020-05-05","1 Congregate Care","Hospital",29
"2020-05-05","1 Congregate Care","Long-Term Care Home",87
"2020-05-05","1 Congregate Care","Retirement Home",11
"2020-05-05","2 Congregate Living","Congregate other",1
"2020-05-05","2 Congregate Living","Correctional Facility",1
"2020-05-05","2 Congregate Living","Group Home/Supportive Housing",4
"2020-05-05","2 Congregate Living","Shelter",6
"2020-05-05","3 Education","Child care",1
"2020-05-05","4 Workplace","Workplace - Food Processing",7
"2020-05-06","1 Congregate Care","Hospital",13
"2020-05-06","1 Congregate Care","Long-Term Care Home",117
"2020-05-06","1 Congregate Care","Retirement Home",9
"2020-05-06","2 Congregate Living","Group Home/Supportive Housing",2
"2020-05-06","2 Congregate Living","Shelter",6
"2020-05-06","3 Education","Child care",1
"2020-05-06","4 Workplace","Workplace - Farm",1
"2020-05-06","4 Workplace","Workplace - Food Processing",8
"2020-05-06","4 Workplace","Workplace - Other",5
"2020-05-07","1 Congregate Care","Hospital",14
"2020-05-07","1 Congregate Care","Long-Term Care Home",82
"2020-05-07","1 Congregate Care","Retirement Home",25
"2020-05-07","2 Congregate Living","Group Home/Supportive Housing",3
"2020-05-07","2 Congregate Living","Shelter",5
"2020-05-07","4 Workplace","Retail",2
"2020-05-07","4 Workplace","Workplace - Food Processing",2
"2020-05-07","4 Workplace","Workplace - Other",3
"2020-05-08","1 Congregate Care","Hospital",14
"2020-05-08","1 Congregate Care","Long-Term Care Home",64
"2020-05-08","1 Congregate Care","Retirement Home",9
"2020-05-08","2 Congregate Living","Group Home/Supportive Housing",8
"2020-05-08","2 Congregate Living","Shelter",20
"2020-05-08","4 Workplace","Workplace - Food Processing",7
"2020-05-08","4 Workplace","Workplace - Other",5
"2020-05-09","1 Congregate Care","Hospital",14
"2020-05-09","1 Congregate Care","Long-Term Care Home",82
"2020-05-09","1 Congregate Care","Retirement Home",9
"2020-05-09","2 Congregate Living","Correctional Facility",2
"2020-05-09","2 Congregate Living","Group Home/Supportive Housing",10
"2020-05-09","2 Congregate Living","Shelter",4
"2020-05-09","4 Workplace","Workplace - Farm",8
"2020-05-09","4 Workplace","Workplace - Food Processing",10
"2020-05-09","4 Workplace","Workplace - Other",2
"2020-05-10","1 Congregate Care","Hospital",10
"2020-05-10","1 Congregate Care","Long-Term Care Home",122
"2020-05-10","1 Congregate Care","Retirement Home",9
"2020-05-10","2 Congregate Living","Group Home/Supportive Housing",3
"2020-05-10","2 Congregate Living","Shelter",2
"2020-05-10","4 Workplace","Retail",1
"2020-05-10","4 Workplace","Workplace - Farm",7
"2020-05-10","4 Workplace","Workplace - Food Processing",1
"2020-05-10","4 Workplace","Workplace - Other",2
"2020-05-11","1 Congregate Care","Hospital",5
"2020-05-11","1 Congregate Care","Long-Term Care Home",65
"2020-05-11","1 Congregate Care","Retirement Home",11
"2020-05-11","2 Congregate Living","Correctional Facility",1
"2020-05-11","2 Congregate Living","Group Home/Supportive Housing",2
"2020-05-11","2 Congregate Living","Shelter",2
"2020-05-11","4 Workplace","Workplace - Other",1
"2020-05-12","1 Congregate Care","Hospital",9
"2020-05-12","1 Congregate Care","Long-Term Care Home",83
"2020-05-12","1 Congregate Care","Retirement Home",10
"2020-05-12","2 Congregate Living","Group Home/Supportive Housing",9
"2020-05-12","2 Congregate Living","Shelter",2
"2020-05-12","4 Workplace","Retail",1
"2020-05-12","4 Workplace","Workplace - Farm",3
"2020-05-12","4 Workplace","Workplace - Food Processing",6
"2020-05-12","4 Workplace","Workplace - Other",1
"2020-05-12","5 Recreational","Bar/restaurant/nightclub",1
"2020-05-13","1 Congregate Care","Hospital",7
"2020-05-13","1 Congregate Care","Long-Term Care Home",106
"2020-05-13","1 Congregate Care","Retirement Home",15
"2020-05-13","2 Congregate Living","Correctional Facility",2
"2020-05-13","2 Congregate Living","Group Home/Supportive Housing",10
"2020-05-13","2 Congregate Living","Shelter",1
"2020-05-13","3 Education","Child care",1
"2020-05-13","4 Workplace","Retail",1
"2020-05-13","4 Workplace","Workplace - Farm",18
"2020-05-13","4 Workplace","Workplace - Food Processing",2
"2020-05-13","4 Workplace","Workplace - Other",5
"2020-05-14","1 Congregate Care","Hospital",6
"2020-05-14","1 Congregate Care","Long-Term Care Home",122
"2020-05-14","1 Congregate Care","Retirement Home",20
"2020-05-14","2 Congregate Living","Correctional Facility",4
"2020-05-14","2 Congregate Living","Group Home/Supportive Housing",4
"2020-05-14","2 Congregate Living","Shelter",4
"2020-05-14","3 Education","Child care",1
"2020-05-14","4 Workplace","Retail",1
"2020-05-14","4 Workplace","Workplace - Farm",1
"2020-05-14","4 Workplace","Workplace - Food Processing",4
"2020-05-14","4 Workplace","Workplace - Other",4
"2020-05-14","5 Recreational","Bar/restaurant/nightclub",1
"2020-05-15","1 Congregate Care","Hospital",10
"2020-05-15","1 Congregate Care","Long-Term Care Home",100
"2020-05-15","1 Congregate Care","Retirement Home",62
"2020-05-15","2 Congregate Living","Group Home/Supportive Housing",2
"2020-05-15","2 Congregate Living","Shelter",11
"2020-05-15","3 Education","Child care",1
"2020-05-15","4 Workplace","Workplace - Farm",14
"2020-05-15","4 Workplace","Workplace - Food Processing",6
"2020-05-15","4 Workplace","Workplace - Other",4
"2020-05-16","1 Congregate Care","Hospital",11
"2020-05-16","1 Congregate Care","Long-Term Care Home",148
"2020-05-16","1 Congregate Care","Retirement Home",26
"2020-05-16","2 Congregate Living","Group Home/Supportive Housing",8
"2020-05-16","2 Congregate Living","Shelter",2
"2020-05-16","4 Workplace","Medical/Health Service",1
"2020-05-16","4 Workplace","Workplace - Farm",15
"2020-05-16","4 Workplace","Workplace - Food Processing",13
"2020-05-16","4 Workplace","Workplace - Other",4
"2020-05-17","1 Congregate Care","Hospital",1
"2020-05-17","1 Congregate Care","Long-Term Care Home",113
"2020-05-17","1 Congregate Care","Retirement Home",9
"2020-05-17","2 Congregate Living","Group Home/Supportive Housing",6
"2020-05-17","3 Education","Child care",1
"2020-05-17","4 Workplace","Retail",3
"2020-05-17","4 Workplace","Workplace - Farm",4
"2020-05-17","4 Workplace","Workplace - Food Processing",17
"2020-05-17","4 Workplace","Workplace - Other",9
"2020-05-18","1 Congregate Care","Hospital",5
"2020-05-18","1 Congregate Care","Long-Term Care Home",101
"2020-05-18","1 Congregate Care","Retirement Home",19
"2020-05-18","2 Congregate Living","Group Home/Supportive Housing",2
"2020-05-18","2 Congregate Living","Shelter",5
"2020-05-18","4 Workplace","Medical/Health Service",1
"2020-05-18","4 Workplace","Retail",1
"2020-05-18","4 Workplace","Workplace - Farm",3
"2020-05-18","4 Workplace","Workplace - Food Processing",12
"2020-05-18","4 Workplace","Workplace - Other",3
"2020-05-19","1 Congregate Care","Hospital",6
"2020-05-19","1 Congregate Care","Long-Term Care Home",73
"2020-05-19","1 Congregate Care","Retirement Home",4
"2020-05-19","2 Congregate Living","Group Home/Supportive Housing",34
"2020-05-19","2 Congregate Living","Shelter",3
"2020-05-19","4 Workplace","Medical/Health Service",1
"2020-05-19","4 Workplace","Retail",1
"2020-05-19","4 Workplace","Workplace - Farm",6
"2020-05-19","4 Workplace","Workplace - Food Processing",2
"2020-05-19","4 Workplace","Workplace - Other",7
"2020-05-20","1 Congregate Care","Hospital",5
"2020-05-20","1 Congregate Care","Long-Term Care Home",65
"2020-05-20","1 Congregate Care","Retirement Home",4
"2020-05-20","2 Congregate Living","Group Home/Supportive Housing",13
"2020-05-20","2 Congregate Living","Shelter",2
"2020-05-20","4 Workplace","Retail",4
"2020-05-20","4 Workplace","Workplace - Farm",18
"2020-05-20","4 Workplace","Workplace - Food Processing",6
"2020-05-20","4 Workplace","Workplace - Other",8
"2020-05-21","1 Congregate Care","Hospital",3
"2020-05-21","1 Congregate Care","Long-Term Care Home",61
"2020-05-21","1 Congregate Care","Retirement Home",6
"2020-05-21","2 Congregate Living","Shelter",13
"2020-05-21","4 Workplace","Workplace - Farm",11
"2020-05-21","4 Workplace","Workplace - Food Processing",8
"2020-05-21","4 Workplace","Workplace - Other",12
