date,category_grouped,outbreak_subgroup,TOTAL_CASES
03/29/2020,1 Congregate Care,Retirement Home,4
03/29/2020,2 Congregate Living,Congregate other,1
03/29/2020,2 Congregate Living,Group Home/Supportive Housing,1
03/29/2020,4 Workplace,Workplace - Other,1
03/29/2020,6 Other/Unknown,Unknown,1
03/30/2020,1 Congregate Care,Hospital,14
03/30/2020,1 Congregate Care,Long-Term Care Home,25
03/30/2020,1 Congregate Care,Retirement Home,9
03/30/2020,2 Congregate Living,Group Home/Supportive Housing,1
03/30/2020,4 Workplace,Workplace - Other,1
03/31/2020,1 Congregate Care,Hospital,18
03/31/2020,1 Congregate Care,Long-Term Care Home,34
03/31/2020,1 Congregate Care,Retirement Home,10
03/31/2020,2 Congregate Living,Group Home/Supportive Housing,3
03/31/2020,4 Workplace,Workplace - Farm,1
04/01/2020,1 Congregate Care,Hospital,13
04/01/2020,1 Congregate Care,Long-Term Care Home,66
04/01/2020,1 Congregate Care,Retirement Home,22
04/01/2020,2 Congregate Living,Group Home/Supportive Housing,3
04/01/2020,4 Workplace,Workplace - Other,1
04/02/2020,1 Congregate Care,Hospital,14
04/02/2020,1 Congregate Care,Long-Term Care Home,65
04/02/2020,1 Congregate Care,Retirement Home,29
04/02/2020,2 Congregate Living,Group Home/Supportive Housing,1
04/02/2020,4 Workplace,Workplace - Food Processing,1
04/02/2020,4 Workplace,Workplace - Other,1
04/02/2020,6 Other/Unknown,Unknown,1
04/03/2020,1 Congregate Care,Hospital,11
04/03/2020,1 Congregate Care,Long-Term Care Home,145
04/03/2020,1 Congregate Care,Retirement Home,21
04/03/2020,2 Congregate Living,Correctional Facility,1
04/03/2020,2 Congregate Living,Group Home/Supportive Housing,2
04/03/2020,2 Congregate Living,Shelter,2
04/03/2020,2 Congregate Living,Short-term accommodations,1
04/03/2020,4 Workplace,Workplace - Other,1
04/03/2020,5 Recreational,Other recreation,1
04/03/2020,6 Other/Unknown,Unknown,1
04/04/2020,1 Congregate Care,Hospital,16
04/04/2020,1 Congregate Care,Long-Term Care Home,90
04/04/2020,1 Congregate Care,Retirement Home,26
04/04/2020,2 Congregate Living,Group Home/Supportive Housing,1
04/04/2020,4 Workplace,Workplace - Other,1
04/04/2020,5 Recreational,Other recreation,1
04/04/2020,6 Other/Unknown,Unknown,1
04/05/2020,1 Congregate Care,Hospital,7
04/05/2020,1 Congregate Care,Long-Term Care Home,75
04/05/2020,1 Congregate Care,Retirement Home,29
04/05/2020,2 Congregate Living,Congregate other,1
04/05/2020,2 Congregate Living,Group Home/Supportive Housing,1
04/05/2020,2 Congregate Living,Shelter,3
04/05/2020,4 Workplace,Workplace - Other,1
04/05/2020,5 Recreational,Other recreation,1
04/05/2020,6 Other/Unknown,Unknown,5
04/06/2020,1 Congregate Care,Hospital,10
04/06/2020,1 Congregate Care,Long-Term Care Home,157
04/06/2020,1 Congregate Care,Retirement Home,37
04/06/2020,2 Congregate Living,Group Home/Supportive Housing,3
04/06/2020,2 Congregate Living,Shelter,1
04/06/2020,4 Workplace,Workplace - Other,1
04/06/2020,5 Recreational,Other recreation,2
04/06/2020,6 Other/Unknown,Unknown,6
04/07/2020,1 Congregate Care,Hospital,7
04/07/2020,1 Congregate Care,Long-Term Care Home,173
04/07/2020,1 Congregate Care,Retirement Home,38
04/07/2020,2 Congregate Living,Group Home/Supportive Housing,5
04/07/2020,2 Congregate Living,Shelter,3
04/07/2020,4 Workplace,Workplace - Other,1
04/07/2020,5 Recreational,Other recreation,1
04/07/2020,6 Other/Unknown,Unknown,2
04/08/2020,1 Congregate Care,Hospital,15
04/08/2020,1 Congregate Care,Long-Term Care Home,169
04/08/2020,1 Congregate Care,Retirement Home,39
04/08/2020,2 Congregate Living,Congregate other,2
04/08/2020,2 Congregate Living,Group Home/Supportive Housing,6
04/08/2020,2 Congregate Living,Shelter,8
04/08/2020,4 Workplace,Workplace - Other,1
04/08/2020,5 Recreational,Other recreation,2
04/08/2020,6 Other/Unknown,Unknown,5
04/09/2020,1 Congregate Care,Hospital,11
04/09/2020,1 Congregate Care,Long-Term Care Home,155
04/09/2020,1 Congregate Care,Retirement Home,31
04/09/2020,2 Congregate Living,Congregate other,2
04/09/2020,2 Congregate Living,Group Home/Supportive Housing,17
04/09/2020,2 Congregate Living,Shelter,4
04/09/2020,4 Workplace,Workplace - Other,1
04/09/2020,5 Recreational,Other recreation,4
04/09/2020,6 Other/Unknown,Unknown,3
04/10/2020,1 Congregate Care,Hospital,13
04/10/2020,1 Congregate Care,Long-Term Care Home,133
04/10/2020,1 Congregate Care,Retirement Home,27
04/10/2020,2 Congregate Living,Congregate other,3
04/10/2020,2 Congregate Living,Correctional Facility,1
04/10/2020,2 Congregate Living,Group Home/Supportive Housing,6
04/10/2020,2 Congregate Living,Shelter,9
04/10/2020,4 Workplace,Workplace - Farm,1
04/10/2020,4 Workplace,Workplace - Other,1
04/10/2020,6 Other/Unknown,Unknown,7
04/11/2020,1 Congregate Care,Hospital,14
04/11/2020,1 Congregate Care,Long-Term Care Home,166
04/11/2020,1 Congregate Care,Retirement Home,37
04/11/2020,2 Congregate Living,Congregate other,2
04/11/2020,2 Congregate Living,Group Home/Supportive Housing,11
04/11/2020,2 Congregate Living,Shelter,10
04/11/2020,4 Workplace,Workplace - Food Processing,1
04/11/2020,6 Other/Unknown,Unknown,2
04/12/2020,1 Congregate Care,Hospital,12
04/12/2020,1 Congregate Care,Long-Term Care Home,222
04/12/2020,1 Congregate Care,Retirement Home,76
04/12/2020,2 Congregate Living,Congregate other,3
04/12/2020,2 Congregate Living,Group Home/Supportive Housing,36
04/12/2020,2 Congregate Living,Shelter,8
04/12/2020,2 Congregate Living,Short-term accommodations,3
04/12/2020,4 Workplace,Workplace - Other,5
04/12/2020,6 Other/Unknown,Unknown,1
04/13/2020,1 Congregate Care,Hospital,28
04/13/2020,1 Congregate Care,Long-Term Care Home,258
04/13/2020,1 Congregate Care,Retirement Home,43
04/13/2020,2 Congregate Living,Congregate other,1
04/13/2020,2 Congregate Living,Group Home/Supportive Housing,37
04/13/2020,2 Congregate Living,Shelter,14
04/13/2020,2 Congregate Living,Short-term accommodations,1
04/13/2020,5 Recreational,Other recreation,4
04/13/2020,6 Other/Unknown,Unknown,1
04/14/2020,1 Congregate Care,Hospital,27
04/14/2020,1 Congregate Care,Long-Term Care Home,299
04/14/2020,1 Congregate Care,Retirement Home,46
04/14/2020,2 Congregate Living,Congregate other,2
04/14/2020,2 Congregate Living,Group Home/Supportive Housing,17
04/14/2020,2 Congregate Living,Shelter,5
04/14/2020,4 Workplace,Workplace - Other,1
04/14/2020,6 Other/Unknown,Unknown,2
04/15/2020,1 Congregate Care,Hospital,29
04/15/2020,1 Congregate Care,Long-Term Care Home,300
04/15/2020,1 Congregate Care,Retirement Home,93
04/15/2020,2 Congregate Living,Congregate other,4
04/15/2020,2 Congregate Living,Group Home/Supportive Housing,15
04/15/2020,2 Congregate Living,Shelter,7
04/15/2020,4 Workplace,Workplace - Farm,1
04/15/2020,4 Workplace,Workplace - Other,2
04/15/2020,5 Recreational,Other recreation,2
04/15/2020,6 Other/Unknown,Unknown,1
04/16/2020,1 Congregate Care,Hospital,24
04/16/2020,1 Congregate Care,Long-Term Care Home,283
04/16/2020,1 Congregate Care,Retirement Home,56
04/16/2020,2 Congregate Living,Congregate other,3
04/16/2020,2 Congregate Living,Group Home/Supportive Housing,13
04/16/2020,2 Congregate Living,Shelter,8
04/16/2020,4 Workplace,Medical/Health Service,1
04/16/2020,4 Workplace,Workplace - Other,4
04/16/2020,5 Recreational,Other recreation,1
04/16/2020,6 Other/Unknown,Unknown,1
04/17/2020,1 Congregate Care,Hospital,23
04/17/2020,1 Congregate Care,Long-Term Care Home,415
04/17/2020,1 Congregate Care,Retirement Home,39
04/17/2020,2 Congregate Living,Congregate other,1
04/17/2020,2 Congregate Living,Correctional Facility,1
04/17/2020,2 Congregate Living,Group Home/Supportive Housing,14
04/17/2020,2 Congregate Living,Shelter,28
04/17/2020,4 Workplace,Workplace - Farm,1
04/17/2020,4 Workplace,Workplace - Other,5
04/17/2020,5 Recreational,Other recreation,3
04/18/2020,1 Congregate Care,Hospital,23
04/18/2020,1 Congregate Care,Long-Term Care Home,322
04/18/2020,1 Congregate Care,Retirement Home,27
04/18/2020,2 Congregate Living,Congregate other,1
04/18/2020,2 Congregate Living,Correctional Facility,4
04/18/2020,2 Congregate Living,Group Home/Supportive Housing,13
04/18/2020,2 Congregate Living,Shelter,11
04/18/2020,4 Workplace,Workplace - Other,2
04/18/2020,6 Other/Unknown,Unknown,1
04/19/2020,1 Congregate Care,Hospital,16
04/19/2020,1 Congregate Care,Long-Term Care Home,249
04/19/2020,1 Congregate Care,Retirement Home,47
04/19/2020,2 Congregate Living,Congregate other,4
04/19/2020,2 Congregate Living,Correctional Facility,33
04/19/2020,2 Congregate Living,Group Home/Supportive Housing,17
04/19/2020,2 Congregate Living,Shelter,17
04/19/2020,4 Workplace,Medical/Health Service,2
04/19/2020,4 Workplace,Workplace - Food Processing,1
04/19/2020,4 Workplace,Workplace - Other,1
04/20/2020,1 Congregate Care,Hospital,27
04/20/2020,1 Congregate Care,Long-Term Care Home,195
04/20/2020,1 Congregate Care,Retirement Home,37
04/20/2020,2 Congregate Living,Congregate other,2
04/20/2020,2 Congregate Living,Correctional Facility,23
04/20/2020,2 Congregate Living,Group Home/Supportive Housing,15
04/20/2020,2 Congregate Living,Shelter,72
04/20/2020,4 Workplace,Medical/Health Service,8
04/20/2020,4 Workplace,Workplace - Farm,1
04/20/2020,4 Workplace,Workplace - Food Processing,4
04/20/2020,4 Workplace,Workplace - Other,1
04/21/2020,1 Congregate Care,Hospital,15
04/21/2020,1 Congregate Care,Long-Term Care Home,244
04/21/2020,1 Congregate Care,Retirement Home,20
04/21/2020,2 Congregate Living,Congregate other,4
04/21/2020,2 Congregate Living,Correctional Facility,23
04/21/2020,2 Congregate Living,Group Home/Supportive Housing,7
04/21/2020,2 Congregate Living,Shelter,25
04/21/2020,4 Workplace,Medical/Health Service,4
04/21/2020,4 Workplace,Workplace - Farm,5
04/21/2020,4 Workplace,Workplace - Food Processing,4
04/21/2020,4 Workplace,Workplace - Other,3
04/21/2020,5 Recreational,Other recreation,1
04/22/2020,1 Congregate Care,Hospital,15
04/22/2020,1 Congregate Care,Long-Term Care Home,221
04/22/2020,1 Congregate Care,Retirement Home,40
04/22/2020,2 Congregate Living,Correctional Facility,10
04/22/2020,2 Congregate Living,Group Home/Supportive Housing,13
04/22/2020,2 Congregate Living,Shelter,28
04/22/2020,4 Workplace,Medical/Health Service,3
04/22/2020,4 Workplace,Workplace - Farm,1
04/22/2020,4 Workplace,Workplace - Food Processing,1
04/22/2020,4 Workplace,Workplace - Other,3
04/23/2020,1 Congregate Care,Hospital,23
04/23/2020,1 Congregate Care,Long-Term Care Home,213
04/23/2020,1 Congregate Care,Retirement Home,31
04/23/2020,2 Congregate Living,Correctional Facility,6
04/23/2020,2 Congregate Living,Group Home/Supportive Housing,12
04/23/2020,2 Congregate Living,Shelter,16
04/23/2020,4 Workplace,Workplace - Farm,2
04/23/2020,4 Workplace,Workplace - Food Processing,1
04/23/2020,4 Workplace,Workplace - Other,2
04/24/2020,1 Congregate Care,Hospital,16
04/24/2020,1 Congregate Care,Long-Term Care Home,147
04/24/2020,1 Congregate Care,Retirement Home,21
04/24/2020,2 Congregate Living,Correctional Facility,3
04/24/2020,2 Congregate Living,Group Home/Supportive Housing,12
04/24/2020,2 Congregate Living,Shelter,11
04/24/2020,4 Workplace,Medical/Health Service,2
04/24/2020,4 Workplace,Workplace - Farm,1
04/24/2020,4 Workplace,Workplace - Food Processing,7
04/25/2020,1 Congregate Care,Hospital,7
04/25/2020,1 Congregate Care,Long-Term Care Home,192
04/25/2020,1 Congregate Care,Retirement Home,22
04/25/2020,2 Congregate Living,Group Home/Supportive Housing,3
04/25/2020,2 Congregate Living,Shelter,5
04/25/2020,4 Workplace,Retail,1
04/25/2020,4 Workplace,Workplace - Farm,3
04/25/2020,4 Workplace,Workplace - Food Processing,7
04/25/2020,4 Workplace,Workplace - Other,6
04/25/2020,6 Other/Unknown,Unknown,1
04/26/2020,1 Congregate Care,Hospital,17
04/26/2020,1 Congregate Care,Long-Term Care Home,156
04/26/2020,1 Congregate Care,Retirement Home,11
04/26/2020,2 Congregate Living,Congregate other,1
04/26/2020,2 Congregate Living,Group Home/Supportive Housing,3
04/26/2020,3 Education,Child care,2
04/26/2020,4 Workplace,Workplace - Farm,12
04/26/2020,4 Workplace,Workplace - Food Processing,6
04/26/2020,4 Workplace,Workplace - Other,4
04/27/2020,1 Congregate Care,Hospital,17
04/27/2020,1 Congregate Care,Long-Term Care Home,193
04/27/2020,1 Congregate Care,Retirement Home,20
04/27/2020,2 Congregate Living,Group Home/Supportive Housing,6
04/27/2020,2 Congregate Living,Shelter,9
04/27/2020,3 Education,Child care,1
04/27/2020,4 Workplace,Medical/Health Service,1
04/27/2020,4 Workplace,Workplace - Farm,20
04/27/2020,4 Workplace,Workplace - Food Processing,10
04/27/2020,4 Workplace,Workplace - Other,1
04/28/2020,1 Congregate Care,Hospital,32
04/28/2020,1 Congregate Care,Long-Term Care Home,131
04/28/2020,1 Congregate Care,Retirement Home,15
04/28/2020,2 Congregate Living,Group Home/Supportive Housing,6
04/28/2020,2 Congregate Living,Shelter,6
04/28/2020,4 Workplace,Workplace - Farm,6
04/28/2020,4 Workplace,Workplace - Food Processing,9
04/28/2020,4 Workplace,Workplace - Other,1
04/29/2020,1 Congregate Care,Hospital,18
04/29/2020,1 Congregate Care,Long-Term Care Home,146
04/29/2020,1 Congregate Care,Retirement Home,14
04/29/2020,2 Congregate Living,Group Home/Supportive Housing,4
04/29/2020,2 Congregate Living,Shelter,4
04/29/2020,3 Education,Child care,2
04/29/2020,4 Workplace,Retail,1
04/29/2020,4 Workplace,Workplace - Farm,2
04/29/2020,4 Workplace,Workplace - Food Processing,17
04/30/2020,1 Congregate Care,Hospital,14
04/30/2020,1 Congregate Care,Long-Term Care Home,190
04/30/2020,1 Congregate Care,Retirement Home,15
04/30/2020,2 Congregate Living,Group Home/Supportive Housing,16
04/30/2020,2 Congregate Living,Shelter,4
04/30/2020,3 Education,Child care,3
04/30/2020,4 Workplace,Retail,1
04/30/2020,4 Workplace,Workplace - Food Processing,11
04/30/2020,4 Workplace,Workplace - Other,1
05/01/2020,1 Congregate Care,Hospital,28
05/01/2020,1 Congregate Care,Long-Term Care Home,145
05/01/2020,1 Congregate Care,Retirement Home,22
05/01/2020,2 Congregate Living,Correctional Facility,1
05/01/2020,2 Congregate Living,Group Home/Supportive Housing,15
05/01/2020,2 Congregate Living,Shelter,2
05/01/2020,3 Education,Child care,4
05/01/2020,4 Workplace,Workplace - Food Processing,15
05/02/2020,1 Congregate Care,Hospital,16
05/02/2020,1 Congregate Care,Long-Term Care Home,86
05/02/2020,1 Congregate Care,Retirement Home,23
05/02/2020,2 Congregate Living,Congregate other,3
05/02/2020,2 Congregate Living,Group Home/Supportive Housing,15
05/02/2020,2 Congregate Living,Shelter,5
05/02/2020,3 Education,Child care,5
05/02/2020,4 Workplace,Workplace - Farm,3
05/02/2020,4 Workplace,Workplace - Food Processing,14
05/02/2020,4 Workplace,Workplace - Other,1
05/02/2020,5 Recreational,Other recreation,1
05/03/2020,1 Congregate Care,Hospital,12
05/03/2020,1 Congregate Care,Long-Term Care Home,106
05/03/2020,1 Congregate Care,Retirement Home,22
05/03/2020,2 Congregate Living,Group Home/Supportive Housing,11
05/03/2020,2 Congregate Living,Shelter,1
05/03/2020,3 Education,Child care,1
05/03/2020,4 Workplace,Retail,1
05/03/2020,4 Workplace,Workplace - Farm,1
05/03/2020,4 Workplace,Workplace - Food Processing,12
05/03/2020,4 Workplace,Workplace - Other,2
05/04/2020,1 Congregate Care,Hospital,21
05/04/2020,1 Congregate Care,Long-Term Care Home,71
05/04/2020,1 Congregate Care,Retirement Home,18
05/04/2020,2 Congregate Living,Group Home/Supportive Housing,6
05/04/2020,2 Congregate Living,Shelter,1
05/04/2020,3 Education,Child care,2
05/04/2020,4 Workplace,Workplace - Farm,4
05/04/2020,4 Workplace,Workplace - Food Processing,14
05/04/2020,4 Workplace,Workplace - Other,2
05/05/2020,1 Congregate Care,Hospital,29
05/05/2020,1 Congregate Care,Long-Term Care Home,87
05/05/2020,1 Congregate Care,Retirement Home,11
05/05/2020,2 Congregate Living,Congregate other,1
05/05/2020,2 Congregate Living,Correctional Facility,1
05/05/2020,2 Congregate Living,Group Home/Supportive Housing,4
05/05/2020,2 Congregate Living,Shelter,6
05/05/2020,3 Education,Child care,1
05/05/2020,4 Workplace,Workplace - Food Processing,7
05/06/2020,1 Congregate Care,Hospital,13
05/06/2020,1 Congregate Care,Long-Term Care Home,117
05/06/2020,1 Congregate Care,Retirement Home,9
05/06/2020,2 Congregate Living,Group Home/Supportive Housing,2
05/06/2020,2 Congregate Living,Shelter,6
05/06/2020,3 Education,Child care,1
05/06/2020,4 Workplace,Workplace - Farm,1
05/06/2020,4 Workplace,Workplace - Food Processing,8
05/06/2020,4 Workplace,Workplace - Other,5
05/07/2020,1 Congregate Care,Hospital,14
05/07/2020,1 Congregate Care,Long-Term Care Home,81
05/07/2020,1 Congregate Care,Retirement Home,25
05/07/2020,2 Congregate Living,Group Home/Supportive Housing,3
05/07/2020,2 Congregate Living,Shelter,5
05/07/2020,4 Workplace,Retail,2
05/07/2020,4 Workplace,Workplace - Food Processing,2
05/07/2020,4 Workplace,Workplace - Other,3
05/08/2020,1 Congregate Care,Hospital,14
05/08/2020,1 Congregate Care,Long-Term Care Home,64
05/08/2020,1 Congregate Care,Retirement Home,9
05/08/2020,2 Congregate Living,Group Home/Supportive Housing,8
05/08/2020,2 Congregate Living,Shelter,20
05/08/2020,4 Workplace,Workplace - Food Processing,7
05/08/2020,4 Workplace,Workplace - Other,5
05/09/2020,1 Congregate Care,Hospital,14
05/09/2020,1 Congregate Care,Long-Term Care Home,82
05/09/2020,1 Congregate Care,Retirement Home,9
05/09/2020,2 Congregate Living,Correctional Facility,2
05/09/2020,2 Congregate Living,Group Home/Supportive Housing,10
05/09/2020,2 Congregate Living,Shelter,4
05/09/2020,4 Workplace,Workplace - Farm,8
05/09/2020,4 Workplace,Workplace - Food Processing,10
05/09/2020,4 Workplace,Workplace - Other,2
05/10/2020,1 Congregate Care,Hospital,10
05/10/2020,1 Congregate Care,Long-Term Care Home,122
05/10/2020,1 Congregate Care,Retirement Home,9
05/10/2020,2 Congregate Living,Group Home/Supportive Housing,3
05/10/2020,2 Congregate Living,Shelter,2
05/10/2020,4 Workplace,Retail,1
05/10/2020,4 Workplace,Workplace - Farm,7
05/10/2020,4 Workplace,Workplace - Food Processing,1
05/10/2020,4 Workplace,Workplace - Other,2
05/11/2020,1 Congregate Care,Hospital,5
05/11/2020,1 Congregate Care,Long-Term Care Home,65
05/11/2020,1 Congregate Care,Retirement Home,11
05/11/2020,2 Congregate Living,Correctional Facility,1
05/11/2020,2 Congregate Living,Group Home/Supportive Housing,2
05/11/2020,2 Congregate Living,Shelter,2
05/11/2020,4 Workplace,Workplace - Other,1
05/12/2020,1 Congregate Care,Hospital,9
05/12/2020,1 Congregate Care,Long-Term Care Home,82
05/12/2020,1 Congregate Care,Retirement Home,10
05/12/2020,2 Congregate Living,Group Home/Supportive Housing,9
05/12/2020,2 Congregate Living,Shelter,2
05/12/2020,4 Workplace,Retail,1
05/12/2020,4 Workplace,Workplace - Farm,3
05/12/2020,4 Workplace,Workplace - Food Processing,6
05/12/2020,4 Workplace,Workplace - Other,1
05/12/2020,5 Recreational,Bar/restaurant/nightclub,1
05/13/2020,1 Congregate Care,Hospital,7
05/13/2020,1 Congregate Care,Long-Term Care Home,106
05/13/2020,1 Congregate Care,Retirement Home,15
05/13/2020,2 Congregate Living,Correctional Facility,2
05/13/2020,2 Congregate Living,Group Home/Supportive Housing,10
05/13/2020,2 Congregate Living,Shelter,1
05/13/2020,3 Education,Child care,1
05/13/2020,4 Workplace,Retail,1
05/13/2020,4 Workplace,Workplace - Farm,18
05/13/2020,4 Workplace,Workplace - Food Processing,2
05/13/2020,4 Workplace,Workplace - Other,5
05/14/2020,1 Congregate Care,Hospital,6
05/14/2020,1 Congregate Care,Long-Term Care Home,122
05/14/2020,1 Congregate Care,Retirement Home,20
05/14/2020,2 Congregate Living,Correctional Facility,4
05/14/2020,2 Congregate Living,Group Home/Supportive Housing,4
05/14/2020,2 Congregate Living,Shelter,4
05/14/2020,3 Education,Child care,1
05/14/2020,4 Workplace,Retail,1
05/14/2020,4 Workplace,Workplace - Farm,1
05/14/2020,4 Workplace,Workplace - Food Processing,4
05/14/2020,4 Workplace,Workplace - Other,4
05/14/2020,5 Recreational,Bar/restaurant/nightclub,1
05/15/2020,1 Congregate Care,Hospital,10
05/15/2020,1 Congregate Care,Long-Term Care Home,99
05/15/2020,1 Congregate Care,Retirement Home,62
05/15/2020,2 Congregate Living,Group Home/Supportive Housing,2
05/15/2020,2 Congregate Living,Shelter,11
05/15/2020,3 Education,Child care,1
05/15/2020,4 Workplace,Workplace - Farm,14
05/15/2020,4 Workplace,Workplace - Food Processing,6
05/15/2020,4 Workplace,Workplace - Other,4
05/16/2020,1 Congregate Care,Hospital,11
05/16/2020,1 Congregate Care,Long-Term Care Home,147
05/16/2020,1 Congregate Care,Retirement Home,26
05/16/2020,2 Congregate Living,Group Home/Supportive Housing,8
05/16/2020,2 Congregate Living,Shelter,2
05/16/2020,4 Workplace,Medical/Health Service,1
05/16/2020,4 Workplace,Workplace - Farm,15
05/16/2020,4 Workplace,Workplace - Food Processing,13
05/16/2020,4 Workplace,Workplace - Other,4
05/17/2020,1 Congregate Care,Hospital,1
05/17/2020,1 Congregate Care,Long-Term Care Home,113
05/17/2020,1 Congregate Care,Retirement Home,9
05/17/2020,2 Congregate Living,Group Home/Supportive Housing,6
05/17/2020,3 Education,Child care,1
05/17/2020,4 Workplace,Retail,3
05/17/2020,4 Workplace,Workplace - Farm,4
05/17/2020,4 Workplace,Workplace - Food Processing,17
05/17/2020,4 Workplace,Workplace - Other,9
05/18/2020,1 Congregate Care,Hospital,5
05/18/2020,1 Congregate Care,Long-Term Care Home,101
05/18/2020,1 Congregate Care,Retirement Home,19
05/18/2020,2 Congregate Living,Group Home/Supportive Housing,2
05/18/2020,2 Congregate Living,Shelter,5
05/18/2020,4 Workplace,Medical/Health Service,1
05/18/2020,4 Workplace,Retail,1
05/18/2020,4 Workplace,Workplace - Farm,3
05/18/2020,4 Workplace,Workplace - Food Processing,12
05/18/2020,4 Workplace,Workplace - Other,3
05/19/2020,1 Congregate Care,Hospital,6
05/19/2020,1 Congregate Care,Long-Term Care Home,73
05/19/2020,1 Congregate Care,Retirement Home,4
05/19/2020,2 Congregate Living,Group Home/Supportive Housing,34
05/19/2020,2 Congregate Living,Shelter,3
05/19/2020,4 Workplace,Medical/Health Service,1
05/19/2020,4 Workplace,Retail,1
05/19/2020,4 Workplace,Workplace - Farm,6
05/19/2020,4 Workplace,Workplace - Food Processing,2
05/19/2020,4 Workplace,Workplace - Other,7
05/20/2020,1 Congregate Care,Hospital,5
05/20/2020,1 Congregate Care,Long-Term Care Home,65
05/20/2020,1 Congregate Care,Retirement Home,4
05/20/2020,2 Congregate Living,Group Home/Supportive Housing,13
05/20/2020,2 Congregate Living,Shelter,2
05/20/2020,4 Workplace,Retail,4
05/20/2020,4 Workplace,Workplace - Farm,18
05/20/2020,4 Workplace,Workplace - Food Processing,6
05/20/2020,4 Workplace,Workplace - Other,8
05/21/2020,1 Congregate Care,Hospital,3
05/21/2020,1 Congregate Care,Long-Term Care Home,61
05/21/2020,1 Congregate Care,Retirement Home,6
05/21/2020,2 Congregate Living,Shelter,13
05/21/2020,4 Workplace,Workplace - Farm,11
05/21/2020,4 Workplace,Workplace - Food Processing,8
05/21/2020,4 Workplace,Workplace - Other,12
05/22/2020,1 Congregate Care,Hospital,7
05/22/2020,1 Congregate Care,Long-Term Care Home,72
05/22/2020,1 Congregate Care,Retirement Home,17
05/22/2020,2 Congregate Living,Group Home/Supportive Housing,2
05/22/2020,2 Congregate Living,Shelter,11
05/22/2020,4 Workplace,Retail,2
05/22/2020,4 Workplace,Workplace - Farm,7
05/22/2020,4 Workplace,Workplace - Food Processing,13
05/22/2020,4 Workplace,Workplace - Other,16
05/23/2020,1 Congregate Care,Hospital,9
05/23/2020,1 Congregate Care,Long-Term Care Home,54
05/23/2020,1 Congregate Care,Retirement Home,8
05/23/2020,2 Congregate Living,Group Home/Supportive Housing,1
05/23/2020,2 Congregate Living,Shelter,4
05/23/2020,4 Workplace,Retail,1
05/23/2020,4 Workplace,Workplace - Farm,2
05/23/2020,4 Workplace,Workplace - Food Processing,18
05/23/2020,4 Workplace,Workplace - Other,14
05/23/2020,5 Recreational,Other recreation,1
05/24/2020,1 Congregate Care,Hospital,6
05/24/2020,1 Congregate Care,Long-Term Care Home,31
05/24/2020,1 Congregate Care,Retirement Home,6
