ï»¿Report_Data_Extracted,LTC_Home,City,Beds,Total_LTC_Resident_Deaths
2020-04-26,Extendicare Southwood Lakes,Windsor,150.0,0
2020-04-26,Extendicare Timmins,Timmins,180.0,0
2020-04-26,Garden City Manor,St. Catharines,200.0,0
2020-04-26,Garden Terrace,Kanata,160.0,0
2020-04-26,Hallowell House,Picton,97.0,0
2020-04-26,Heartwood,Cornwall,118.0,0
2020-04-26,Hillside Manor,Stratford,90.0,0
2020-04-26,Lakeview Manor,Beaverton,149.0,0
2020-04-26,Miramichi Lodge,Pembroke,166.0,0
2020-04-26,Mount Hope Centre for Long Term Care,London,394.0,0
2020-04-26,Norview Lodge,Simcoe,179.0,0
2020-04-26,Riverside Place,Windsor,96.0,0
2020-04-26,Riverview Manor Nursing Home,Peterborough,124.0,0
2020-04-26,Rockcliffe Care Community,Scarborough,204.0,0
2020-04-26,Saint Luke's Place,Cambridge,114.0,0
2020-04-26,Shalom Manor Long Term Care Home,Grimsby,144.0,0
2020-04-26,Spencer House,Orillia,160.0,0
2020-04-26,Sprucedale Care Centre,Strathroy,96.0,0
2020-04-26,St. Andrew's Terrace Long Term Care Community,Cambridge,128.0,0
2020-04-26,Tendercare Living Centre,Scarborough,254.0,<5
2020-04-26,The Village at St. Clair,Windsor,256.0,0
2020-04-26,Villa Marconi,Ottawa,128.0,0
2020-04-26,Wellington Terrace Long-Term Care Home,Fergus,176.0,0
2020-04-26,Wentworth Lodge,Dundas,160.0,0
2020-04-26,Westside,Etobicoke,242.0,<5
2020-04-26,Yee Hong Centre - Markham,Markham,200.0,0
2020-04-27,"Albright Gardens Homes, Incorporated",Beamsville,231.0,0
2020-04-27,Allendale,Milton,200.0,0
2020-04-27,Chartwell Westmount Long Term Care Residence,Kitchener,160.0,0
2020-04-27,Chelsey Park,London,247.0,0
2020-04-27,Clarion Nursing Home,Stoney Creek,100.0,0
2020-04-27,Douglas H. Rapelje Lodge,Welland,120.0,0
2020-04-27,Ehatare Nursing Home,Scarborough,32.0,0
2020-04-27,Extendicare Southwood Lakes,Windsor,150.0,0
2020-04-27,Extendicare Timmins,Timmins,180.0,0
2020-04-27,Franklin Gardens Long Term Care Home,Leamington,120.0,0
2020-04-27,Garden City Manor,St. Catharines,200.0,0
2020-04-27,Hallowell House,Picton,97.0,0
2020-04-27,Heartwood,Cornwall,118.0,0
2020-04-27,Hillside Manor,Stratford,90.0,0
2020-04-27,Lakeview Manor,Beaverton,149.0,0
2020-04-27,Miramichi Lodge,Pembroke,166.0,0
2020-04-27,Mount Hope Centre for Long Term Care,London,394.0,0
2020-04-27,Norview Lodge,Simcoe,179.0,0
2020-04-27,Providence Manor,Kingston,243.0,0
2020-04-27,Riverside Place,Windsor,96.0,0
2020-04-27,Riverview Manor Nursing Home,Peterborough,124.0,0
2020-04-27,Rockcliffe Care Community,Scarborough,204.0,0
2020-04-27,Saint Luke's Place,Cambridge,114.0,0
2020-04-27,Shalom Manor Long Term Care Home,Grimsby,144.0,0
2020-04-27,Spencer House,Orillia,160.0,0
2020-04-27,Sprucedale Care Centre,Strathroy,96.0,0
2020-04-27,St. Andrew's Terrace Long Term Care Community,Cambridge,128.0,0
2020-04-27,Tendercare Living Centre,Scarborough,254.0,<5
2020-04-27,The Village at St. Clair,Windsor,256.0,0
2020-04-27,Villa Marconi,Ottawa,128.0,0
2020-04-27,Wellington Terrace Long-Term Care Home,Fergus,176.0,0
2020-04-27,Wentworth Lodge,Dundas,160.0,0
2020-04-27,Westside,Etobicoke,242.0,<5
2020-04-27,Yee Hong Centre - Markham,Markham,200.0,0
2020-04-28,"Albright Gardens Homes, Incorporated",Beamsville,231.0,0
2020-04-28,Allendale,Milton,200.0,0
2020-04-28,Chartwell Westmount Long Term Care Residence,Kitchener,160.0,0
2020-04-28,Chelsey Park,London,247.0,0
2020-04-28,Clarion Nursing Home,Stoney Creek,100.0,0
2020-04-28,Douglas H. Rapelje Lodge,Welland,120.0,0
2020-04-28,Ehatare Nursing Home,Scarborough,32.0,0
2020-04-28,Extendicare Timmins,Timmins,180.0,0
2020-04-28,Garden City Manor,St. Catharines,200.0,0
2020-04-28,Hallowell House,Picton,97.0,0
2020-04-28,Heartwood,Cornwall,118.0,0
2020-04-28,Heritage Green Nursing Home,Stoney Creek,167.0,<5
2020-04-28,Hillside Manor,Stratford,90.0,0
2020-04-28,Lakeview Manor,Beaverton,149.0,0
2020-04-28,Miramichi Lodge,Pembroke,166.0,0
2020-04-28,Mount Hope Centre for Long Term Care,London,394.0,0
2020-04-28,Norview Lodge,Simcoe,179.0,0
2020-04-28,Providence Manor,Kingston,243.0,0
2020-04-28,Riverside Place,Windsor,96.0,0
2020-04-28,Riverview Manor Nursing Home,Peterborough,124.0,0
2020-04-28,Rockcliffe Care Community,Scarborough,204.0,0
2020-04-28,Saint Luke's Place,Cambridge,114.0,0
2020-04-28,Shalom Manor Long Term Care Home,Grimsby,144.0,0
2020-04-28,Spencer House,Orillia,160.0,0
2020-04-28,Sprucedale Care Centre,Strathroy,96.0,0
2020-04-28,St. Andrew's Terrace Long Term Care Community,Cambridge,128.0,0
2020-04-28,Tendercare Living Centre,Scarborough,254.0,<5
2020-04-28,The Village at St. Clair,Windsor,256.0,0
2020-04-28,The Village at University Gates,Waterloo,192.0,<5
2020-04-28,Villa Marconi,Ottawa,128.0,0
2020-04-28,Wellington Terrace Long-Term Care Home,Fergus,176.0,0
2020-04-28,Wentworth Lodge,Dundas,160.0,0
2020-04-28,Westside,Etobicoke,242.0,<5
2020-04-28,Yee Hong Centre - Markham,Markham,200.0,0
2020-04-29,"Albright Gardens Homes, Incorporated",Beamsville,231.0,0
2020-04-29,Allendale,Milton,200.0,0
2020-04-29,Chartwell Westmount Long Term Care Residence,Kitchener,160.0,0
2020-04-29,Chelsey Park,London,247.0,0
2020-04-29,Clarion Nursing Home,Stoney Creek,100.0,0
2020-04-29,Douglas H. Rapelje Lodge,Welland,120.0,0
2020-04-29,Ehatare Nursing Home,Scarborough,32.0,0
2020-04-29,Extendicare Timmins,Timmins,180.0,0
2020-04-29,Garden City Manor,St. Catharines,200.0,0
2020-04-29,Hallowell House,Picton,97.0,0
2020-04-29,Heartwood,Cornwall,118.0,0
2020-04-29,Heritage Green Nursing Home,Stoney Creek,167.0,<5
2020-04-29,Hillside Manor,Stratford,90.0,0
2020-04-29,Lakeview Manor,Beaverton,149.0,0
2020-04-29,Lambton Meadowview Villa,Petrolia,125.0,0
2020-04-29,Miramichi Lodge,Pembroke,166.0,0
2020-04-29,Mount Hope Centre for Long Term Care,London,394.0,0
2020-04-29,Norview Lodge,Simcoe,179.0,0
2020-04-29,Providence Manor,Kingston,243.0,0
2020-04-29,Riverside Place,Windsor,96.0,0
2020-04-29,Riverview Manor Nursing Home,Peterborough,124.0,0
2020-04-29,Rockcliffe Care Community,Scarborough,204.0,0
2020-04-29,Saint Luke's Place,Cambridge,114.0,0
2020-04-29,Shalom Manor Long Term Care Home,Grimsby,144.0,0
2020-04-29,Spencer House,Orillia,160.0,0
2020-04-29,Sprucedale Care Centre,Strathroy,96.0,0
2020-04-29,St. Andrew's Terrace Long Term Care Community,Cambridge,128.0,0
2020-04-29,Tendercare Living Centre,Scarborough,254.0,<5
2020-04-29,The Village at St. Clair,Windsor,256.0,0
2020-04-29,Villa Marconi,Ottawa,128.0,0
2020-04-29,Wellington Terrace Long-Term Care Home,Fergus,176.0,0
2020-04-29,Wentworth Lodge,Dundas,160.0,0
2020-04-29,Westside,Etobicoke,242.0,<5
2020-04-29,Yee Hong Centre - Markham,Markham,200.0,0
2020-04-30,"Albright Gardens Homes, Incorporated",Beamsville,231.0,0
2020-04-30,Allendale,Milton,200.0,0
2020-04-30,Chartwell Westmount Long Term Care Residence,Kitchener,160.0,0
2020-04-30,Chelsey Park,London,247.0,0
2020-04-30,Clarion Nursing Home,Stoney Creek,100.0,0
2020-04-30,Douglas H. Rapelje Lodge,Welland,120.0,0
2020-04-30,Ehatare Nursing Home,Scarborough,32.0,0
2020-04-30,Extendicare Timmins,Timmins,180.0,0
2020-04-30,Fairview Lodge,Whitby,198.0,0
2020-04-30,Garden City Manor,St. Catharines,200.0,0
2020-04-30,Hallowell House,Picton,97.0,0
2020-04-30,Heartwood,Cornwall,118.0,0
2020-04-30,Heritage Green Nursing Home,Stoney Creek,167.0,<5
2020-04-30,Hillside Manor,Stratford,90.0,0
2020-04-30,Lakeview Manor,Beaverton,149.0,0
2020-04-30,Lambton Meadowview Villa,Petrolia,125.0,0
2020-04-30,Miramichi Lodge,Pembroke,166.0,0
2020-04-30,Mount Hope Centre for Long Term Care,London,394.0,0
2020-04-30,Norview Lodge,Simcoe,179.0,0
2020-04-30,Providence Manor,Kingston,243.0,0
2020-04-30,Riverside Place,Windsor,96.0,0
2020-04-30,Riverview Manor Nursing Home,Peterborough,124.0,0
2020-04-30,Rockcliffe Care Community,Scarborough,204.0,0
2020-04-30,Saint Luke's Place,Cambridge,114.0,0
2020-04-30,Shalom Manor Long Term Care Home,Grimsby,144.0,0
2020-04-30,Spencer House,Orillia,160.0,0
2020-04-30,Sprucedale Care Centre,Strathroy,96.0,0
2020-04-30,St. Andrew's Terrace Long Term Care Community,Cambridge,128.0,0
2020-04-30,Tendercare Living Centre,Scarborough,254.0,<5
2020-04-30,The Village at St. Clair,Windsor,256.0,0
2020-04-30,Villa Marconi,Ottawa,128.0,0
2020-04-30,Wellington Terrace Long-Term Care Home,Fergus,176.0,0
2020-04-30,Wentworth Lodge,Dundas,160.0,0
2020-04-30,Westside,Etobicoke,242.0,<5
2020-04-30,Yee Hong Centre - Markham,Markham,200.0,0
2020-05-01,"Albright Gardens Homes, Incorporated",Beamsville,231.0,0
2020-05-01,Allendale,Milton,200.0,0
2020-05-01,Centre d'Accueil Roger Seguin,Clarence Creek,113.0,0
2020-05-01,Chartwell Westmount Long Term Care Residence,Kitchener,160.0,0
2020-05-01,Chelsey Park,London,247.0,0
2020-05-01,Clarion Nursing Home,Stoney Creek,100.0,0
2020-05-01,Douglas H. Rapelje Lodge,Welland,120.0,0
2020-05-01,Ehatare Nursing Home,Scarborough,32.0,0
2020-05-01,Extendicare Timmins,Timmins,180.0,0
2020-05-01,Fairview Lodge,Whitby,198.0,0
2020-05-01,Garden City Manor,St. Catharines,200.0,0
2020-05-01,Hallowell House,Picton,97.0,0
2020-05-01,Heartwood,Cornwall,118.0,0
2020-05-01,Heritage Green Nursing Home,Stoney Creek,167.0,<5
2020-05-01,Hillside Manor,Stratford,90.0,0
2020-05-01,Lakeview Manor,Beaverton,149.0,0
2020-05-01,Lambton Meadowview Villa,Petrolia,125.0,0
2020-05-01,Miramichi Lodge,Pembroke,166.0,0
2020-05-01,Mount Hope Centre for Long Term Care,London,394.0,0
2020-05-01,Norview Lodge,Simcoe,179.0,0
2020-05-01,Providence Manor,Kingston,243.0,0
2020-05-01,Riverside Place,Windsor,96.0,0
2020-05-01,Riverview Manor Nursing Home,Peterborough,124.0,0
2020-05-01,Rockcliffe Care Community,Scarborough,204.0,0
2020-05-01,Saint Luke's Place,Cambridge,114.0,0
2020-05-01,Shalom Manor Long Term Care Home,Grimsby,144.0,0
2020-05-01,Spencer House,Orillia,160.0,0
2020-05-01,Sprucedale Care Centre,Strathroy,96.0,0
2020-05-01,St. Andrew's Terrace Long Term Care Community,Cambridge,128.0,0
2020-05-01,Tendercare Living Centre,Scarborough,254.0,<5
2020-05-01,The Village at St. Clair,Windsor,256.0,0
2020-05-01,Villa Marconi,Ottawa,128.0,0
2020-05-01,Wellington Terrace Long-Term Care Home,Fergus,176.0,0
2020-05-01,Wentworth Lodge,Dundas,160.0,0
2020-05-01,Westside,Etobicoke,242.0,<5
2020-05-01,Yee Hong Centre - Markham,Markham,200.0,0
2020-05-02,"Albright Gardens Homes, Incorporated",Beamsville,231.0,0
2020-05-02,Allendale,Milton,200.0,0
2020-05-02,Centre d'Accueil Roger Seguin,Clarence Creek,113.0,0
2020-05-02,Chartwell Westmount Long Term Care Residence,Kitchener,160.0,0
2020-05-02,Chelsey Park,London,247.0,0
2020-05-02,Clarion Nursing Home,Stoney Creek,100.0,0
2020-05-02,Douglas H. Rapelje Lodge,Welland,120.0,0
2020-05-02,Ehatare Nursing Home,Scarborough,32.0,0
2020-05-02,Extendicare Timmins,Timmins,180.0,0
2020-05-02,Fairview Lodge,Whitby,198.0,0
2020-05-02,Garden City Manor,St. Catharines,200.0,0
2020-05-02,Hallowell House,Picton,97.0,0
2020-05-02,Heartwood,Cornwall,118.0,0
2020-05-02,Heritage Green Nursing Home,Stoney Creek,167.0,<5
2020-05-02,Hillside Manor,Stratford,90.0,0
2020-05-02,Lakeview Manor,Beaverton,149.0,0
2020-05-02,Lambton Meadowview Villa,Petrolia,125.0,0
2020-05-02,Miramichi Lodge,Pembroke,166.0,0
2020-05-02,Mount Hope Centre for Long Term Care,London,394.0,0
2020-05-02,Norview Lodge,Simcoe,179.0,0
2020-05-02,Providence Manor,Kingston,243.0,0
2020-05-02,Riverside Place,Windsor,96.0,0
2020-05-02,Riverview Manor Nursing Home,Peterborough,124.0,0
2020-05-02,Saint Luke's Place,Cambridge,114.0,0
2020-05-02,Shalom Manor Long Term Care Home,Grimsby,144.0,0
2020-05-02,Spencer House,Orillia,160.0,0
2020-05-02,Sprucedale Care Centre,Strathroy,96.0,0
2020-05-02,St. Andrew's Terrace Long Term Care Community,Cambridge,128.0,0
2020-05-02,Tendercare Living Centre,Scarborough,254.0,<5
2020-05-02,The Village at St. Clair,Windsor,256.0,0
2020-05-02,Villa Marconi,Ottawa,128.0,0
2020-05-02,Wellington Terrace Long-Term Care Home,Fergus,176.0,0
2020-05-02,Wentworth Lodge,Dundas,160.0,0
2020-05-02,Westside,Etobicoke,242.0,<5
2020-05-02,Winbourne Park,Ajax,110.0,0
2020-05-02,Yee Hong Centre - Markham,Markham,200.0,0
2020-05-03,"Albright Gardens Homes, Incorporated",Beamsville,231.0,0
2020-05-03,Allendale,Milton,200.0,0
2020-05-03,Centre d'Accueil Roger Seguin,Clarence Creek,113.0,0
2020-05-03,Chartwell Westmount Long Term Care Residence,Kitchener,160.0,0
2020-05-03,Chelsey Park,London,247.0,0
2020-05-03,Clarion Nursing Home,Stoney Creek,100.0,0
2020-05-03,Douglas H. Rapelje Lodge,Welland,120.0,0
2020-05-03,Ehatare Nursing Home,Scarborough,32.0,0
2020-05-03,Extendicare Timmins,Timmins,180.0,0
2020-05-03,Fairview Lodge,Whitby,198.0,0
2020-05-03,Garden City Manor,St. Catharines,200.0,0
2020-05-03,Hallowell House,Picton,97.0,0
2020-05-03,Heartwood,Cornwall,118.0,0
2020-05-03,Hillside Manor,Stratford,90.0,0
2020-05-03,Lakeview Manor,Beaverton,149.0,0
2020-05-03,Lambton Meadowview Villa,Petrolia,125.0,0
2020-05-03,Maple View,Owen Sound,29.0,0
2020-05-03,Miramichi Lodge,Pembroke,166.0,0
2020-05-03,Mount Hope Centre for Long Term Care,London,394.0,0
2020-05-03,Norview Lodge,Simcoe,179.0,0
2020-05-03,Providence Manor,Kingston,243.0,0
2020-05-03,Riverside Place,Windsor,96.0,0
2020-05-03,Riverview Manor Nursing Home,Peterborough,124.0,0
2020-05-03,Rosebridge Manor,Jasper,78.0,0
2020-05-03,Saint Luke's Place,Cambridge,114.0,0
2020-05-03,Shalom Manor Long Term Care Home,Grimsby,144.0,0
2020-05-03,Spencer House,Orillia,160.0,0
2020-05-03,Sprucedale Care Centre,Strathroy,96.0,0
2020-05-03,St. Andrew's Terrace Long Term Care Community,Cambridge,128.0,0
2020-05-03,Tendercare Living Centre,Scarborough,254.0,<5
2020-05-03,The Village at St. Clair,Windsor,256.0,0
2020-05-03,Villa Marconi,Ottawa,128.0,0
2020-05-03,Wellington Terrace Long-Term Care Home,Fergus,176.0,0
2020-05-03,Wentworth Lodge,Dundas,160.0,0
2020-05-03,Westside,Etobicoke,242.0,<5
2020-05-03,Winbourne Park,Ajax,110.0,0
2020-05-03,Yee Hong Centre - Markham,Markham,200.0,0
2020-05-04,"Albright Gardens Homes, Incorporated",Beamsville,231.0,0
2020-05-04,Allendale,Milton,200.0,0
2020-05-04,Centre d'Accueil Roger Seguin,Clarence Creek,113.0,0
2020-05-04,Chartwell Westmount Long Term Care Residence,Kitchener,160.0,0
2020-05-04,Chelsey Park,London,247.0,0
2020-05-04,Clarion Nursing Home,Stoney Creek,100.0,0
2020-05-04,Douglas H. Rapelje Lodge,Welland,120.0,0
2020-05-04,Ehatare Nursing Home,Scarborough,32.0,0
2020-05-04,Extendicare Timmins,Timmins,180.0,0
2020-05-04,Fairview Lodge,Whitby,198.0,0
2020-05-04,Garden City Manor,St. Catharines,200.0,0
2020-05-04,Hallowell House,Picton,97.0,0
2020-05-04,Hampton Terrace Care Centre,Burlington,101.0,0
2020-05-04,Hillside Manor,Stratford,90.0,0
2020-05-04,Lakeview Manor,Beaverton,149.0,0
2020-05-04,Lambton Meadowview Villa,Petrolia,125.0,0
2020-05-04,Maple View,Owen Sound,29.0,0
2020-05-04,Miramichi Lodge,Pembroke,166.0,0
2020-05-04,Mount Hope Centre for Long Term Care,London,394.0,0
2020-05-04,Norview Lodge,Simcoe,179.0,0
2020-05-04,Providence Manor,Kingston,243.0,0
2020-05-04,Riverside Place,Windsor,96.0,0
2020-05-04,Riverview Manor Nursing Home,Peterborough,124.0,0
2020-05-04,Rosebridge Manor,Jasper,78.0,0
2020-05-04,Saint Luke's Place,Cambridge,114.0,0
2020-05-04,Shalom Manor Long Term Care Home,Grimsby,144.0,0
2020-05-04,Spencer House,Orillia,160.0,0
2020-05-04,Sprucedale Care Centre,Strathroy,96.0,0
2020-05-04,St. Andrew's Terrace Long Term Care Community,Cambridge,128.0,0
2020-05-04,Tendercare Living Centre,Scarborough,254.0,<5
2020-05-04,The Woodlands of Sunset,Welland,121.0,0
2020-05-04,Villa Marconi,Ottawa,128.0,0
2020-05-04,Wellington Terrace Long-Term Care Home,Fergus,176.0,0
2020-05-04,Wentworth Lodge,Dundas,160.0,0
2020-05-04,Westside,Etobicoke,242.0,<5
2020-05-04,Winbourne Park,Ajax,110.0,0
2020-05-04,Yee Hong Centre - Markham,Markham,200.0,0
2020-05-05,"Albright Gardens Homes, Incorporated",Beamsville,231.0,0
2020-05-05,Allendale,Milton,200.0,0
2020-05-05,Belmont Long Term Care Facility,Belleville,128.0,0
2020-05-05,Centre d'Accueil Roger Seguin,Clarence Creek,113.0,0
2020-05-05,Chartwell Westmount Long Term Care Residence,Kitchener,160.0,0
2020-05-05,Chelsey Park,London,247.0,0
2020-05-05,Clarion Nursing Home,Stoney Creek,100.0,0
2020-05-05,Douglas H. Rapelje Lodge,Welland,120.0,0
2020-05-05,Ehatare Nursing Home,Scarborough,32.0,0
2020-05-05,Extendicare Timmins,Timmins,180.0,0
2020-05-05,Fairview Lodge,Whitby,198.0,0
2020-05-05,Garden City Manor,St. Catharines,200.0,0
2020-05-05,Grace Villa Nursing Home,Hamilton,184.0,0
2020-05-05,Hallowell House,Picton,97.0,0
2020-05-05,Hampton Terrace Care Centre,Burlington,101.0,0
2020-05-05,Heritage Green Nursing Home,Stoney Creek,167.0,<5
2020-05-05,Hillside Manor,Stratford,90.0,0
2020-05-05,Lakeview Manor,Beaverton,149.0,0
2020-05-05,Lambton Meadowview Villa,Petrolia,125.0,0
2020-05-05,Maple View,Owen Sound,29.0,0
2020-05-05,Miramichi Lodge,Pembroke,166.0,0
2020-05-05,Mount Hope Centre for Long Term Care,London,394.0,0
2020-05-05,Norview Lodge,Simcoe,179.0,0
2020-05-05,Providence Manor,Kingston,243.0,0
2020-05-05,Riverside Place,Windsor,96.0,0
2020-05-05,Riverview Manor Nursing Home,Peterborough,124.0,0
2020-05-05,Rosebridge Manor,Jasper,78.0,0
2020-05-05,Saint Luke's Place,Cambridge,114.0,0
2020-05-05,Shalom Manor Long Term Care Home,Grimsby,144.0,0
2020-05-05,Shepherd Lodge,Toronto,252.0,0
2020-05-05,Spencer House,Orillia,160.0,0
2020-05-05,Sprucedale Care Centre,Strathroy,96.0,0
2020-05-05,St. Andrew's Terrace Long Term Care Community,Cambridge,128.0,0
2020-05-05,Tendercare Living Centre,Scarborough,254.0,<5
2020-05-05,The Woodlands of Sunset,Welland,121.0,0
2020-05-05,Villa Marconi,Ottawa,128.0,0
2020-05-05,Wellington Terrace Long-Term Care Home,Fergus,176.0,0
2020-05-05,Wentworth Lodge,Dundas,160.0,0
2020-05-05,Westside,Etobicoke,242.0,<5
2020-05-05,Winbourne Park,Ajax,110.0,0
2020-05-05,Yee Hong Centre - Markham,Markham,200.0,0
2020-05-06,"Albright Gardens Homes, Incorporated",Beamsville,231.0,0
2020-05-06,Allendale,Milton,200.0,0
2020-05-06,Belmont Long Term Care Facility,Belleville,128.0,0
2020-05-06,Caressant Care Fergus Nursing Home,Fergus,87.0,0
2020-05-06,Caressant Care on Bonnie Place,St Thomas,116.0,0
2020-05-06,Centre d'Accueil Roger Seguin,Clarence Creek,113.0,0
2020-05-06,Chartwell Westmount Long Term Care Residence,Kitchener,160.0,0
2020-05-06,Chelsey Park,London,247.0,0
2020-05-06,Clarion Nursing Home,Stoney Creek,100.0,0
2020-05-06,Douglas H. Rapelje Lodge,Welland,120.0,0
2020-05-06,Ehatare Nursing Home,Scarborough,32.0,0
2020-05-06,Extendicare Timmins,Timmins,180.0,0
2020-05-06,Fairview Lodge,Whitby,198.0,0
2020-05-06,Garden City Manor,St. Catharines,200.0,0
2020-05-06,Grace Villa Nursing Home,Hamilton,184.0,0
2020-05-06,Hallowell House,Picton,97.0,0
2020-05-06,Hampton Terrace Care Centre,Burlington,101.0,0
2020-05-06,Hillside Manor,Stratford,90.0,0
2020-05-06,Lakeview Manor,Beaverton,149.0,0
2020-05-06,Lambton Meadowview Villa,Petrolia,125.0,0
2020-05-06,Maple View,Owen Sound,29.0,0
2020-05-06,Miramichi Lodge,Pembroke,166.0,0
2020-05-06,Mount Hope Centre for Long Term Care,London,394.0,0
2020-05-06,Northridge,Oakville,133.0,0
2020-05-06,Norview Lodge,Simcoe,179.0,0
2020-05-06,Providence Manor,Kingston,243.0,0
2020-05-06,Riverside Place,Windsor,96.0,0
2020-05-06,Riverview Manor Nursing Home,Peterborough,124.0,0
2020-05-06,Rosebridge Manor,Jasper,78.0,0
2020-05-06,Saint Luke's Place,Cambridge,114.0,0
2020-05-06,Shalom Manor Long Term Care Home,Grimsby,144.0,0
2020-05-06,Shepherd Lodge,Toronto,252.0,0
2020-05-06,Spencer House,Orillia,160.0,0
2020-05-06,Sprucedale Care Centre,Strathroy,96.0,0
2020-05-06,St. Andrew's Terrace Long Term Care Community,Cambridge,128.0,0
2020-05-06,"St. Joseph's Villa, Dundas",Dundas,425.0,0
2020-05-06,Tendercare Living Centre,Scarborough,254.0,<5
2020-05-06,The Woodlands of Sunset,Welland,121.0,0
2020-05-06,Villa Marconi,Ottawa,128.0,0
2020-05-06,Wellington Terrace Long-Term Care Home,Fergus,176.0,0
2020-05-06,Westside,Etobicoke,242.0,<5
2020-05-06,Winbourne Park,Ajax,110.0,0
2020-05-06,Woods Park Care Centre,Barrie,123.0,0
2020-05-06,Yee Hong Centre - Markham,Markham,200.0,0
2020-05-06,Yee Hong Centre - Scarborough McNicoll,Scarborough,155.0,0
2020-05-07,"Albright Gardens Homes, Incorporated",Beamsville,231.0,0
2020-05-07,Allendale,Milton,200.0,0
2020-05-07,Belmont Long Term Care Facility,Belleville,128.0,0
2020-05-07,Caressant Care Fergus Nursing Home,Fergus,87.0,0
2020-05-07,Caressant Care on Bonnie Place,St Thomas,116.0,0
2020-05-07,Centre d'Accueil Roger Seguin,Clarence Creek,113.0,0
