ï»¿Report_Data_Extracted,PHU_Num,PHU,LTC_Home,City,Beds,Total_LTC_Resident_Deaths
2020-04-24,3895.0,TORONTO,Westside,Etobicoke,242.0,<5
2020-04-24,2270.0,YORK REGION,Yee Hong Centre - Markham,Markham,200.0,0.0
2020-04-25,2236.0,HALTON,Allendale,Milton,200.0,0.0
2020-04-25,2265.0,WATERLOO,Chartwell Westmount Long Term Care Residence,Kitchener,160.0,0.0
2020-04-25,2244.0,MIDDLESEX-LONDON,Chelsey Park,London,247.0,0.0
2020-04-25,2237.0,HAMILTON,Clarion Nursing Home,Stoney Creek,100.0,0.0
2020-04-25,2246.0,NIAGARA,Douglas H. Rapelje Lodge,Welland,120.0,0.0
2020-04-25,3895.0,TORONTO,Ehatare Nursing Home,Scarborough,32.0,0.0
2020-04-25,2268.0,WINDSOR-ESSEX,Extendicare Southwood Lakes,Windsor,150.0,0.0
2020-04-25,2256.0,PORCUPINE,Extendicare Timmins,Timmins,180.0,0.0
2020-04-25,2246.0,NIAGARA,Garden City Manor,St. Catharines,200.0,0.0
2020-04-25,2251.0,OTTAWA,Garden Terrace,Kanata,160.0,0.0
2020-04-25,2238.0,HASTINGS PRINCE EDWARD,Hallowell House,Picton,97.0,0.0
2020-04-25,2258.0,EASTERN ONTARIO,Heartwood,Cornwall,118.0,0.0
2020-04-25,5183.0,Huron Perth,Hillside Manor,Stratford,90.0,0.0
2020-04-25,2230.0,DURHAM,Lakeview Manor,Beaverton,149.0,0.0
2020-04-25,2257.0,RENFREW,Miramichi Lodge,Pembroke,166.0,0.0
2020-04-25,2244.0,MIDDLESEX-LONDON,Mount Hope Centre for Long Term Care,London,394.0,0.0
2020-04-25,2234.0,HALDIMAND-NORFOLK,Norview Lodge,Simcoe,179.0,0.0
2020-04-25,2268.0,WINDSOR-ESSEX,Riverside Place,Windsor,96.0,0.0
2020-04-25,2255.0,PETERBOROUGH,Riverview Manor Nursing Home,Peterborough,124.0,0.0
2020-04-25,3895.0,TORONTO,Rockcliffe Care Community,Scarborough,204.0,0.0
2020-04-25,2265.0,WATERLOO,Saint Luke's Place,Cambridge,114.0,0.0
2020-04-25,2246.0,NIAGARA,Shalom Manor Long Term Care Home,Grimsby,144.0,0.0
2020-04-25,2260.0,SIMCOE-MUSKOKA,Spencer House,Orillia,160.0,0.0
2020-04-25,2244.0,MIDDLESEX-LONDON,Sprucedale Care Centre,Strathroy,96.0,0.0
2020-04-25,2265.0,WATERLOO,St. Andrew's Terrace Long Term Care Community,Cambridge,128.0,0.0
2020-04-25,3895.0,TORONTO,Tendercare Living Centre,Scarborough,254.0,<5
2020-04-25,2268.0,WINDSOR-ESSEX,The Village at St. Clair,Windsor,256.0,0.0
2020-04-25,2266.0,WELLINGTON-DUFFERIN-GUELPH,Wellington Terrace Long-Term Care Home,Fergus,176.0,0.0
2020-04-25,2237.0,HAMILTON,Wentworth Lodge,Dundas,160.0,0.0
2020-04-25,3895.0,TORONTO,Westside,Etobicoke,242.0,<5
2020-04-25,2270.0,YORK REGION,Yee Hong Centre - Markham,Markham,200.0,0.0
2020-04-26,2236.0,HALTON,Allendale,Milton,200.0,0.0
2020-04-26,2265.0,WATERLOO,Chartwell Westmount Long Term Care Residence,Kitchener,160.0,0.0
2020-04-26,2244.0,MIDDLESEX-LONDON,Chelsey Park,London,247.0,0.0
2020-04-26,2237.0,HAMILTON,Clarion Nursing Home,Stoney Creek,100.0,0.0
2020-04-26,2246.0,NIAGARA,Douglas H. Rapelje Lodge,Welland,120.0,0.0
2020-04-26,3895.0,TORONTO,Ehatare Nursing Home,Scarborough,32.0,0.0
2020-04-26,2268.0,WINDSOR-ESSEX,Extendicare Southwood Lakes,Windsor,150.0,0.0
2020-04-26,2256.0,PORCUPINE,Extendicare Timmins,Timmins,180.0,0.0
2020-04-26,2246.0,NIAGARA,Garden City Manor,St. Catharines,200.0,0.0
2020-04-26,2251.0,OTTAWA,Garden Terrace,Kanata,160.0,0.0
2020-04-26,2238.0,HASTINGS PRINCE EDWARD,Hallowell House,Picton,97.0,0.0
2020-04-26,2258.0,EASTERN ONTARIO,Heartwood,Cornwall,118.0,0.0
2020-04-26,5183.0,Huron Perth,Hillside Manor,Stratford,90.0,0.0
2020-04-26,2230.0,DURHAM,Lakeview Manor,Beaverton,149.0,0.0
2020-04-26,2257.0,RENFREW,Miramichi Lodge,Pembroke,166.0,0.0
2020-04-26,2244.0,MIDDLESEX-LONDON,Mount Hope Centre for Long Term Care,London,394.0,0.0
2020-04-26,2234.0,HALDIMAND-NORFOLK,Norview Lodge,Simcoe,179.0,0.0
2020-04-26,2268.0,WINDSOR-ESSEX,Riverside Place,Windsor,96.0,0.0
2020-04-26,2255.0,PETERBOROUGH,Riverview Manor Nursing Home,Peterborough,124.0,0.0
2020-04-26,3895.0,TORONTO,Rockcliffe Care Community,Scarborough,204.0,0.0
2020-04-26,2265.0,WATERLOO,Saint Luke's Place,Cambridge,114.0,0.0
2020-04-26,2246.0,NIAGARA,Shalom Manor Long Term Care Home,Grimsby,144.0,0.0
2020-04-26,2260.0,SIMCOE-MUSKOKA,Spencer House,Orillia,160.0,0.0
2020-04-26,2244.0,MIDDLESEX-LONDON,Sprucedale Care Centre,Strathroy,96.0,0.0
2020-04-26,2265.0,WATERLOO,St. Andrew's Terrace Long Term Care Community,Cambridge,128.0,0.0
2020-04-26,3895.0,TORONTO,Tendercare Living Centre,Scarborough,254.0,<5
2020-04-26,2268.0,WINDSOR-ESSEX,The Village at St. Clair,Windsor,256.0,0.0
2020-04-26,2251.0,OTTAWA,Villa Marconi,Ottawa,128.0,0.0
2020-04-26,2266.0,WELLINGTON-DUFFERIN-GUELPH,Wellington Terrace Long-Term Care Home,Fergus,176.0,0.0
2020-04-26,2237.0,HAMILTON,Wentworth Lodge,Dundas,160.0,0.0
2020-04-26,3895.0,TORONTO,Westside,Etobicoke,242.0,<5
2020-04-26,2270.0,YORK REGION,Yee Hong Centre - Markham,Markham,200.0,0.0
2020-04-27,2246.0,NIAGARA,"Albright Gardens Homes, Incorporated",Beamsville,231.0,0.0
2020-04-27,2236.0,HALTON,Allendale,Milton,200.0,0.0
2020-04-27,2265.0,WATERLOO,Chartwell Westmount Long Term Care Residence,Kitchener,160.0,0.0
2020-04-27,2244.0,MIDDLESEX-LONDON,Chelsey Park,London,247.0,0.0
2020-04-27,2237.0,HAMILTON,Clarion Nursing Home,Stoney Creek,100.0,0.0
2020-04-27,2246.0,NIAGARA,Douglas H. Rapelje Lodge,Welland,120.0,0.0
2020-04-27,3895.0,TORONTO,Ehatare Nursing Home,Scarborough,32.0,0.0
2020-04-27,2268.0,WINDSOR-ESSEX,Extendicare Southwood Lakes,Windsor,150.0,0.0
2020-04-27,2256.0,PORCUPINE,Extendicare Timmins,Timmins,180.0,0.0
2020-04-27,2268.0,WINDSOR-ESSEX,Franklin Gardens Long Term Care Home,Leamington,120.0,0.0
2020-04-27,2246.0,NIAGARA,Garden City Manor,St. Catharines,200.0,0.0
2020-04-27,2238.0,HASTINGS PRINCE EDWARD,Hallowell House,Picton,97.0,0.0
2020-04-27,2258.0,EASTERN ONTARIO,Heartwood,Cornwall,118.0,0.0
2020-04-27,5183.0,Huron Perth,Hillside Manor,Stratford,90.0,0.0
2020-04-27,2230.0,DURHAM,Lakeview Manor,Beaverton,149.0,0.0
2020-04-27,2257.0,RENFREW,Miramichi Lodge,Pembroke,166.0,0.0
2020-04-27,2244.0,MIDDLESEX-LONDON,Mount Hope Centre for Long Term Care,London,394.0,0.0
2020-04-27,2234.0,HALDIMAND-NORFOLK,Norview Lodge,Simcoe,179.0,0.0
2020-04-27,2241.0,KINGSTON FRONTENAC L & A,Providence Manor,Kingston,243.0,0.0
2020-04-27,2268.0,WINDSOR-ESSEX,Riverside Place,Windsor,96.0,0.0
2020-04-27,2255.0,PETERBOROUGH,Riverview Manor Nursing Home,Peterborough,124.0,0.0
2020-04-27,3895.0,TORONTO,Rockcliffe Care Community,Scarborough,204.0,0.0
2020-04-27,2265.0,WATERLOO,Saint Luke's Place,Cambridge,114.0,0.0
2020-04-27,2246.0,NIAGARA,Shalom Manor Long Term Care Home,Grimsby,144.0,0.0
2020-04-27,2260.0,SIMCOE-MUSKOKA,Spencer House,Orillia,160.0,0.0
2020-04-27,2244.0,MIDDLESEX-LONDON,Sprucedale Care Centre,Strathroy,96.0,0.0
2020-04-27,2265.0,WATERLOO,St. Andrew's Terrace Long Term Care Community,Cambridge,128.0,0.0
2020-04-27,3895.0,TORONTO,Tendercare Living Centre,Scarborough,254.0,<5
2020-04-27,2268.0,WINDSOR-ESSEX,The Village at St. Clair,Windsor,256.0,0.0
2020-04-27,2251.0,OTTAWA,Villa Marconi,Ottawa,128.0,0.0
2020-04-27,2266.0,WELLINGTON-DUFFERIN-GUELPH,Wellington Terrace Long-Term Care Home,Fergus,176.0,0.0
2020-04-27,2237.0,HAMILTON,Wentworth Lodge,Dundas,160.0,0.0
2020-04-27,3895.0,TORONTO,Westside,Etobicoke,242.0,<5
2020-04-27,2270.0,YORK REGION,Yee Hong Centre - Markham,Markham,200.0,0.0
2020-04-28,2246.0,NIAGARA,"Albright Gardens Homes, Incorporated",Beamsville,231.0,0.0
2020-04-28,2236.0,HALTON,Allendale,Milton,200.0,0.0
2020-04-28,2265.0,WATERLOO,Chartwell Westmount Long Term Care Residence,Kitchener,160.0,0.0
2020-04-28,2244.0,MIDDLESEX-LONDON,Chelsey Park,London,247.0,0.0
2020-04-28,2237.0,HAMILTON,Clarion Nursing Home,Stoney Creek,100.0,0.0
2020-04-28,2246.0,NIAGARA,Douglas H. Rapelje Lodge,Welland,120.0,0.0
2020-04-28,3895.0,TORONTO,Ehatare Nursing Home,Scarborough,32.0,0.0
2020-04-28,2256.0,PORCUPINE,Extendicare Timmins,Timmins,180.0,0.0
2020-04-28,2246.0,NIAGARA,Garden City Manor,St. Catharines,200.0,0.0
2020-04-28,2238.0,HASTINGS PRINCE EDWARD,Hallowell House,Picton,97.0,0.0
2020-04-28,2258.0,EASTERN ONTARIO,Heartwood,Cornwall,118.0,0.0
2020-04-28,2237.0,HAMILTON,Heritage Green Nursing Home,Stoney Creek,167.0,<5
2020-04-28,5183.0,Huron Perth,Hillside Manor,Stratford,90.0,0.0
2020-04-28,2230.0,DURHAM,Lakeview Manor,Beaverton,149.0,0.0
2020-04-28,2257.0,RENFREW,Miramichi Lodge,Pembroke,166.0,0.0
2020-04-28,2244.0,MIDDLESEX-LONDON,Mount Hope Centre for Long Term Care,London,394.0,0.0
2020-04-28,2234.0,HALDIMAND-NORFOLK,Norview Lodge,Simcoe,179.0,0.0
2020-04-28,2241.0,KINGSTON FRONTENAC L & A,Providence Manor,Kingston,243.0,0.0
2020-04-28,2268.0,WINDSOR-ESSEX,Riverside Place,Windsor,96.0,0.0
2020-04-28,2255.0,PETERBOROUGH,Riverview Manor Nursing Home,Peterborough,124.0,0.0
2020-04-28,3895.0,TORONTO,Rockcliffe Care Community,Scarborough,204.0,0.0
2020-04-28,2265.0,WATERLOO,Saint Luke's Place,Cambridge,114.0,0.0
2020-04-28,2246.0,NIAGARA,Shalom Manor Long Term Care Home,Grimsby,144.0,0.0
2020-04-28,2260.0,SIMCOE-MUSKOKA,Spencer House,Orillia,160.0,0.0
2020-04-28,2244.0,MIDDLESEX-LONDON,Sprucedale Care Centre,Strathroy,96.0,0.0
2020-04-28,2265.0,WATERLOO,St. Andrew's Terrace Long Term Care Community,Cambridge,128.0,0.0
2020-04-28,3895.0,TORONTO,Tendercare Living Centre,Scarborough,254.0,<5
2020-04-28,2268.0,WINDSOR-ESSEX,The Village at St. Clair,Windsor,256.0,0.0
2020-04-28,2265.0,WATERLOO,The Village at University Gates,Waterloo,192.0,<5
2020-04-28,2251.0,OTTAWA,Villa Marconi,Ottawa,128.0,0.0
2020-04-28,2266.0,WELLINGTON-DUFFERIN-GUELPH,Wellington Terrace Long-Term Care Home,Fergus,176.0,0.0
2020-04-28,2237.0,HAMILTON,Wentworth Lodge,Dundas,160.0,0.0
2020-04-28,3895.0,TORONTO,Westside,Etobicoke,242.0,<5
2020-04-28,2270.0,YORK REGION,Yee Hong Centre - Markham,Markham,200.0,0.0
2020-04-29,2246.0,NIAGARA,"Albright Gardens Homes, Incorporated",Beamsville,231.0,0.0
2020-04-29,2236.0,HALTON,Allendale,Milton,200.0,0.0
2020-04-29,2265.0,WATERLOO,Chartwell Westmount Long Term Care Residence,Kitchener,160.0,0.0
2020-04-29,2244.0,MIDDLESEX-LONDON,Chelsey Park,London,247.0,0.0
2020-04-29,2237.0,HAMILTON,Clarion Nursing Home,Stoney Creek,100.0,0.0
2020-04-29,2246.0,NIAGARA,Douglas H. Rapelje Lodge,Welland,120.0,0.0
2020-04-29,3895.0,TORONTO,Ehatare Nursing Home,Scarborough,32.0,0.0
2020-04-29,2256.0,PORCUPINE,Extendicare Timmins,Timmins,180.0,0.0
2020-04-29,2246.0,NIAGARA,Garden City Manor,St. Catharines,200.0,0.0
2020-04-29,2238.0,HASTINGS PRINCE EDWARD,Hallowell House,Picton,97.0,0.0
2020-04-29,2258.0,EASTERN ONTARIO,Heartwood,Cornwall,118.0,0.0
2020-04-29,2237.0,HAMILTON,Heritage Green Nursing Home,Stoney Creek,167.0,<5
2020-04-29,5183.0,Huron Perth,Hillside Manor,Stratford,90.0,0.0
2020-04-29,2230.0,DURHAM,Lakeview Manor,Beaverton,149.0,0.0
2020-04-29,2242.0,LAMBTON,Lambton Meadowview Villa,Petrolia,125.0,0.0
2020-04-29,2257.0,RENFREW,Miramichi Lodge,Pembroke,166.0,0.0
2020-04-29,2244.0,MIDDLESEX-LONDON,Mount Hope Centre for Long Term Care,London,394.0,0.0
2020-04-29,2234.0,HALDIMAND-NORFOLK,Norview Lodge,Simcoe,179.0,0.0
2020-04-29,2241.0,KINGSTON FRONTENAC L & A,Providence Manor,Kingston,243.0,0.0
2020-04-29,2268.0,WINDSOR-ESSEX,Riverside Place,Windsor,96.0,0.0
2020-04-29,2255.0,PETERBOROUGH,Riverview Manor Nursing Home,Peterborough,124.0,0.0
2020-04-29,3895.0,TORONTO,Rockcliffe Care Community,Scarborough,204.0,0.0
2020-04-29,2265.0,WATERLOO,Saint Luke's Place,Cambridge,114.0,0.0
2020-04-29,2246.0,NIAGARA,Shalom Manor Long Term Care Home,Grimsby,144.0,0.0
2020-04-29,2260.0,SIMCOE-MUSKOKA,Spencer House,Orillia,160.0,0.0
2020-04-29,2244.0,MIDDLESEX-LONDON,Sprucedale Care Centre,Strathroy,96.0,0.0
2020-04-29,2265.0,WATERLOO,St. Andrew's Terrace Long Term Care Community,Cambridge,128.0,0.0
2020-04-29,3895.0,TORONTO,Tendercare Living Centre,Scarborough,254.0,<5
2020-04-29,2268.0,WINDSOR-ESSEX,The Village at St. Clair,Windsor,256.0,0.0
2020-04-29,2251.0,OTTAWA,Villa Marconi,Ottawa,128.0,0.0
2020-04-29,2266.0,WELLINGTON-DUFFERIN-GUELPH,Wellington Terrace Long-Term Care Home,Fergus,176.0,0.0
2020-04-29,2237.0,HAMILTON,Wentworth Lodge,Dundas,160.0,0.0
2020-04-29,3895.0,TORONTO,Westside,Etobicoke,242.0,<5
2020-04-29,2270.0,YORK REGION,Yee Hong Centre - Markham,Markham,200.0,0.0
2020-04-30,2246.0,NIAGARA,"Albright Gardens Homes, Incorporated",Beamsville,231.0,0.0
2020-04-30,2236.0,HALTON,Allendale,Milton,200.0,0.0
2020-04-30,2265.0,WATERLOO,Chartwell Westmount Long Term Care Residence,Kitchener,160.0,0.0
2020-04-30,2244.0,MIDDLESEX-LONDON,Chelsey Park,London,247.0,0.0
2020-04-30,2237.0,HAMILTON,Clarion Nursing Home,Stoney Creek,100.0,0.0
2020-04-30,2246.0,NIAGARA,Douglas H. Rapelje Lodge,Welland,120.0,0.0
2020-04-30,3895.0,TORONTO,Ehatare Nursing Home,Scarborough,32.0,0.0
2020-04-30,2256.0,PORCUPINE,Extendicare Timmins,Timmins,180.0,0.0
2020-04-30,2230.0,DURHAM,Fairview Lodge,Whitby,198.0,0.0
2020-04-30,2246.0,NIAGARA,Garden City Manor,St. Catharines,200.0,0.0
2020-04-30,2238.0,HASTINGS PRINCE EDWARD,Hallowell House,Picton,97.0,0.0
2020-04-30,2258.0,EASTERN ONTARIO,Heartwood,Cornwall,118.0,0.0
2020-04-30,2237.0,HAMILTON,Heritage Green Nursing Home,Stoney Creek,167.0,<5
2020-04-30,5183.0,Huron Perth,Hillside Manor,Stratford,90.0,0.0
2020-04-30,2230.0,DURHAM,Lakeview Manor,Beaverton,149.0,0.0
2020-04-30,2242.0,LAMBTON,Lambton Meadowview Villa,Petrolia,125.0,0.0
2020-04-30,2257.0,RENFREW,Miramichi Lodge,Pembroke,166.0,0.0
2020-04-30,2244.0,MIDDLESEX-LONDON,Mount Hope Centre for Long Term Care,London,394.0,0.0
2020-04-30,2234.0,HALDIMAND-NORFOLK,Norview Lodge,Simcoe,179.0,0.0
2020-04-30,2241.0,KINGSTON FRONTENAC L & A,Providence Manor,Kingston,243.0,0.0
2020-04-30,2268.0,WINDSOR-ESSEX,Riverside Place,Windsor,96.0,0.0
2020-04-30,2255.0,PETERBOROUGH,Riverview Manor Nursing Home,Peterborough,124.0,0.0
2020-04-30,3895.0,TORONTO,Rockcliffe Care Community,Scarborough,204.0,0.0
2020-04-30,2265.0,WATERLOO,Saint Luke's Place,Cambridge,114.0,0.0
2020-04-30,2246.0,NIAGARA,Shalom Manor Long Term Care Home,Grimsby,144.0,0.0
2020-04-30,2260.0,SIMCOE-MUSKOKA,Spencer House,Orillia,160.0,0.0
2020-04-30,2244.0,MIDDLESEX-LONDON,Sprucedale Care Centre,Strathroy,96.0,0.0
2020-04-30,2265.0,WATERLOO,St. Andrew's Terrace Long Term Care Community,Cambridge,128.0,0.0
2020-04-30,3895.0,TORONTO,Tendercare Living Centre,Scarborough,254.0,<5
2020-04-30,2268.0,WINDSOR-ESSEX,The Village at St. Clair,Windsor,256.0,0.0
2020-04-30,2251.0,OTTAWA,Villa Marconi,Ottawa,128.0,0.0
2020-04-30,2266.0,WELLINGTON-DUFFERIN-GUELPH,Wellington Terrace Long-Term Care Home,Fergus,176.0,0.0
2020-04-30,2237.0,HAMILTON,Wentworth Lodge,Dundas,160.0,0.0
2020-04-30,3895.0,TORONTO,Westside,Etobicoke,242.0,<5
2020-04-30,2270.0,YORK REGION,Yee Hong Centre - Markham,Markham,200.0,0.0
2020-05-01,2246.0,NIAGARA,"Albright Gardens Homes, Incorporated",Beamsville,231.0,0.0
2020-05-01,2236.0,HALTON,Allendale,Milton,200.0,0.0
2020-05-01,2258.0,EASTERN ONTARIO,Centre d'Accueil Roger Seguin,Clarence Creek,113.0,0.0
2020-05-01,2265.0,WATERLOO,Chartwell Westmount Long Term Care Residence,Kitchener,160.0,0.0
2020-05-01,2244.0,MIDDLESEX-LONDON,Chelsey Park,London,247.0,0.0
2020-05-01,2237.0,HAMILTON,Clarion Nursing Home,Stoney Creek,100.0,0.0
2020-05-01,2246.0,NIAGARA,Douglas H. Rapelje Lodge,Welland,120.0,0.0
2020-05-01,3895.0,TORONTO,Ehatare Nursing Home,Scarborough,32.0,0.0
2020-05-01,2256.0,PORCUPINE,Extendicare Timmins,Timmins,180.0,0.0
2020-05-01,2230.0,DURHAM,Fairview Lodge,Whitby,198.0,0.0
2020-05-01,2246.0,NIAGARA,Garden City Manor,St. Catharines,200.0,0.0
2020-05-01,2238.0,HASTINGS PRINCE EDWARD,Hallowell House,Picton,97.0,0.0
2020-05-01,2258.0,EASTERN ONTARIO,Heartwood,Cornwall,118.0,0.0
2020-05-01,2237.0,HAMILTON,Heritage Green Nursing Home,Stoney Creek,167.0,<5
2020-05-01,5183.0,Huron Perth,Hillside Manor,Stratford,90.0,0.0
2020-05-01,2230.0,DURHAM,Lakeview Manor,Beaverton,149.0,0.0
2020-05-01,2242.0,LAMBTON,Lambton Meadowview Villa,Petrolia,125.0,0.0
2020-05-01,2257.0,RENFREW,Miramichi Lodge,Pembroke,166.0,0.0
2020-05-01,2244.0,MIDDLESEX-LONDON,Mount Hope Centre for Long Term Care,London,394.0,0.0
2020-05-01,2234.0,HALDIMAND-NORFOLK,Norview Lodge,Simcoe,179.0,0.0
2020-05-01,2241.0,KINGSTON FRONTENAC L & A,Providence Manor,Kingston,243.0,0.0
2020-05-01,2268.0,WINDSOR-ESSEX,Riverside Place,Windsor,96.0,0.0
2020-05-01,2255.0,PETERBOROUGH,Riverview Manor Nursing Home,Peterborough,124.0,0.0
2020-05-01,3895.0,TORONTO,Rockcliffe Care Community,Scarborough,204.0,0.0
2020-05-01,2265.0,WATERLOO,Saint Luke's Place,Cambridge,114.0,0.0
2020-05-01,2246.0,NIAGARA,Shalom Manor Long Term Care Home,Grimsby,144.0,0.0
2020-05-01,2260.0,SIMCOE-MUSKOKA,Spencer House,Orillia,160.0,0.0
2020-05-01,2244.0,MIDDLESEX-LONDON,Sprucedale Care Centre,Strathroy,96.0,0.0
2020-05-01,2265.0,WATERLOO,St. Andrew's Terrace Long Term Care Community,Cambridge,128.0,0.0
2020-05-01,3895.0,TORONTO,Tendercare Living Centre,Scarborough,254.0,<5
2020-05-01,2268.0,WINDSOR-ESSEX,The Village at St. Clair,Windsor,256.0,0.0
2020-05-01,2251.0,OTTAWA,Villa Marconi,Ottawa,128.0,0.0
2020-05-01,2266.0,WELLINGTON-DUFFERIN-GUELPH,Wellington Terrace Long-Term Care Home,Fergus,176.0,0.0
2020-05-01,2237.0,HAMILTON,Wentworth Lodge,Dundas,160.0,0.0
2020-05-01,3895.0,TORONTO,Westside,Etobicoke,242.0,<5
2020-05-01,2270.0,YORK REGION,Yee Hong Centre - Markham,Markham,200.0,0.0
2020-05-02,2246.0,NIAGARA,"Albright Gardens Homes, Incorporated",Beamsville,231.0,0.0
2020-05-02,2236.0,HALTON,Allendale,Milton,200.0,0.0
2020-05-02,2258.0,EASTERN ONTARIO,Centre d'Accueil Roger Seguin,Clarence Creek,113.0,0.0
2020-05-02,2265.0,WATERLOO,Chartwell Westmount Long Term Care Residence,Kitchener,160.0,0.0
2020-05-02,2244.0,MIDDLESEX-LONDON,Chelsey Park,London,247.0,0.0
2020-05-02,2237.0,HAMILTON,Clarion Nursing Home,Stoney Creek,100.0,0.0
2020-05-02,2246.0,NIAGARA,Douglas H. Rapelje Lodge,Welland,120.0,0.0
2020-05-02,3895.0,TORONTO,Ehatare Nursing Home,Scarborough,32.0,0.0
2020-05-02,2256.0,PORCUPINE,Extendicare Timmins,Timmins,180.0,0.0
2020-05-02,2230.0,DURHAM,Fairview Lodge,Whitby,198.0,0.0
2020-05-02,2246.0,NIAGARA,Garden City Manor,St. Catharines,200.0,0.0
2020-05-02,2238.0,HASTINGS PRINCE EDWARD,Hallowell House,Picton,97.0,0.0
2020-05-02,2258.0,EASTERN ONTARIO,Heartwood,Cornwall,118.0,0.0
2020-05-02,2237.0,HAMILTON,Heritage Green Nursing Home,Stoney Creek,167.0,<5
2020-05-02,5183.0,Huron Perth,Hillside Manor,Stratford,90.0,0.0
2020-05-02,2230.0,DURHAM,Lakeview Manor,Beaverton,149.0,0.0
2020-05-02,2242.0,LAMBTON,Lambton Meadowview Villa,Petrolia,125.0,0.0
2020-05-02,2257.0,RENFREW,Miramichi Lodge,Pembroke,166.0,0.0
2020-05-02,2244.0,MIDDLESEX-LONDON,Mount Hope Centre for Long Term Care,London,394.0,0.0
2020-05-02,2234.0,HALDIMAND-NORFOLK,Norview Lodge,Simcoe,179.0,0.0
2020-05-02,2241.0,KINGSTON FRONTENAC L & A,Providence Manor,Kingston,243.0,0.0
2020-05-02,2268.0,WINDSOR-ESSEX,Riverside Place,Windsor,96.0,0.0
2020-05-02,2255.0,PETERBOROUGH,Riverview Manor Nursing Home,Peterborough,124.0,0.0
2020-05-02,2265.0,WATERLOO,Saint Luke's Place,Cambridge,114.0,0.0
2020-05-02,2246.0,NIAGARA,Shalom Manor Long Term Care Home,Grimsby,144.0,0.0
2020-05-02,2260.0,SIMCOE-MUSKOKA,Spencer House,Orillia,160.0,0.0
2020-05-02,2244.0,MIDDLESEX-LONDON,Sprucedale Care Centre,Strathroy,96.0,0.0
2020-05-02,2265.0,WATERLOO,St. Andrew's Terrace Long Term Care Community,Cambridge,128.0,0.0
2020-05-02,3895.0,TORONTO,Tendercare Living Centre,Scarborough,254.0,<5
2020-05-02,2268.0,WINDSOR-ESSEX,The Village at St. Clair,Windsor,256.0,0.0
2020-05-02,2251.0,OTTAWA,Villa Marconi,Ottawa,128.0,0.0
2020-05-02,2266.0,WELLINGTON-DUFFERIN-GUELPH,Wellington Terrace Long-Term Care Home,Fergus,176.0,0.0
2020-05-02,2237.0,HAMILTON,Wentworth Lodge,Dundas,160.0,0.0
2020-05-02,3895.0,TORONTO,Westside,Etobicoke,242.0,<5
2020-05-02,2230.0,DURHAM,Winbourne Park,Ajax,110.0,0.0
