province,health_region,date_report,cases,cumulative_cases,deaths,cumulative_deaths,numtotal_last14,numdeaths_last14
Ontario,Niagara,27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Kingston Frontenac Lennox & Addington,27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
NL,Labrador-Grenfell,27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Quebec,Nord-du-Québec,27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Haldimand-Norfolk,27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Waterloo,27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Haliburton Kawartha Pineridge,27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Leeds Grenville and Lanark,27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Southwestern,27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Nova Scotia,Zone 4 - Central,27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Huron Perth,27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Quebec,Mauricie,27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Alberta,North,27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
BC,Interior,27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Middlesex-London,27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Hastings Prince Edward,27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Wellington Dufferin Guelph,27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Alberta,Calgary,27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Manitoba,Southern Health,27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Quebec,Montréal,27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Hamilton,27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Manitoba,Interlake-Eastern,27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Sudbury,27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
BC,Vancouver Coastal,27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Quebec,Montérégie,27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Quebec,Laval,27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
NWT,NWT,27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Algoma,27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
BC,Island,27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Halton,27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Quebec,Terres-Cries-de-la-Baie-James,27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Saskatchewan,South,27-01-2020,0.0,0.0,0.0,0.0,277.0,2.0
Quebec,Laurentides,27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Quebec,Lanaudière,27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Alberta,South,27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Saskatchewan,North,27-01-2020,0.0,0.0,0.0,0.0,337.0,0.0
New Brunswick,Not Reported,27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Nova Scotia,Zone 1 - Western,27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Quebec,Chaudière-Appalaches,27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Brant,27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
New Brunswick,Zone 2 (Saint John area),27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Quebec,Côte-Nord,27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Saskatchewan,Regina,27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
New Brunswick,Zone 4 (Edmundston area),27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Durham,27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Saskatchewan,Not Reported,27-01-2020,0.0,0.0,0.0,0.0,5.0,0.0
Quebec,Not Reported,27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Not Reported,27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Nova Scotia,Not Reported,27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
NL,Eastern,27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Eastern,27-01-2020,0.0,0.0,0.0,0.0,2.0,0.0
NL,Not Reported,27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Manitoba,Not Reported,27-01-2020,0.0,0.0,0.0,0.0,1.0,0.0
PEI,Prince Edward Island,27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
BC,Not Reported,27-01-2020,0.0,0.0,0.0,0.0,15.0,0.0
Manitoba,Prairie Mountain,27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Nova Scotia,Zone 2 - Northern,27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Quebec,Capitale-Nationale,27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Quebec,Outaouais,27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
New Brunswick,Zone 5 (Campbellton area),27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Ottawa,27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Nova Scotia,Zone 3 - Eastern,27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Quebec,Abitibi-Témiscamingue,27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Alberta,Central,27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
NL,Central,27-01-2020,0.0,0.0,0.0,0.0,172.0,0.0
Saskatchewan,Central,27-01-2020,0.0,0.0,0.0,0.0,1.0,0.0
Ontario,Peel,27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Nunavut,Nunavut,27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
New Brunswick,Zone 3 (Fredericton area),27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Peterborough,27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Quebec,Nunavik,27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Porcupine,27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Chatham-Kent,27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Alberta,Not Reported,27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Timiskaming,27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,York,27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Quebec,Saguenay,27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
New Brunswick,Zone 6 (Bathurst area),27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Saskatchewan,Far North,27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Manitoba,Winnipeg,27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,North Bay Parry Sound,27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
BC,Fraser,27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Quebec,Estrie,27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Repatriated,Repatriated,27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Saskatchewan,Saskatoon,27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Northwestern,27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
BC,Northern,27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Yukon,Yukon,27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Canada,Canada,27-01-2020,1.0,2.0,0.0,0.0,2.0,0.0
Quebec,Gaspésie-Îles-de-la-Madeleine,27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Alberta,Edmonton,27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Quebec,Bas-Saint-Laurent,27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
New Brunswick,Zone 1 (Moncton area),27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Manitoba,Northern,27-01-2020,0.0,0.0,0.0,0.0,57.0,0.0
Ontario,Renfrew,27-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Porcupine,28-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Quebec,Nunavik,28-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Peterborough,28-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Quebec,Terres-Cries-de-la-Baie-James,28-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Ontario,Niagara,28-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Quebec,Nord-du-Québec,28-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
Nunavut,Nunavut,28-01-2020,0.0,0.0,0.0,0.0,0.0,0.0
